,,,,,,,,,,,,,,,,,Montag,,,,,,,,,,,,,,,,,,,,,,,,,,Dienstag,,,,,,,,,,,,,,,,,,,,,,,,,,Mittwoch,,,,,,,,,,,,,,,,,,,,,,,,,,Donnerstag,,,,,,,,,,,,,,,,,,,,,,,,,,Freitag,,,,,,,,,,,,,,,,,,,,,,,,,,Samstag,,,,,,,,,,,,,,,,,,,,,,,,,,Sonntag,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Nicht verändern!,,,,,,,,,EFH,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,,,,,,Auswahl,"Summenlastprofil Gewerbe, Handel, Dienstleistung",1,0,,,,,,,Heizung und WW,,,,,,,,,,,,,,,,,,,,,,,,,,Heizung und WW,,,,,,,,,,,,,,,,,,,,,,,,,,Heizung und WW,,,,,,,,,,,,,,,,,,,,,,,,,,Heizung und WW,,,,,,,,,,,,,,,,,,,,,,,,,,Heizung und WW,,,,,,,,,,,,,,,,,,,,,,,,,,Heizung und WW,,,,,,,,,,,,,,,,,,,,,,,,,,Heizung und WW,,,,,,,,,,,,,,,,,,,,,,,,
,,Gesamtbedarf,Heizleistung,WW-Leistung,,8759,Koeffizienten,,2.579251,-35.6816144,6.6857976,0.1995541,,,,,<=-15,0.03,0.029,0.03,0.031,0.032,0.038,0.058,0.053,0.05,0.048,0.047,0.044,0.042,0.042,0.042,0.044,0.047,0.048,0.047,0.047,0.046,0.042,0.035,0.03,,<=-15,0.0296,0.0294,0.03,0.0307,0.0321,0.038,0.0577,0.0525,0.0498,0.0476,0.0466,0.0437,0.0423,0.0422,0.0418,0.0438,0.0472,0.0482,0.0472,0.0469,0.0461,0.0423,0.0345,0.0298,,<=-15,0.0296,0.0294,0.03,0.0307,0.0321,0.038,0.0577,0.0525,0.0498,0.0476,0.0466,0.0437,0.0423,0.0422,0.0418,0.0438,0.0472,0.0482,0.0472,0.0469,0.0461,0.0423,0.0345,0.0298,,<=-15,0.0296,0.0294,0.03,0.0307,0.0321,0.038,0.0577,0.0525,0.0498,0.0476,0.0466,0.0437,0.0423,0.0422,0.0418,0.0438,0.0472,0.0482,0.0472,0.0469,0.0461,0.0423,0.0345,0.0298,,<=-15,0.0296,0.0294,0.03,0.0307,0.0321,0.038,0.0577,0.0525,0.0498,0.0476,0.0466,0.0437,0.0423,0.0422,0.0418,0.0438,0.0472,0.0482,0.0472,0.0469,0.0461,0.0423,0.0345,0.0298,,<=-15,0.0296,0.0294,0.03,0.0307,0.0321,0.038,0.0577,0.0525,0.0498,0.0476,0.0466,0.0437,0.0423,0.0422,0.0418,0.0438,0.0472,0.0482,0.0472,0.0469,0.0461,0.0423,0.0345,0.0298,,<=-15,0.0296,0.0294,0.03,0.0307,0.0321,0.038,0.0577,0.0525,0.0498,0.0476,0.0466,0.0437,0.0423,0.0422,0.0418,0.0438,0.0472,0.0482,0.0472,0.0469,0.0461,0.0423,0.0345,0.0298
,Datum_Uhrzeit,kWh,kW,kW,Summe,,,15,A,B,C,D,,,,,<=-10,0.029,0.029,0.03,0.03,0.032,0.038,0.057,0.053,0.05,0.048,0.047,0.044,0.042,0.042,0.042,0.044,0.048,0.049,0.048,0.047,0.046,0.042,0.034,0.029,,<=-10,0.0292,0.0289,0.0296,0.0303,0.0318,0.0379,0.0573,0.053,0.0501,0.0479,0.0469,0.0438,0.0424,0.0422,0.0418,0.0439,0.0475,0.0485,0.0475,0.0471,0.0463,0.0424,0.0343,0.0294,,<=-10,0.0292,0.0289,0.0296,0.0303,0.0318,0.0379,0.0573,0.053,0.0501,0.0479,0.0469,0.0438,0.0424,0.0422,0.0418,0.0439,0.0475,0.0485,0.0475,0.0471,0.0463,0.0424,0.0343,0.0294,,<=-10,0.0292,0.0289,0.0296,0.0303,0.0318,0.0379,0.0573,0.053,0.0501,0.0479,0.0469,0.0438,0.0424,0.0422,0.0418,0.0439,0.0475,0.0485,0.0475,0.0471,0.0463,0.0424,0.0343,0.0294,,<=-10,0.0292,0.0289,0.0296,0.0303,0.0318,0.0379,0.0573,0.053,0.0501,0.0479,0.0469,0.0438,0.0424,0.0422,0.0418,0.0439,0.0475,0.0485,0.0475,0.0471,0.0463,0.0424,0.0343,0.0294,,<=-10,0.0292,0.0289,0.0296,0.0303,0.0318,0.0379,0.0573,0.053,0.0501,0.0479,0.0469,0.0438,0.0424,0.0422,0.0418,0.0439,0.0475,0.0485,0.0475,0.0471,0.0463,0.0424,0.0343,0.0294,,<=-10,0.0292,0.0289,0.0296,0.0303,0.0318,0.0379,0.0573,0.053,0.0501,0.0479,0.0469,0.0438,0.0424,0.0422,0.0418,0.0439,0.0475,0.0485,0.0475,0.0471,0.0463,0.0424,0.0343,0.0294
1,"Saturday, January 1, 2022",186.6,161.4,25.2,1500000,,0,Kein Wärmebedarf,0,0,0,0,,,,,<=-5,0.028,0.028,0.029,0.029,0.031,0.038,0.06,0.054,0.051,0.048,0.047,0.044,0.042,0.042,0.042,0.044,0.048,0.049,0.048,0.048,0.047,0.042,0.034,0.028,,<=-5,0.0281,0.0279,0.0286,0.0294,0.031,0.0378,0.0602,0.0537,0.0507,0.0483,0.0472,0.0438,0.0424,0.0422,0.0418,0.0439,0.0478,0.0489,0.0478,0.0475,0.0465,0.0424,0.0337,0.0284,,<=-5,0.0281,0.0279,0.0286,0.0294,0.031,0.0378,0.0602,0.0537,0.0507,0.0483,0.0472,0.0438,0.0424,0.0422,0.0418,0.0439,0.0478,0.0489,0.0478,0.0475,0.0465,0.0424,0.0337,0.0284,,<=-5,0.0281,0.0279,0.0286,0.0294,0.031,0.0378,0.0602,0.0537,0.0507,0.0483,0.0472,0.0438,0.0424,0.0422,0.0418,0.0439,0.0478,0.0489,0.0478,0.0475,0.0465,0.0424,0.0337,0.0284,,<=-5,0.0281,0.0279,0.0286,0.0294,0.031,0.0378,0.0602,0.0537,0.0507,0.0483,0.0472,0.0438,0.0424,0.0422,0.0418,0.0439,0.0478,0.0489,0.0478,0.0475,0.0465,0.0424,0.0337,0.0284,,<=-5,0.0281,0.0279,0.0286,0.0294,0.031,0.0378,0.0602,0.0537,0.0507,0.0483,0.0472,0.0438,0.0424,0.0422,0.0418,0.0439,0.0478,0.0489,0.0478,0.0475,0.0465,0.0424,0.0337,0.0284,,<=-5,0.0281,0.0279,0.0286,0.0294,0.031,0.0378,0.0602,0.0537,0.0507,0.0483,0.0472,0.0438,0.0424,0.0422,0.0418,0.0439,0.0478,0.0489,0.0478,0.0475,0.0465,0.0424,0.0337,0.0284
2,"Saturday, January 1, 2022",233.5,202.3,31.2,Max. Leistung,,1,Eigenes Wärmelastprofil,0,0,0,0,,,,,<=0,0.026,0.027,0.027,0.029,0.033,0.043,0.055,0.051,0.05,0.048,0.047,0.045,0.044,0.044,0.045,0.046,0.048,0.049,0.049,0.048,0.047,0.041,0.032,0.027,,<00,0.0262,0.0266,0.0274,0.0289,0.0333,0.043,0.0551,0.051,0.0497,0.0482,0.0467,0.0446,0.0439,0.0435,0.0448,0.0456,0.0481,0.0489,0.0491,0.0484,0.0466,0.0414,0.0318,0.0272,,<00,0.0262,0.0266,0.0274,0.0289,0.0333,0.043,0.0551,0.051,0.0497,0.0482,0.0467,0.0446,0.0439,0.0435,0.0448,0.0456,0.0481,0.0489,0.0491,0.0484,0.0466,0.0414,0.0318,0.0272,,<00,0.0262,0.0266,0.0274,0.0289,0.0333,0.043,0.0551,0.051,0.0497,0.0482,0.0467,0.0446,0.0439,0.0435,0.0448,0.0456,0.0481,0.0489,0.0491,0.0484,0.0466,0.0414,0.0318,0.0272,,<00,0.0262,0.0266,0.0274,0.0289,0.0333,0.043,0.0551,0.051,0.0497,0.0482,0.0467,0.0446,0.0439,0.0435,0.0448,0.0456,0.0481,0.0489,0.0491,0.0484,0.0466,0.0414,0.0318,0.0272,,<00,0.0262,0.0266,0.0274,0.0289,0.0333,0.043,0.0551,0.051,0.0497,0.0482,0.0467,0.0446,0.0439,0.0435,0.0448,0.0456,0.0481,0.0489,0.0491,0.0484,0.0466,0.0414,0.0318,0.0272,,<00,0.0262,0.0266,0.0274,0.0289,0.0333,0.043,0.0551,0.051,0.0497,0.0482,0.0467,0.0446,0.0439,0.0435,0.0448,0.0456,0.0481,0.0489,0.0491,0.0484,0.0466,0.0414,0.0318,0.0272
3,"Saturday, January 1, 2022",242.9,210.7,32.2,557.3,,2,EFH,3.047,-37.1833,5.6728,0.0962,,,,,<=5,0.023,0.024,0.024,0.026,0.031,0.045,0.058,0.054,0.051,0.049,0.047,0.045,0.044,0.044,0.045,0.046,0.048,0.05,0.051,0.051,0.049,0.043,0.031,0.025,,<05,0.023,0.0237,0.0243,0.0262,0.0312,0.0449,0.0577,0.0537,0.051,0.0488,0.0465,0.0448,0.0438,0.0437,0.0446,0.0458,0.0481,0.0501,0.0506,0.0505,0.0485,0.043,0.0309,0.0246,,<05,0.023,0.0237,0.0243,0.0262,0.0312,0.0449,0.0577,0.0537,0.051,0.0488,0.0465,0.0448,0.0438,0.0437,0.0446,0.0458,0.0481,0.0501,0.0506,0.0505,0.0485,0.043,0.0309,0.0246,,<05,0.023,0.0237,0.0243,0.0262,0.0312,0.0449,0.0577,0.0537,0.051,0.0488,0.0465,0.0448,0.0438,0.0437,0.0446,0.0458,0.0481,0.0501,0.0506,0.0505,0.0485,0.043,0.0309,0.0246,,<05,0.023,0.0237,0.0243,0.0262,0.0312,0.0449,0.0577,0.0537,0.051,0.0488,0.0465,0.0448,0.0438,0.0437,0.0446,0.0458,0.0481,0.0501,0.0506,0.0505,0.0485,0.043,0.0309,0.0246,,<05,0.023,0.0237,0.0243,0.0262,0.0312,0.0449,0.0577,0.0537,0.051,0.0488,0.0465,0.0448,0.0438,0.0437,0.0446,0.0458,0.0481,0.0501,0.0506,0.0505,0.0485,0.043,0.0309,0.0246,,<05,0.023,0.0237,0.0243,0.0262,0.0312,0.0449,0.0577,0.0537,0.051,0.0488,0.0465,0.0448,0.0438,0.0437,0.0446,0.0458,0.0481,0.0501,0.0506,0.0505,0.0485,0.043,0.0309,0.0246
4,"Saturday, January 1, 2022",267,232,35,,,3,MFH,2.3878,-34.7214,5.8164,0.1208,,,,,<=10,0.02,0.021,0.022,0.025,0.033,0.048,0.062,0.058,0.053,0.049,0.045,0.043,0.042,0.042,0.043,0.045,0.048,0.051,0.052,0.053,0.05,0.044,0.03,0.022,,<=10,0.0196,0.0208,0.0217,0.0249,0.0326,0.0481,0.0619,0.0578,0.0527,0.0486,0.0452,0.043,0.0424,0.0422,0.0433,0.0452,0.0478,0.0509,0.0523,0.0527,0.0504,0.044,0.0301,0.0218,,<=10,0.0196,0.0208,0.0217,0.0249,0.0326,0.0481,0.0619,0.0578,0.0527,0.0486,0.0452,0.043,0.0424,0.0422,0.0433,0.0452,0.0478,0.0509,0.0523,0.0527,0.0504,0.044,0.0301,0.0218,,<=10,0.0196,0.0208,0.0217,0.0249,0.0326,0.0481,0.0619,0.0578,0.0527,0.0486,0.0452,0.043,0.0424,0.0422,0.0433,0.0452,0.0478,0.0509,0.0523,0.0527,0.0504,0.044,0.0301,0.0218,,<=10,0.0196,0.0208,0.0217,0.0249,0.0326,0.0481,0.0619,0.0578,0.0527,0.0486,0.0452,0.043,0.0424,0.0422,0.0433,0.0452,0.0478,0.0509,0.0523,0.0527,0.0504,0.044,0.0301,0.0218,,<=10,0.0196,0.0208,0.0217,0.0249,0.0326,0.0481,0.0619,0.0578,0.0527,0.0486,0.0452,0.043,0.0424,0.0422,0.0433,0.0452,0.0478,0.0509,0.0523,0.0527,0.0504,0.044,0.0301,0.0218,,<=10,0.0196,0.0208,0.0217,0.0249,0.0326,0.0481,0.0619,0.0578,0.0527,0.0486,0.0452,0.043,0.0424,0.0422,0.0433,0.0452,0.0478,0.0509,0.0523,0.0527,0.0504,0.044,0.0301,0.0218
5,"Saturday, January 1, 2022",294.6,256.4,38.2,kWh/a,,4,"Gebietskörpersch., Kreditinst. u. Versich., Org. o. Erwerbszw. & öff. Einr.",2.7172,-35.1413,7.1303,0.1418,,,,,<=15,0.014,0.016,0.017,0.02,0.03,0.054,0.069,0.068,0.058,0.053,0.048,0.044,0.042,0.04,0.04,0.041,0.044,0.048,0.052,0.055,0.054,0.047,0.032,0.018,,<=15,0.0142,0.0155,0.0167,0.02,0.0298,0.054,0.0685,0.0679,0.0578,0.0527,0.0478,0.0435,0.0415,0.0402,0.0399,0.0414,0.0441,0.0477,0.0515,0.0552,0.0535,0.0474,0.0315,0.0177,,<=15,0.0142,0.0155,0.0167,0.02,0.0298,0.054,0.0685,0.0679,0.0578,0.0527,0.0478,0.0435,0.0415,0.0402,0.0399,0.0414,0.0441,0.0477,0.0515,0.0552,0.0535,0.0474,0.0315,0.0177,,<=15,0.0142,0.0155,0.0167,0.02,0.0298,0.054,0.0685,0.0679,0.0578,0.0527,0.0478,0.0435,0.0415,0.0402,0.0399,0.0414,0.0441,0.0477,0.0515,0.0552,0.0535,0.0474,0.0315,0.0177,,<=15,0.0142,0.0155,0.0167,0.02,0.0298,0.054,0.0685,0.0679,0.0578,0.0527,0.0478,0.0435,0.0415,0.0402,0.0399,0.0414,0.0441,0.0477,0.0515,0.0552,0.0535,0.0474,0.0315,0.0177,,<=15,0.0142,0.0155,0.0167,0.02,0.0298,0.054,0.0685,0.0679,0.0578,0.0527,0.0478,0.0435,0.0415,0.0402,0.0399,0.0414,0.0441,0.0477,0.0515,0.0552,0.0535,0.0474,0.0315,0.0177,,<=15,0.0142,0.0155,0.0167,0.02,0.0298,0.054,0.0685,0.0679,0.0578,0.0527,0.0478,0.0435,0.0415,0.0402,0.0399,0.0414,0.0441,0.0477,0.0515,0.0552,0.0535,0.0474,0.0315,0.0177
6,"Saturday, January 1, 2022",360.2,314,46.2,,,5,"Einzelhandel, Großhandel",3.5811,-36.965,7.2257,0.0448,,,,,<=20,0.01,0.011,0.011,0.016,0.029,0.066,0.082,0.076,0.061,0.06,0.051,0.048,0.044,0.04,0.038,0.036,0.04,0.043,0.046,0.051,0.052,0.044,0.031,0.015,,<=20,0.0096,0.0105,0.0112,0.0162,0.0289,0.0662,0.0821,0.0757,0.0609,0.0601,0.0513,0.0483,0.0442,0.0397,0.0378,0.0359,0.04,0.0428,0.0456,0.0513,0.0519,0.0442,0.0309,0.0147,,<=20,0.0096,0.0105,0.0112,0.0162,0.0289,0.0662,0.0821,0.0757,0.0609,0.0601,0.0513,0.0483,0.0442,0.0397,0.0378,0.0359,0.04,0.0428,0.0456,0.0513,0.0519,0.0442,0.0309,0.0147,,<=20,0.0096,0.0105,0.0112,0.0162,0.0289,0.0662,0.0821,0.0757,0.0609,0.0601,0.0513,0.0483,0.0442,0.0397,0.0378,0.0359,0.04,0.0428,0.0456,0.0513,0.0519,0.0442,0.0309,0.0147,,<=20,0.0096,0.0105,0.0112,0.0162,0.0289,0.0662,0.0821,0.0757,0.0609,0.0601,0.0513,0.0483,0.0442,0.0397,0.0378,0.0359,0.04,0.0428,0.0456,0.0513,0.0519,0.0442,0.0309,0.0147,,<=20,0.0096,0.0105,0.0112,0.0162,0.0289,0.0662,0.0821,0.0757,0.0609,0.0601,0.0513,0.0483,0.0442,0.0397,0.0378,0.0359,0.04,0.0428,0.0456,0.0513,0.0519,0.0442,0.0309,0.0147,,<=20,0.0096,0.0105,0.0112,0.0162,0.0289,0.0662,0.0821,0.0757,0.0609,0.0601,0.0513,0.0483,0.0442,0.0397,0.0378,0.0359,0.04,0.0428,0.0456,0.0513,0.0519,0.0442,0.0309,0.0147
