datetime,Elektrisch-Kombiniert_einHaushalt_15min,Kühl-_und_Gefrierschrank_einHaushalt_15min,Wasserkocher_einHaushalt_15min,Waschmaschine_einHaushalt_15min,Geschirrspüler_einHaushalt_15min,Staubsauger_einHaushalt_15min,Hauptanschluss_einHaushalt_15min
2017-05-01 00:00:00,234.65625,420.0,,0.0,0.0,,257.7202380952381
2017-05-01 00:15:00,103.44739884393064,1.6666666666666667,,,,,114.93491124260355
2017-05-01 00:30:00,118.46757679180887,180.0,3.0,,,,130.0473372781065
2017-05-01 00:45:00,236.19821826280622,,0.0,35.0,,,260.6607142857143
2017-05-01 01:00:00,233.44754464285714,420.0,,0.0,0.0,,257.13690476190476
2017-05-01 01:15:00,76.12514484356895,1.6666666666666667,,,,,88.76923076923077
2017-05-01 01:30:00,133.51090700344432,179.0,3.0,,,,143.18562874251498
2017-05-01 01:45:00,235.01001112347052,,0.0,35.0,,,259.6547619047619
2017-05-01 02:00:00,211.5744680851064,141.0,,0.0,0.0,,235.63690476190476
2017-05-01 02:15:00,68.17647058823529,1.0,,,,,78.17159763313609
2017-05-01 02:30:00,153.6261904761905,176.0,3.0,,,,165.83333333333334
2017-05-01 02:45:00,234.4245810055866,,0.0,35.0,,,258.7083333333333
2017-05-01 03:00:00,178.43954802259887,141.33333333333334,,0.0,0.0,,198.03550295857988
2017-05-01 03:15:00,68.25174013921114,1.0,,,,,78.60119047619048
2017-05-01 03:30:00,172.7900677200903,177.0,3.0,,,,189.92899408284023
2017-05-01 03:45:00,233.20357941834453,,0.0,35.0,,,257.3952095808383
2017-05-01 04:00:00,146.78781038374717,141.66666666666666,,0.0,0.0,,162.68639053254438
2017-05-01 04:15:00,68.18497109826589,1.0,,,,,78.50299401197604
2017-05-01 04:30:00,195.86726659167604,177.0,3.0,,,,216.46428571428572
2017-05-01 04:45:00,233.55283648498332,,0.0,35.0,,,257.32335329341316
2017-05-01 05:00:00,121.59146341463415,211.5,,0.0,0.0,,132.6547619047619
2017-05-01 05:15:00,68.29342723004694,1.0,,,,,77.95833333333333
2017-05-01 05:30:00,218.87234042553192,177.0,3.0,,,,239.62874251497007
2017-05-01 05:45:00,237.94543429844097,,0.0,35.0,,,258.8023952095808
2017-05-01 06:00:00,179.62709966405376,141.33333333333334,,0.0,0.0,,200.05917159763314
2017-05-01 06:15:00,151.29621380846325,86.5,,,,,168.5
2017-05-01 06:30:00,331.3337041156841,,3.0,,,,343.8392857142857
2017-05-01 06:45:00,292.88926174496646,159.0,0.0,35.0,,,309.70414201183434
2017-05-01 07:00:00,183.32,44.63636363636363,,0.0,0.0,,199.47619047619048
2017-05-01 07:15:00,260.1398210290828,85.0,,104.70731707317073,19.340425531914892,,247.44378698224853
2017-05-01 07:30:00,3303.812290502793,,3.0,1910.697247706422,217.8181818181818,,3587.059171597633
2017-05-01 07:45:00,601.8008898776418,1.5,0.0,123.09160305343511,32.11538461538461,,394.9408284023669
2017-05-01 08:00:00,436.1012235817575,421.0,,77.22123893805309,31.4,,253.44970414201183
2017-05-01 08:15:00,591.4916201117319,162.5,,135.0648148148148,31.71794871794872,,504.1360946745562
2017-05-01 08:30:00,264.9921962095875,,3.0,4.0,31.32758620689655,,286.4437869822485
2017-05-01 08:45:00,186.83426028921022,1.5,0.0,36.0,24.878048780487806,,161.82248520710058
2017-05-01 09:00:00,1269.6173526140155,421.0,,3.0,135.27272727272728,,1337.9285714285713
2017-05-01 09:15:00,741.2804469273743,162.5,,,45.73913043478261,,831.9230769230769
2017-05-01 09:30:00,222.8421052631579,,3.0,,2.0,,247.1360946745562
2017-05-01 09:45:00,118.59952885747938,1.5,0.0,36.0,2.0,,112.37869822485207
2017-05-01 10:00:00,99.19954389965793,297.0,,4.0,3.896551724137931,,94.17261904761905
2017-05-01 10:15:00,223.32516703786192,158.0,,,,,249.49704142011834
2017-05-01 10:30:00,219.05145413870247,,3.0,,,,244.33928571428572
2017-05-01 10:45:00,104.2,1.5,0.0,36.0,,,90.32738095238095
2017-05-01 11:00:00,110.39768786127168,294.5,,4.0,0.0,,94.63313609467455
2017-05-01 11:15:00,222.96759776536314,157.0,,,,,249.03571428571428
2017-05-01 11:30:00,219.67408231368188,,3.0,,,,244.84615384615384
2017-05-01 11:45:00,89.70695553021665,2.0,0.0,36.0,,,74.51785714285714
2017-05-01 12:00:00,115.9703196347032,295.5,,4.0,0.0,,108.07692307692308
2017-05-01 12:15:00,223.17241379310346,159.0,,,,,250.4319526627219
2017-05-01 12:30:00,208.1545352743561,2.0,3.0,,,,232.39880952380952
2017-05-01 12:45:00,88.39647058823529,,0.0,36.0,,,72.7797619047619
2017-05-01 13:00:00,128.0629290617849,297.0,,4.0,0.0,,123.6508875739645
2017-05-01 13:15:00,222.32849162011172,158.0,,,,,249.33136094674558
2017-05-01 13:30:00,195.82477678571428,1.5,3.0,,,,214.36686390532543
2017-05-01 13:45:00,89.00113895216401,,0.0,36.0,,,72.61904761904762
2017-05-01 14:00:00,136.9457627118644,295.5,,3.0,0.0,,135.44970414201183
2017-05-01 14:15:00,222.50837988826817,158.0,,4.0,,,250.36309523809524
2017-05-01 14:30:00,184.60762331838566,2.0,3.0,,,,198.32544378698225
2017-05-01 14:45:00,89.28393665158372,,0.0,36.0,,,73.03571428571429
2017-05-01 15:00:00,147.7281993204983,296.0,,4.0,0.0,,148.4378698224852
2017-05-01 15:15:00,221.25250278086764,155.0,,,,,244.91071428571428
2017-05-01 15:30:00,178.57110609480813,2.0,3.0,,,,189.88757396449705
2017-05-01 15:45:00,87.88928150765607,,0.0,36.0,,,72.59763313609467
2017-05-01 16:00:00,151.65649717514125,296.5,,3.0,0.0,,155.3154761904762
2017-05-01 16:15:00,255.96559633027522,215.5,,,,,285.5843373493976
2017-05-01 16:30:00,285.9133409350057,42.0,3.0,,,,315.63473053892216
2017-05-01 16:45:00,183.44692737430168,235.0,0.0,36.0,,,197.89880952380952
2017-05-01 17:00:00,241.05016722408027,422.0,,3.0,0.0,,274.1065088757396
2017-05-01 17:15:00,231.34187082405344,168.0,,,,,262.2738095238095
2017-05-01 17:30:00,308.3780760626398,158.0,995.6666666666666,0.0,,,327.8511904761905
2017-05-01 17:45:00,787.9765886287626,,1465.0,36.0,0.0,,909.202380952381
2017-05-01 18:00:00,248.3240534521158,208.0,,0.0,0.0,,265.80357142857144
2017-05-01 18:15:00,273.7839643652561,160.8,,,,,292.0238095238095
2017-05-01 18:30:00,302.8600223964166,159.0,3.0,,,,320.36526946107784
2017-05-01 18:45:00,503.9265850945495,5.0,1515.0,36.0,,,518.1666666666666
2017-05-01 19:00:00,454.7739420935412,80.25,0.0,0.0,0.0,,466.6181818181818
2017-05-01 19:15:00,426.0,160.0,,,,,471.2469879518072
2017-05-01 19:30:00,420.99441340782124,,3.0,,,,462.094674556213
2017-05-01 19:45:00,270.3229398663697,2.0,0.0,36.0,,,287.9156626506024
2017-05-01 20:00:00,345.2324805339266,293.5,,0.0,0.0,,373.7590361445783
2017-05-01 20:15:00,404.79866518353725,158.0,,,,,444.2130177514793
2017-05-01 20:30:00,381.8691275167785,1.5,3.0,,,,434.32530120481925
2017-05-01 20:45:00,211.30666666666667,,0.0,36.0,,,299.92899408284023
2017-05-01 21:00:00,266.73400673400675,295.5,,0.0,0.0,,296.5722891566265
2017-05-01 21:15:00,237.984375,160.0,,,,,273.73372781065086
2017-05-01 21:30:00,196.15016685205785,,3.0,,,,220.04166666666666
2017-05-01 21:45:00,86.81395348837209,2.0,0.0,36.0,,,82.04761904761905
2017-05-01 22:00:00,103.87129840546697,296.0,,0.0,0.0,,96.13690476190476
2017-05-01 22:15:00,193.3791946308725,161.0,,,,,216.26785714285714
2017-05-01 22:30:00,203.91508379888268,,3.0,,,,228.74556213017752
2017-05-01 22:45:00,65.74825174825175,2.0,0.0,36.0,,,44.416666666666664
2017-05-01 23:00:00,109.06356413166856,297.0,,0.0,0.0,,100.77380952380952
2017-05-01 23:15:00,188.84762979683973,159.0,,,,,209.16867469879517
2017-05-01 23:30:00,175.15358744394618,1.5,3.0,,,,192.36904761904762
2017-05-01 23:45:00,56.50812064965197,,0.0,36.0,,,32.80952380952381
2017-05-02 00:00:00,58.0,,,,,,
