datetime,Elektrisch-Kombiniert_einHaushalt_5sek,Kühl-_und_Gefrierschrank_einHaushalt_5sek,Wasserkocher_einHaushalt_5sek,Waschmaschine_einHaushalt_5sek,Geschirrspüler_einHaushalt_5sek,Staubsauger_einHaushalt_5sek,Hauptanschluss_einHaushalt_5sek
2017-05-01 00:00:00,235.6,,,,,,
2017-05-01 00:00:05,236.2,,,,,,259.0
2017-05-01 00:00:10,235.6,,,,,,258.0
2017-05-01 00:00:15,235.6,,,,,,258.0
2017-05-01 00:00:20,235.0,,,,,,257.0
2017-05-01 00:00:25,236.6,,,,,,257.0
2017-05-01 00:00:30,235.0,,,,,,261.0
2017-05-01 00:00:35,234.6,,,,,,261.0
2017-05-01 00:00:40,235.0,,,,,,258.0
2017-05-01 00:00:45,234.6,,,,,,258.0
2017-05-01 00:00:50,236.6,,,,,,259.0
2017-05-01 00:00:55,234.6,,,,,,258.0
2017-05-01 00:01:00,234.6,,,,,,258.0
2017-05-01 00:01:05,235.0,,,,,,259.0
2017-05-01 00:01:10,235.0,,,,,,259.0
2017-05-01 00:01:15,236.6,,,,,,258.0
2017-05-01 00:01:20,234.2,,,,,,258.0
2017-05-01 00:01:25,236.6,,,,,,
2017-05-01 00:01:30,234.6,,,,,,260.0
2017-05-01 00:01:35,236.6,,,,,,260.0
2017-05-01 00:01:40,235.0,,,,,,258.0
2017-05-01 00:01:45,235.0,,,,,,258.0
2017-05-01 00:01:50,234.6,,,,,,258.0
2017-05-01 00:01:55,233.4,,,,,,258.0
2017-05-01 00:02:00,233.2,,,,,,258.0
2017-05-01 00:02:05,234.6,,,,,,258.0
2017-05-01 00:02:10,236.2,,,,,,258.0
2017-05-01 00:02:15,236.6,,,,,,260.0
2017-05-01 00:02:20,235.0,,,,,,260.0
2017-05-01 00:02:25,235.0,,,,,,258.0
2017-05-01 00:02:30,235.6,,,,,,258.0
2017-05-01 00:02:35,236.6,,,,,,
2017-05-01 00:02:40,235.6,,,,,,261.0
2017-05-01 00:02:45,235.0,,,,,,261.0
2017-05-01 00:02:50,235.0,,,,,,260.0
2017-05-01 00:02:55,235.0,,,,,,260.0
2017-05-01 00:03:00,235.0,,,,,,258.0
2017-05-01 00:03:05,235.0,,,,,,259.0
2017-05-01 00:03:10,235.0,,,,,,259.0
2017-05-01 00:03:15,235.0,,,,,,258.0
2017-05-01 00:03:20,234.6,,,,,,258.0
2017-05-01 00:03:25,236.6,,,,,,258.0
2017-05-01 00:03:30,235.0,,,,,,258.0
2017-05-01 00:03:35,235.0,,,,,,260.0
2017-05-01 00:03:40,235.0,,,,,,260.0
2017-05-01 00:03:45,235.0,,,,,,
2017-05-01 00:03:50,235.0,,,,,,257.0
2017-05-01 00:03:55,235.0,,,,,,257.0
2017-05-01 00:04:00,235.6,,,,,,256.0
2017-05-01 00:04:05,235.0,,,,,,256.0
2017-05-01 00:04:10,235.0,,,,,,257.0
2017-05-01 00:04:15,235.0,,,,,,255.0
2017-05-01 00:04:20,235.0,,,,,,255.0
2017-05-01 00:04:25,235.0,,,,,,259.0
2017-05-01 00:04:30,235.0,,,,,,259.0
2017-05-01 00:04:35,235.6,,,,,,257.0
2017-05-01 00:04:40,235.0,,,,,,257.0
2017-05-01 00:04:45,236.6,,,,,,258.0
2017-05-01 00:04:50,235.0,,,,,,258.0
2017-05-01 00:04:55,235.0,,,,,,258.0
2017-05-01 00:05:00,235.0,,,,,,258.0
2017-05-01 00:05:05,234.6,,,,,,258.0
2017-05-01 00:05:10,235.0,,,,,,
2017-05-01 00:05:15,236.6,,,,,,258.0
2017-05-01 00:05:20,233.2,,,,,,258.0
2017-05-01 00:05:25,235.0,,,,,,256.0
2017-05-01 00:05:30,235.0,,,,,,256.0
2017-05-01 00:05:35,236.6,,,,,,258.0
2017-05-01 00:05:40,234.6,,,,,,258.0
2017-05-01 00:05:45,235.0,,,,,,258.0
2017-05-01 00:05:50,233.8,,,,,,258.0
2017-05-01 00:05:55,235.0,,,,,,259.0
2017-05-01 00:06:00,235.6,,,,,,259.0
2017-05-01 00:06:05,235.8,,,,,,258.0
2017-05-01 00:06:10,234.2,,,,,,258.0
2017-05-01 00:06:15,235.0,,,,,,259.0
2017-05-01 00:06:20,234.6,,,,,,259.0
2017-05-01 00:06:25,234.6,,,,,,257.0
2017-05-01 00:06:30,235.0,,,,,,
2017-05-01 00:06:35,234.6,,,,,,258.0
2017-05-01 00:06:40,235.0,,,,,,258.0
2017-05-01 00:06:45,235.0,,,,,,258.0
2017-05-01 00:06:50,234.2,,,,,,258.0
2017-05-01 00:06:55,235.0,,,,,,257.0
2017-05-01 00:07:00,235.0,,,,,,257.0
2017-05-01 00:07:05,235.0,,,,,,258.0
2017-05-01 00:07:10,234.2,,,,,,258.0
2017-05-01 00:07:15,234.6,,,,,,259.0
2017-05-01 00:07:20,235.0,,,,,,259.0
2017-05-01 00:07:25,235.0,,,,0.0,,258.0
2017-05-01 00:07:30,234.6,,,,,,259.0
2017-05-01 00:07:35,234.2,,,,,,259.0
2017-05-01 00:07:40,235.0,,,,,,257.0
2017-05-01 00:07:45,234.2,,,,,,
2017-05-01 00:07:50,235.4,,,,,,257.0
2017-05-01 00:07:55,234.6,,,,,,258.0
2017-05-01 00:08:00,234.2,,,,,,258.0
2017-05-01 00:08:05,235.0,,,,,,257.0
2017-05-01 00:08:10,234.6,,,,,,257.0
2017-05-01 00:08:15,233.4,,,,,,258.0
2017-05-01 00:08:20,234.2,,,,,,258.0
2017-05-01 00:08:25,233.8,,,,,,257.0
2017-05-01 00:08:30,234.2,,,,,,257.0
2017-05-01 00:08:35,235.8,,,,,,257.0
2017-05-01 00:08:40,234.2,,,0.0,,,257.0
2017-05-01 00:08:45,233.4,,,,,,258.0
2017-05-01 00:08:50,235.0,,,,,,256.0
2017-05-01 00:08:55,235.0,,,,,,256.0
2017-05-01 00:09:00,235.0,,,,,,260.0
2017-05-01 00:09:05,235.0,,,,,,260.0
2017-05-01 00:09:10,235.0,,,,,,
2017-05-01 00:09:15,235.0,,,,,,258.0
2017-05-01 00:09:20,236.6,,,,,,258.0
2017-05-01 00:09:25,235.0,,,,,,259.0
2017-05-01 00:09:30,235.0,,,,,,259.0
2017-05-01 00:09:35,233.8,,,,,,257.0
2017-05-01 00:09:40,234.6,,,,,,257.0
2017-05-01 00:09:45,233.8,,,,,,257.0
2017-05-01 00:09:50,233.8,,,,,,257.0
2017-05-01 00:09:55,233.4,,,,,,257.0
2017-05-01 00:10:00,233.8,,,,,,259.0
2017-05-01 00:10:05,233.8,,,,,,259.0
2017-05-01 00:10:10,234.2,,,,,,255.0
2017-05-01 00:10:15,236.2,,,,,,255.0
2017-05-01 00:10:20,234.6,,,,,,258.0
2017-05-01 00:10:25,234.6,,,,,,258.0
2017-05-01 00:10:30,234.6,,,,,,
2017-05-01 00:10:35,236.2,,,,,,257.0
2017-05-01 00:10:40,232.8,,,,,,257.0
2017-05-01 00:10:45,236.2,,,,,,256.0
2017-05-01 00:10:50,234.2,,,,,,256.0
2017-05-01 00:10:55,233.8,,,,,,256.0
2017-05-01 00:11:00,233.8,,,,,,256.0
2017-05-01 00:11:05,233.8,,,,,,256.0
2017-05-01 00:11:10,235.0,,,,,,257.0
2017-05-01 00:11:15,234.8,,,,,,257.0
2017-05-01 00:11:20,234.2,,,,,,256.0
2017-05-01 00:11:25,234.6,,,,,,256.0
2017-05-01 00:11:30,234.2,,,,,,258.0
2017-05-01 00:11:35,234.2,,,,,,258.0
2017-05-01 00:11:40,233.4,,,,,,256.0
2017-05-01 00:11:45,235.8,,,,,,256.0
2017-05-01 00:11:50,234.2,,,,,,258.0
2017-05-01 00:11:55,233.0,,,,,,
2017-05-01 00:12:00,234.6,,,,,,258.0
2017-05-01 00:12:05,234.6,,,,,,259.0
2017-05-01 00:12:10,235.4,,,,,,259.0
2017-05-01 00:12:15,233.8,,,,,,258.0
2017-05-01 00:12:20,233.4,,,,,,257.0
2017-05-01 00:12:25,233.4,,,,,,257.0
2017-05-01 00:12:30,233.0,,,,,,256.0
2017-05-01 00:12:35,234.6,,,,,,256.0
2017-05-01 00:12:40,234.2,,,,,,255.0
2017-05-01 00:12:45,234.2,,,,,,255.0
2017-05-01 00:12:50,234.2,,,,,,259.0
2017-05-01 00:12:55,235.8,,,,,,259.0
2017-05-01 00:13:00,233.4,,,,,,256.0
2017-05-01 00:13:05,233.4,,,,,,256.0
2017-05-01 00:13:10,233.0,,,,,,257.0
2017-05-01 00:13:15,233.4,,,,,,
2017-05-01 00:13:20,234.6,420.0,,,,,257.0
2017-05-01 00:13:25,233.8,,,,,,257.0
2017-05-01 00:13:30,233.4,,,,,,256.0
2017-05-01 00:13:35,233.8,,,,,,256.0
2017-05-01 00:13:40,233.8,,,,,,256.0
2017-05-01 00:13:45,233.8,,,,,,256.0
2017-05-01 00:13:50,234.6,,,,,,257.0
2017-05-01 00:13:55,233.4,,,,,,257.0
