datetime,Elektrisch-Kombiniert_einHaushalt_5sek,Wasserkocher_einHaushalt_5sek,Waschmaschine_einHaushalt_5sek,Kühl-_und_Gefrierschrank_einHaushalt_5sek,Hauptanschluss_einHaushalt_5sek,Durchlauferhitzer_einHaushalt_5sek
2017-05-01 00:00:00,82.0,,,,,
2017-05-01 00:00:05,82.0,,,,25.0,0.0
2017-05-01 00:00:10,82.0,,,,27.0,0.0
2017-05-01 00:00:15,82.0,,,,24.0,0.0
2017-05-01 00:00:20,83.0,,,,24.0,0.0
2017-05-01 00:00:25,82.0,,,,24.0,0.0
2017-05-01 00:00:30,82.0,,,,24.0,0.0
2017-05-01 00:00:35,82.0,,,,25.0,0.0
2017-05-01 00:00:40,82.0,,,,25.0,0.0
2017-05-01 00:00:45,82.0,,,,24.0,0.0
2017-05-01 00:00:50,82.0,,,,24.0,0.0
2017-05-01 00:00:55,82.0,,,,26.0,0.0
2017-05-01 00:01:00,82.0,,,,26.0,0.0
2017-05-01 00:01:05,82.0,,,,,
2017-05-01 00:01:10,82.0,,,,25.0,0.0
2017-05-01 00:01:15,82.0,,,,24.0,0.0
2017-05-01 00:01:20,82.0,,,,24.0,0.0
2017-05-01 00:01:25,82.0,,,,23.0,0.0
2017-05-01 00:01:30,71.75,,,,23.0,0.0
2017-05-01 00:01:35,82.0,,,,25.0,0.0
2017-05-01 00:01:40,82.0,,,,25.0,0.0
2017-05-01 00:01:45,81.6,,,,24.0,0.0
2017-05-01 00:01:50,82.0,,,,24.0,0.0
2017-05-01 00:01:55,82.0,,,,24.0,0.0
2017-05-01 00:02:00,82.0,,,,24.0,0.0
2017-05-01 00:02:05,82.0,,,,24.0,0.0
2017-05-01 00:02:10,82.0,,,,24.0,0.0
2017-05-01 00:02:15,82.0,,,,,
2017-05-01 00:02:20,82.0,,,,24.0,0.0
2017-05-01 00:02:25,82.0,,,,25.0,0.0
2017-05-01 00:02:30,81.6,,,,25.0,0.0
2017-05-01 00:02:35,81.6,,,,23.0,0.0
2017-05-01 00:02:40,81.6,,,,23.0,0.0
2017-05-01 00:02:45,81.6,,,,23.0,0.0
2017-05-01 00:02:50,82.0,,,,23.0,0.0
2017-05-01 00:02:55,82.0,,,,24.0,0.0
2017-05-01 00:03:00,82.0,,,,24.0,0.0
2017-05-01 00:03:05,82.0,,,,24.0,0.0
2017-05-01 00:03:10,82.0,,,,22.0,0.0
2017-05-01 00:03:15,82.0,,,,22.0,0.0
2017-05-01 00:03:20,81.6,,,,,
2017-05-01 00:03:25,82.0,,,,24.0,0.0
2017-05-01 00:03:30,82.0,,,,24.0,0.0
2017-05-01 00:03:35,82.0,,,,23.0,0.0
2017-05-01 00:03:40,82.0,,,,23.0,0.0
2017-05-01 00:03:45,82.0,,,,24.0,0.0
2017-05-01 00:03:50,82.0,,,,24.0,0.0
2017-05-01 00:03:55,82.0,,,,25.0,0.0
2017-05-01 00:04:00,81.6,,,,25.0,0.0
2017-05-01 00:04:05,71.75,,,,24.0,0.0
2017-05-01 00:04:10,82.0,,,,24.0,0.0
2017-05-01 00:04:15,82.0,,,,24.0,0.0
2017-05-01 00:04:20,71.75,,,,25.0,0.0
2017-05-01 00:04:25,80.8,,,,25.0,0.0
2017-05-01 00:04:30,82.0,,,,,
2017-05-01 00:04:35,81.5,,,,23.0,0.0
2017-05-01 00:04:40,82.0,,,,23.0,0.0
2017-05-01 00:04:45,82.0,,,,24.0,0.0
2017-05-01 00:04:50,82.0,,,,24.0,0.0
2017-05-01 00:04:55,82.0,,,,23.0,0.0
2017-05-01 00:05:00,82.0,,,,23.0,0.0
2017-05-01 00:05:05,82.0,,,,24.0,0.0
2017-05-01 00:05:10,82.0,,,,25.0,0.0
2017-05-01 00:05:15,82.0,,,,25.0,0.0
2017-05-01 00:05:20,71.75,,,,24.0,0.0
2017-05-01 00:05:25,82.0,,,,24.0,0.0
2017-05-01 00:05:30,82.0,,,,24.0,0.0
2017-05-01 00:05:35,81.6,,,,,
2017-05-01 00:05:40,81.2,,,,24.0,0.0
2017-05-01 00:05:45,82.0,,,,24.0,0.0
2017-05-01 00:05:50,82.0,,,,24.0,0.0
2017-05-01 00:05:55,82.0,,,,24.0,0.0
2017-05-01 00:06:00,82.0,,,,24.0,0.0
2017-05-01 00:06:05,82.0,,,,25.0,0.0
2017-05-01 00:06:10,81.0,,,,23.0,0.0
2017-05-01 00:06:15,81.6,,,,23.0,0.0
2017-05-01 00:06:20,82.0,,,,23.0,0.0
2017-05-01 00:06:25,82.0,,,,23.0,0.0
2017-05-01 00:06:30,82.0,,,,24.0,0.0
2017-05-01 00:06:35,81.6,,,,24.0,0.0
2017-05-01 00:06:40,82.0,,,,22.0,0.0
2017-05-01 00:06:45,71.75,,,,,
2017-05-01 00:06:50,82.0,,,,22.0,0.0
2017-05-01 00:06:55,71.75,,,,23.0,0.0
2017-05-01 00:07:00,82.0,,,,23.0,0.0
2017-05-01 00:07:05,82.0,,,,25.0,0.0
2017-05-01 00:07:10,82.0,,,,23.0,0.0
2017-05-01 00:07:15,82.0,,,,23.0,0.0
2017-05-01 00:07:20,82.0,,,,23.0,0.0
2017-05-01 00:07:25,82.0,,,,23.0,0.0
2017-05-01 00:07:30,82.0,,,,25.0,0.0
2017-05-01 00:07:35,82.0,,,,25.0,0.0
2017-05-01 00:07:40,82.0,,,,23.0,0.0
2017-05-01 00:07:45,82.0,,,,23.0,0.0
2017-05-01 00:07:50,81.5,,,,,
2017-05-01 00:07:55,82.0,,,,24.0,0.0
2017-05-01 00:08:00,82.0,,,,24.0,0.0
2017-05-01 00:08:05,82.0,,,,23.0,0.0
2017-05-01 00:08:10,82.0,,,,24.0,0.0
2017-05-01 00:08:15,82.0,,,,24.0,0.0
2017-05-01 00:08:20,82.0,,,,23.0,0.0
2017-05-01 00:08:25,82.0,,,,23.0,0.0
2017-05-01 00:08:30,82.0,,,,24.0,0.0
2017-05-01 00:08:35,82.0,,,,24.0,0.0
2017-05-01 00:08:40,82.0,,,,23.0,0.0
2017-05-01 00:08:45,71.75,,,,23.0,0.0
2017-05-01 00:08:50,82.0,,,,23.0,0.0
2017-05-01 00:08:55,82.0,,,,,
2017-05-01 00:09:00,82.0,,,,23.0,0.0
2017-05-01 00:09:05,82.0,,,,23.0,0.0
2017-05-01 00:09:10,82.0,,,,23.0,0.0
2017-05-01 00:09:15,82.0,,,,23.0,0.0
2017-05-01 00:09:20,82.0,,,,25.0,0.0
2017-05-01 00:09:25,82.0,,,,25.0,0.0
2017-05-01 00:09:30,82.0,,,,23.0,0.0
2017-05-01 00:09:35,82.0,,,,23.0,0.0
2017-05-01 00:09:40,82.0,,,,24.0,0.0
2017-05-01 00:09:45,82.0,,,,24.0,0.0
2017-05-01 00:09:50,82.0,,,,24.0,0.0
2017-05-01 00:09:55,81.6,,,,24.0,0.0
2017-05-01 00:10:00,82.0,,,,24.0,0.0
2017-05-01 00:10:05,82.0,,,,,
2017-05-01 00:10:10,82.0,,,,24.0,0.0
2017-05-01 00:10:15,82.0,,,,24.0,0.0
2017-05-01 00:10:20,82.0,,,,23.0,0.0
2017-05-01 00:10:25,82.0,,,,23.0,0.0
2017-05-01 00:10:30,82.0,,,,22.0,0.0
2017-05-01 00:10:35,82.0,,,,22.0,0.0
2017-05-01 00:10:40,82.0,,,,22.0,0.0
2017-05-01 00:10:45,82.0,,,,22.0,0.0
2017-05-01 00:10:50,82.0,,,,24.0,0.0
2017-05-01 00:10:55,82.0,,,,24.0,0.0
2017-05-01 00:11:00,82.0,0.0,,,25.0,0.0
2017-05-01 00:11:05,82.0,,,,,
2017-05-01 00:11:10,82.0,,20.0,,23.0,0.0
2017-05-01 00:11:15,82.0,,,,23.0,0.0
2017-05-01 00:11:20,82.0,,,,22.0,0.0
2017-05-01 00:11:25,82.0,,,,22.0,0.0
2017-05-01 00:11:30,82.0,,,,23.0,0.0
2017-05-01 00:11:35,82.0,,,,23.0,0.0
2017-05-01 00:11:40,82.0,,,,23.0,0.0
2017-05-01 00:11:45,82.0,,,,23.0,0.0
2017-05-01 00:11:50,82.0,,,,24.0,0.0
2017-05-01 00:11:55,82.0,,,,24.0,0.0
2017-05-01 00:12:00,83.0,,,,23.0,0.0
2017-05-01 00:12:05,82.0,,,,23.0,0.0
2017-05-01 00:12:10,82.0,,,,23.0,0.0
2017-05-01 00:12:15,82.0,,,,,
2017-05-01 00:12:20,82.0,,,,25.0,0.0
2017-05-01 00:12:25,82.0,,,,25.0,0.0
2017-05-01 00:12:30,71.75,,,,24.0,0.0
2017-05-01 00:12:35,82.0,,,,24.0,0.0
2017-05-01 00:12:40,82.0,,,,22.0,0.0
2017-05-01 00:12:45,82.0,,,,22.0,0.0
2017-05-01 00:12:50,82.0,,,,24.0,0.0
2017-05-01 00:12:55,81.6,,,,24.0,0.0
2017-05-01 00:13:00,82.0,,,48.0,23.0,0.0
2017-05-01 00:13:05,82.0,,,48.0,25.0,0.0
2017-05-01 00:13:10,82.0,,,,25.0,0.0
2017-05-01 00:13:15,82.0,,,,24.0,0.0
2017-05-01 00:13:20,82.0,,,,,
2017-05-01 00:13:25,82.0,,,,24.0,0.0
2017-05-01 00:13:30,82.0,,,,24.0,0.0
2017-05-01 00:13:35,82.0,,,,24.0,0.0
2017-05-01 00:13:40,82.0,,,,22.0,0.0
2017-05-01 00:13:45,82.0,,,,22.0,0.0
2017-05-01 00:13:50,82.0,,,,24.0,0.0
2017-05-01 00:13:55,82.0,,,,24.0,0.0
2017-05-01 00:14:00,82.0,,,,23.0,0.0
2017-05-01 00:14:05,82.0,,,,23.0,0.0
2017-05-01 00:14:10,82.0,,,,23.0,0.0
2017-05-01 00:14:15,82.0,,,,24.0,0.0
2017-05-01 00:14:20,82.0,,,,24.0,0.0
2017-05-01 00:14:25,82.0,,,,23.0,0.0
2017-05-01 00:14:30,82.0,,,,,
2017-05-01 00:14:35,82.0,,,,23.0,0.0
2017-05-01 00:14:40,82.0,,,,22.0,0.0
2017-05-01 00:14:45,82.0,,,,22.0,0.0
2017-05-01 00:14:50,82.0,,,,23.0,0.0
2017-05-01 00:14:55,82.0,,,,23.0,0.0
2017-05-01 00:15:00,82.0,,,,23.0,0.0
2017-05-01 00:15:05,82.0,,,,24.0,0.0
2017-05-01 00:15:10,82.0,,,,24.0,0.0
2017-05-01 00:15:15,82.0,,,,24.0,0.0
2017-05-01 00:15:20,82.0,,,,24.0,0.0
2017-05-01 00:15:25,82.0,,,,23.0,0.0
2017-05-01 00:15:30,82.0,,,,23.0,0.0
2017-05-01 00:15:35,82.0,,,,,
2017-05-01 00:15:40,82.0,,,,24.0,0.0
2017-05-01 00:15:45,82.0,,,,24.0,0.0
2017-05-01 00:15:50,82.0,,,,24.0,0.0
2017-05-01 00:15:55,82.0,,,,24.0,0.0
2017-05-01 00:16:00,82.0,,,,24.0,0.0
2017-05-01 00:16:05,82.0,,,,23.0,0.0
2017-05-01 00:16:10,82.0,,,,23.0,0.0
2017-05-01 00:16:15,81.5,,,,22.0,0.0
2017-05-01 00:16:20,82.0,,,,22.0,0.0
2017-05-01 00:16:25,81.6,,,,23.0,0.0
2017-05-01 00:16:30,82.0,,,,23.0,0.0
2017-05-01 00:16:35,82.0,,,,24.0,0.0
2017-05-01 00:16:40,82.0,,,,24.0,0.0
2017-05-01 00:16:45,82.0,,,,,
2017-05-01 00:16:50,82.0,,,,23.0,0.0
2017-05-01 00:16:55,63.666666666666664,,,,23.0,0.0
2017-05-01 00:17:00,82.0,,,,23.0,0.0
2017-05-01 00:17:05,82.0,,,,23.0,0.0
2017-05-01 00:17:10,82.0,,,,23.0,0.0
2017-05-01 00:17:15,82.0,,,,24.0,0.0
2017-05-01 00:17:20,81.6,,,,24.0,0.0
2017-05-01 00:17:25,82.0,,,,23.0,0.0
2017-05-01 00:17:30,82.0,,,,23.0,0.0
2017-05-01 00:17:35,82.0,,,,24.0,0.0
2017-05-01 00:17:40,82.0,,,,24.0,0.0
2017-05-01 00:17:45,82.0,,,,24.0,0.0
2017-05-01 00:17:50,82.0,,,,,
2017-05-01 00:17:55,82.0,,,,24.0,0.0
2017-05-01 00:18:00,82.0,,,,23.0,0.0
2017-05-01 00:18:05,82.0,,,,24.0,0.0
2017-05-01 00:18:10,82.0,,,,24.0,0.0
2017-05-01 00:18:15,82.0,,,,23.0,0.0
2017-05-01 00:18:20,82.0,,,,23.0,0.0
2017-05-01 00:18:25,82.0,,,,23.0,0.0
2017-05-01 00:18:30,71.75,,,,23.0,0.0
2017-05-01 00:18:35,82.0,,,,24.0,0.0
2017-05-01 00:18:40,82.0,,,,24.0,0.0
2017-05-01 00:18:45,82.0,,,,23.0,0.0
2017-05-01 00:18:50,82.0,,,,23.0,0.0
2017-05-01 00:18:55,82.0,,,,23.0,0.0
2017-05-01 00:19:00,82.0,,,,,
2017-05-01 00:19:05,71.75,,,,25.0,0.0
2017-05-01 00:19:10,82.0,,,,25.0,0.0
2017-05-01 00:19:15,82.0,,,,24.0,0.0
2017-05-01 00:19:20,82.0,,,,24.0,0.0
2017-05-01 00:19:25,82.0,,,,24.0,0.0
2017-05-01 00:19:30,82.0,,,,24.0,0.0
2017-05-01 00:19:35,82.0,,,,24.0,0.0
2017-05-01 00:19:40,82.0,,,,24.0,0.0
2017-05-01 00:19:45,82.0,,,,23.0,0.0
2017-05-01 00:19:50,82.0,,,,23.0,0.0
2017-05-01 00:19:55,82.0,,,,24.0,0.0
2017-05-01 00:20:00,82.0,,,,22.0,0.0
2017-05-01 00:20:05,82.0,,,,,
2017-05-01 00:20:10,82.0,,,,22.0,0.0
2017-05-01 00:20:15,82.0,,,,24.0,0.0
2017-05-01 00:20:20,82.0,,,,24.0,0.0
2017-05-01 00:20:25,82.0,,,,25.0,0.0
2017-05-01 00:20:30,82.0,,,,25.0,0.0
2017-05-01 00:20:35,82.0,,,,24.0,0.0
2017-05-01 00:20:40,82.0,,,,24.0,0.0
2017-05-01 00:20:45,82.0,,,,23.0,0.0
2017-05-01 00:20:50,82.0,,,,23.0,0.0
2017-05-01 00:20:55,82.0,,,,24.0,0.0
2017-05-01 00:21:00,82.0,,,,25.0,0.0
2017-05-01 00:21:05,82.0,,1.0,,25.0,0.0
2017-05-01 00:21:10,82.0,,,,23.0,0.0
2017-05-01 00:21:15,82.0,,,,,
2017-05-01 00:21:20,82.0,,,,23.0,0.0
2017-05-01 00:21:25,82.0,,,,23.0,0.0
2017-05-01 00:21:30,82.0,,,,23.0,0.0
