Ziel_csv,EnArgus_xml,Erlaeuterung
FKZ,fkz,Foerderkennzeichen
Datenbank,db,
Laufzeitbeginn,fi_von/iso8601
Laufzeitende,fi_ende/iso8601
Thema,v_thema,Thema des Forschungsprojekts
Foerdersumme_EUR,fi_sumbew/value
Verbundbezeichung,ver_bez
Leistungsplan_Sys_Nr,lp_nr,Leistungsplansystematik Kennziffer
Leistungsplan_Sys_Text,lp_text,Leistungsplansystematik Text
Name_AS,name_st,Name ausfuehrende Stelle
PLZ_AS,plz_strasse_st,Postleitzahl ausfuehrende Stelle
Ort_AS,ort_st,Ort ausfuehrende Stelle
Adress_AS,ad_str_st,Adress ausfuehrende Stelle
Land_AS,land_st,Bundesland ausfuehrende Stelle
Gemeindekennziffer_AS,gem_gemkz_st,Gemeindekennziffer ausfuehrende Stelle
Name_ZWE,name_ze,Name Zuwendungsempfaenger
PLZ_ZWE,plz_strasse_ze,Postleitzahl Zuwendungsempfaenger
Ort_ZWE,ort_ze,Ort Zuwendungsempfaenger
Adress_ZWE,ad_str_ze,Adress Zuwendungsempfaenger
Land_ZWE,land_ze,Bundesland Zuwendungsempfaenger
Gemeindekennziffer_ZWE,gem_gemkz_ze,Gemeindekennziffer Zuwendungsempfaenger
Bundesministerium,v_ressort,Ressortkennung
Projekttraeger,v_pt_detail,
Forschungsprogramm,v_forschsp_text,Text Forschungsprogramm
Foerderprogramm,v_prog_text,Text Förderprogramm
Kurzbeschreibung_de,auf_bez_pub,oeffentliche deutsche Kurzbeschreibung
Kurzbeschr_de_quelle,auf_bez_pub_quelle,Quelle der oeffentliche deutsche Kurzbeschreibung 
Kurzbeschreibung_en,auf_bez_pub_en,oeffentliche englische Kurzbeschreibung
Kurzbeschr_en_quelle,auf_bez_pub_quelle_en,Quelle der oeffentliche englische Kurzbeschreibung
Person_pl,pers_pl,kompletter Name des Projektleiters
Titel_pl,pers_titel_pl,Titel des Projektleiters
Vorname_pl,pers_vname_pl,Vorname des Projektleiters
Name_pl,pers_name_pl,Name des Projektleiters
Email_pl,pers_email_pl,Email des Projektleiters
