FKZ;modulzuordnung_ptj_1;modulzuordnung_ptj_2;modulzuordnung_ptj_3;modulzuordnung_ptj_4
03EN1032D;M2;M1;;
03EN1032A;M2;M1;;
03EN1032C;M2;M1;;
03EN1032F;M2;M1;;
03EN1032B;M2;M1;;
03EN1032E;M2;M1;;
03EN1042;M4;M1;M2;
03EGB0029;M2;M1;;
03EGB0032;M2;M1;;
03EGB0025A;M2;M1;M4;
03EGB0025C;M2;M1;M4;
03EGB0025B;M2;M1;M4;
03EGB0028;M2;M1;;
03EGB0027;M2;M1;;
03EGB0031;M2;M1;;
03EGB0030;M2;M1;;
03EN1023A;M2;M1;;
03EN1023B;M2;M1;;
03SBE0001E;M2;M1;;
03EGB0022;M2;M1;;
03ETW018B;M2;M1;;
03ETW018A;M2;M1;;
03EN1015A;M2;M1;M4;
03EN1015E;M2;M1;M4;
03EN1015B;M2;M1;M4;
03EN1015F;M2;M1;M4;
03EN1015D;M2;M1;M4;
03EN1015C;M2;M1;M4;
03EGB0023B;M2;M1;;
03EGB0023C;M2;M1;;
03EGB0023A;M2;M1;;
03ETW011A;M2;M1;;
03ETW005A;M2;M1;;
03SBE0001D;M2;M1;;
03EGB0015A;M2;M1;;
03EGB0007C;M2;M1;;
03EGB0007A;M2;M1;;
03EGB0007B;M2;M1;;
03EGB0007D;M2;M1;;
03ET1552B;M2;M1;;
03ET1552A;M2;M1;;
03SBE0001C;M2;M1;;
03SBE0003E;M2;M1;;
03SBE0003C;M2;M1;;
03SBE0003B;M2;M1;;
03SBE0003A;M2;M1;;
03ET1513E;M2;M1;M4;
03ET1513F;M2;M1;M4;
03ET1513B;M2;M1;M4;
03ET1513A;M2;M1;M4;
03ET1513D;M2;M1;M4;
03EGB0003A;M2;M1;;
03SBE0001B;M2;M1;;
03SBE0001A;M2;M1;;
03ET1343A;M2;M1;M3;
03ET1370A;M2;M1;;
03EN1024C;M4;M2;;
03EN1024A;M4;M2;;
03EN1024B;M4;M2;;
03EN1020C;M1;M2;;
03EN1020B;M1;M2;;
03EN1020A;M1;M2;;
03EN1030B;M4;M2;;
03EN1030A;M4;M2;;
03EN1022B;M4;M2;;
03EN1022D;M4;M2;;
03EN1022A;M4;M2;;
03EN1022C;M4;M2;;
03EN3018A;M3;M2;;
03EN3018F;M3;M2;;
03EN3018G;M3;M2;;
03EN3018B;M3;M2;;
03EN3018E;M3;M2;;
03EN3018C;M3;M2;;
03EN1021D;M4;M2;;
03EN1021B;M4;M2;;
03EN1021A;M4;M2;;
03EN1021C;M4;M2;;
03EN1021F;M4;M2;;
03EN1021E;M4;M2;;
03EN1026A;M4;M2;;
03EN1026B;M4;M2;;
03EN1026C;M4;M2;;
03EN1026E;M4;M2;;
03EN1026D;M4;M2;;
03ETW017E;M4;M2;;
03ETW017F;M4;M2;;
03EN1014A;M4;M2;;
03EN1014C;M4;M2;;
03EN1014B;M4;M2;;
03ETW020;M1;M2;;
03ET1446B;M1;M2;;
03ET1658B;M4;M2;;
03ET1658A;M4;M2;;
03ET1660B;M4;M2;;
03ET1660A;M4;M2;;
03ET1660E;M4;M2;;
03ET1660C;M4;M2;;
03ET1660F;M4;M2;;
03ET1660D;M4;M2;;
03ET1660G;M4;M2;;
03ET1660H;M4;M2;;
03ET1645B;M4;M2;M1;
03ET1645A;M4;M2;M1;
03ET1645C;M4;M2;M1;
03ET1645D;M4;M2;M1;
03ET1645E;M4;M2;M1;
03ET1603A;M4;M2;;
03ET1603E;M4;M2;;
03ET1603D;M4;M2;;
03ET1603C;M4;M2;;
03ET1603B;M4;M2;;
03ET1657A;M4;M2;;
03ET1657C;M4;M2;;
03ET1657B;M4;M2;;
03ET1611A;M4;M2;;
03ET1611B;M4;M2;;
03ET1611C;M4;M2;;
03ET1602A;M1;M2;;
03ET1602B;M1;M2;;
03ET1562B;M4;M2;;
03ET1562A;M4;M2;;
03ET1561C;M4;M2;;
03ET1561A;M4;M2;;
03ET1502A;M1;M2;;
03ET1502B;M1;M2;;
03ET1446A;M1;M2;;
03ET1449B;M4;M2;;
03ET1449A;M4;M2;;
03ET1449C;M4;M2;;
03ET1441B;M1;M2;;
03ET1441C;M1;M2;;
03ET1441D;M1;M2;;
03ET1441A;M1;M2;;
03ET1423A;M1;M2;;
03ET1423B;M1;M2;;
0325870B;M1;M2;;
0325870A;M1;M2;;
03ET1415A;M1;M2;;
03ET1415B;M1;M2;;
0325862;M1;M2;;
03ET1443A;M1;M2;;
03ET1369A;M1;M2;;
03ET1315B;M4;M2;M1;
03ET1315A;M4;M2;M1;
03ET1315C;M4;M2;M1;
03ET1328A;M1;M2;;
03EGB0006C;M1;M2;;
03EGB0006B;M1;M2;;
03EGB0006A;M1;M2;;
03EN3035A;M4;M3;;
03EN3035C;M4;M3;;
03EN3035D;M4;M3;;
03EN3035B;M4;M3;;
03EN3021C;M4;M3;;
03EN3021A;M4;M3;;
03EN3021D;M4;M3;;
03EN3021B;M4;M3;;
