"Tool";"Kurzbeschreibung";"Anwendungsbereich";"Kategorie";"Lebenszyklusphase";"Nutzerschnittstelle";"Zielgruppe";"letztes Update";"Lizenz";"weitere Informationen";"Alternativen";"konkrete Anwendung in EWB Projekten";"Nutzerbewertungen"
"ArcGIS";"ArcGIS ist der Oberbegriff für verschiedene Geoinformationssystem-Softwareprodukte des Unternehmens ESRI.";"u.a. Umweltanalyse, Kartenerstellung, militärischer Bereich, Katastrophenschutz";"Datenverwaltung, Anzeige und Gestaltung";"Planung";"Cloud-based Software";"Kommunen und Sicherheitsbehörden";01.05.21;"kostenpflichtig";"https://www.arcgis.com/index.html";;;
"AutoCAD";"AutoCAD ist eine CAD-Software, die Architekten, Ingenieure und Baufachleute zur Erstellung präziser 2D- und 3D-Zeichnungen einsetzen.";"Entwerfen und bearbeiten von Volumenkörpern, Flächen und Netzobjekten";"Modellbildung";"Planung";"Software";"Architekten, Ingenieure, Baufachleute";"laufend";"kostenpflichtig";"https://www.autodesk.de/products/autocad/";;;
"Mondas";"Bei der mondas® IoT-Plattform handelt es sich um ein webbasiertes Analysetool, das speziell für große Datenmengen ausgelegt ist. Die Plattform kann vielfältige Aufgaben wie Energie- und Anlagenmonitoring, Inbetriebnahme-Monitoring, Predictive Maintenance oder Logistik übernehmen. Für die Überwachung eignen sich Anlagen wie Blockheizkraftwerke, Solaranlagen, aber auch Kältemaschinen, Druckluftkompressoren sowie die gesamte Gebäudetechnik in großen Liegenschaften und komplexen Verwaltungsgebäuden.";"Energie und Anlagenmonitoring, Predictive Maintenance, Logistik";"Cloud-basiertes Echtzeit Monitoring";"Betrieb";"Webbasiert";"Anlagenhersteller und Betreiber, Energiedienstleister, Liegenschaftsverwalter, TGA-Planungsbüros, Fertigungsbetriebe";"laufend";"kostenpflichtig";"https://mondas-iot.com/";;;
"C#";"C# ist eine typsichere objektorientierte Allzweck-Programmiersprache.";;"Programmiersprache";;;;"laufend";"Open-Source";;;;
"CAD";"CAD (computer-aided-design) bezeichnet die Unterstützung von konstruktiven Aufgaben mittels EDV zur Herstellung eines Produkts.";"in fast allen Zweigen der Technik: z.B. Architektur, Bauingenieurwesen, Maschinenbau, Elektrotechnik ";"Konstruktion";"Planung, Umsetzung";"CAD-Software";"u.a. Ingenieure, Architekten";;;;;;
"CloneMAP";"CloneMAP (cloud-native Multi-Agent Plattform) ist eine Multi-Agenten Plattform, welche für die Ausführung in einem Kubernetes-Cluster entwickelt wurde. Das Ziel dieses Projekts ist es, die Vorteile von Cloud-Computing und einem verteilten Programmierparadigma (Multi-Agenten Systeme) zu kombinieren. cloneMAP ist in der Programmiersprache Go geschrieben.";"vier Module: -Core: MAS und Agenten Erzeugung sowie Überwachung -DF: Service Registrierung und Discovery -IoT: MQTT Broker -Logging: Speichern von Logs und Zustandsinformationen";"Cloud Anwendung, Datenverarbeitung";"/";"Software Bibliothek (Sprache: Go)";"Informatiker, Software-Entwickler";;"kostenfrei";"https://www.fein-aachen.org/projects/clonemap/";;;
"Comsol";"COMSOL Multiphysics ist eine Software zur Simulation physikalischer Vorgänge, die mittels Differentialgleichungen beschrieben werden können.";"physikalische Modellierungen";"Analyse";"Planung, Betrieb";"Software, GUI";"Physiker, Ingenieure";01.12.21;"kostenpflichtig";"https://www.comsol.de/";;;
"FMI";"Das Functional Mock-up Interface (FMI) ist ein freier Standard, der den Austausch dynamischer Modelle mithilfe einer Kombination aus XML-Dateien, Binärdateien und C-Code, die in einer einzigen Datei gezippt sind, ermöglicht.";"Erstellen eines virtuellen Produktes";"Modellierung";"Planung";"Softwarebibliothek (Sprache: C)";"Softwareentwickler";01.11.21;"Open-Source";"https://fmi-standard.org/";;;
"Oemof";"Das Modellierungsframework oemof (Open Energy Modelling Framework) ist ein Werkzeug zur Modellierung und Analyse von Energiesystemen.";"Energiesystemmodellierung";"Modellierung";"Planung, Betrieb";"Softwarebibliothek (Sprache: Python)";"Ingenieure, Software-Entwickler";"letzter Push bei GitHub: Feb 2021";"Open-Source";"https://reiner-lemoine-institut.de/oemof/";;;
"DesignBuilder";"DesignBuilder für Ingenieure dient u.a. zur Unterstützung bei der nachhaltigen Gebäudeplanung. Führende Dienstleistungsingenieure und Energiemodellierer verwenden DesignBuilder, um Designentscheidungen zu treffen, die Energieeffizienz, Komfort und Kosten optimieren.";"Gebäudeplanung, Energiemodellierung";"Modellierung";"Planung";"Software, GUI";"Ingenieure, Architekten";01.11.21;"kostenpflichtig";"https://designbuilder.co.uk/";;;
