name;resources;shortDescription;applicationArea;provider;usage;lifeCyclePhase;targetGroup;userInterface;userInterfaceNotes;programmingLanguages;frameworksLibraries;databaseSystem;classification;focus;scale;lastUpdate;accessibility;licence;licenseNotes;furtherInformation;alternatives;specificApplication;released;releasedPlanned;yearOfRelease;developmentState;technicalStandardsNorms;technicalStandardsProtocols;image
ArcGIS;https://www.arcgis.com/index.html;ArcGIS ist der Oberbegriff für verschiedene Geoinformationssystem-Softwareprodukte des Unternehmens ESRI.;Forschung/Lehre, Dienstleistung;Esri;Monitoring, Planung;Planung;Baufachleute, Ingenieur:innen, Endnutzer:innen;webbasierte Benutzeroberfläche, grafische Benutzeroberfläche ;;C++, Python;.NET, Qt, Sonstige;Esri Geodatabase, ArcSDE (Spatial Database Engine);digitale Anwendung;technisch;Gebäude, Quartier/Netze, Region/Land;laufend;kostenpflichtig;;;;QGIS;['03EN3013'];1;;1999;5;;;ArcGIS_logo.png
AutoCAD;https://www.autodesk.de/products/autocad/;AutoCAD ist eine CAD-Software, die Architekten, Ingenieure und Baufachleute zur Erstellung präziser 2D- und 3D-Zeichnungen einsetzen.;Forschung/Lehre, Dienstleistung;Autodesk;Planung;Planung;Baufachleute, Ingenieur:innen;grafische Benutzeroberfläche ;;LISP;.NET, Sonstige;sonstige;digitale Anwendung;technisch;Komponente, Anlage, Gebäude, Quartier/Netze, Region/Land;laufend;kostenpflichtig;;;;;['03EGB0021'];1;;1979;5;;;AutoCad-logo.webp
Mondas;https://mondas-iot.com/;Bei der mondas® IoT-Plattform handelt es sich um ein webbasiertes Analysetool, das speziell für große Datenmengen ausgelegt ist. Die Plattform kann vielfältige Aufgaben wie Energie- und Anlagenmonitoring, Inbetriebnahme-Monitoring, Predictive Maintenance oder Logistik übernehmen. Für die Überwachung eignen sich Anlagen wie Blockheizkraftwerke, Solaranlagen, aber auch Kältemaschinen, Druckluftkompressoren sowie die gesamte Gebäudetechnik in großen Liegenschaften und komplexen Verwaltungsgebäuden.;Verwaltung, Industrie, Dienstleistung;mondas GmbH;Monitoring, Optimierung, Planung;Betrieb;Baufachleute, Ingenieur:innen, Endnutzer:innen;webbasierte Benutzeroberfläche;;;;;digitale Anwendung;technisch;Anlage, Gebäude, Quartier/Netze, Region/Land;laufend;kostenpflichtig;;;;;['03EGB0023'];1;;unbekannt;5;;;mondas_logo.png
C#;;C# ist eine typsichere objektorientierte Allzweck-Programmiersprache.;Forschung/Lehre, Industrie;Microsoft Corporation;Simulation, Monitoring, Optimierung, Planung, Steuerung, Regelung;Vorplanung, Planung, Umsetzung, Betrieb;Baufachleute, Ingenieur:innen, Informatiker:innen/Software-Entwickler:innen;Sonstiges;;C#;.NET;;Sprache;technisch;Komponente, Anlage, Gebäude, Quartier/Netze, Region/Land;laufend;open-source;;;;;['03ET1612'];;;2000;5;;;c_logo.png
CAD;;CAD (computer-aided-design) bezeichnet die Unterstützung von konstruktiven Aufgaben mittels EDV zur Herstellung eines Produkts.;Forschung/Lehre, Industrie, Dienstleistung;;Optimierung, Planung;Planung, Umsetzung;Baufachleute, Ingenieur:innen;grafische Benutzeroberfläche ;;C++, Java, Python, sonstige;;PostgreSQL, MySQL, SQLite, sonstige;Framework/Bibliothek;technisch;Komponente, Anlage, Gebäude, Quartier/Netze, Region/Land;laufend;kostenpflichtig, open-source, freeware;;;;;['03EN3018A', '03EGB0021'];1;;;5;;;
CloneMAP;https://www.fein-aachen.org/projects/clonemap/;CloneMAP (cloud-native Multi-Agent Plattform) ist eine Multi-Agenten Plattform, welche für die Ausführung in einem Kubernetes-Cluster entwickelt wurde. Das Ziel dieses Projekts ist es, die Vorteile von Cloud-Computing und einem verteilten Programmierparadigma (Multi-Agenten Systeme) zu kombinieren. cloneMAP ist in der Programmiersprache Go geschrieben.;Forschung/Lehre, Industrie, Dienstleistung;Institute for Automation of Complex Power Systems, EONERC;Simulation, Monitoring, Optimierung, Planung, Steuerung, Regelung;Vorplanung, Planung, Betrieb;Informatiker, Software-Entwickler;Kommandozeile;;Go;;;Plattform;technisch;Komponente, Anlage, Gebäude, Quartier/Netze, Region/Land;2022-05-31;open-source;Apache License 2.0, MIT;;;;['03ET1495'];1;;2020;5;;;clonemap_logo.png
Comsol;https://www.comsol.de/;COMSOL Multiphysics ist eine Software zur Simulation physikalischer Vorgänge, die mittels Differentialgleichungen beschrieben werden können.;Forschung/Lehre, Industrie;comsol;Simulation, Optimierung, Planung;Planung, Betrieb;Ingenieur:innen;grafische Benutzeroberfläche ;;;;;digitale Anwendung;technisch;Komponente, Anlage;2022-12-01;kostenpflichtig;;;;;['03ET1632','03ET1472'];1;;1998;5;;;comsol_logo.png
FMI;https://fmi-standard.org/, https://github.com/modelica/fmi-standard;Das Functional Mock-up Interface (FMI) ist ein freier Standard, der den Austausch dynamischer Modelle mithilfe einer Kombination aus XML-Dateien, Binärdateien und C-Code, die in einer einzigen Datei gezippt sind, ermöglicht.;Forschung/Lehre, Industrie;Modelica Association;Simulation, Optimierung, Planung, Steuerung, Regelung;Planung;Ingenieur:innen, Informatiker:innen/Software-Entwickler:innen;Kommandozeile;;C;;;Standard;technisch;Komponente, Anlage, Gebäude, Quartier/Netze, Region/Land;2023-07-10;open-source;Codes veröffentlicht unter der 2-Clause BSD License. Dokumente veröffentlicht unter Attribution-ShareAlike 4.0 International.;;;;['03ET1603'];1;;2019;5;;;FMI_logo.png
Oemof;https://oemof.org/, https://github.com/oemof/oemof, https://reiner-lemoine-institut.de/oemof/;Das Modellierungsframework oemof (Open Energy Modelling Framework) ist ein Werkzeug zur Modellierung und Analyse von Energiesystemen.;Forschung/Lehre;the oemof community;Simulation, Optimierung, Planung;Planung;Baufachleute, Ingenieur:innen;Kommandozeile;;Python;;;digitale Anwendung;technisch;Anlage, Gebäude, Quartier/Netze;2023-10-10;open-source;MIT;;;;['03ET1632'];1;;2015;5;;;oemof_logo.jpg
DesignBuilder;https://designbuilder.co.uk/;DesignBuilder für Ingenieure dient u.a. zur Unterstützung bei der nachhaltigen Gebäudeplanung. Führende Dienstleistungsingenieure und Energiemodellierer verwenden DesignBuilder, um Designentscheidungen zu treffen, die Energieeffizienz, Komfort und Kosten optimieren.;Dienstleistung;DesignBuilder Software Ltd;Simulation, Optimierung, Planung, Steuerung;Planung;Baufachleute, Ingenieur:innen;grafische Benutzeroberfläche ;;;;;digitale Anwendung;technisch;Gebäude, Quartier/Netze;2023-04-20;kostenpflichtig;;;;;['03ET1632'];1;;2008;5;;;designbuilder_logo.jpg
Dymola;https://www.3ds.com/de/produkte-und-services/catia/produkte/dymola/;Dymola ist eine kommerzielle Modellierungs- und Simulationsumgebung basierend auf der offenen Modellierungssprache Modelica.;Forschung/Lehre, Industrie;Dassault Systèmes;Simulation, Optimierung, Planung;Planung;Ingenieur:innen;grafische Benutzeroberfläche ;;Modelica;;;digitale Anwendung;technisch;Komponente, Anlage, Gebäude;2022-05-13;kostenpflichtig;;;;;['03ET1603'];1;;1997;5;;;Dymola_logo.png
Eclipse mosquitto;https://mosquitto.org/;Eclipse Mosquitto ist ein open source (EPL/EDL licensed) message broker, welcher mit dem MQTT protocol arbeitet;Forschung/Lehre, Industrie, Dienstleistung;the Eclipse Foundation and the community;Monitoring, Steuerung, Regelung;Betrieb;Ingenieur:innen, Informatiker:innen/Software-Entwickler:innen;Kommandozeile;;C;;;digitale Anwendung;technisch;Komponente, Anlage, Gebäude, Quartier/Netze, Region/Land;laufend;open-source;dual lizenziert unter der Eclipse Public License 2.0 und der Eclipse Distribution License 1.0;;;;['03ET1632'];1;;2009;5;;;mosquitto_logo.png
Earth Energy Designer;https://buildingphysics.com/eed-2/;EED ist ein PC-Programm zur Auslegung vertikaler Erdwärmesonden;Forschung/Lehre,  Dienstleistung;;Simulation, Optimierung, Planung;Planung;Baufachleute, Ingenieur:innen;grafische Benutzeroberfläche ;;;;;digitale Anwendung;technisch;;2019-04-01;kostenpflichtig;;;;;['03ET1605'];;;;;;;eed_logo.jpg
EnerCalC;https://ingefo.de/Werkzeuge/EnerCalC/;EnerCalC bietet die Möglichkeit mit relativ geringem Eingabeaufwand den Energiebedarf für ein Gebäude in Anlehnung an die DIN V 18599 differenziert zu bilanzieren.;Forschung/Lehre,  Dienstleistung;;Simulation, Optimierung, Planung;Betrieb;Baufachleute, Ingenieur:innen;grafische Benutzeroberfläche ;;;;;digitale Anwendung;technisch;;unbekannt;kostenpflichtig;;;;;['03EGB0021'];;;;;;;EnerCalC.png
EnergyPlus;https://energyplus.net/;EnergyPlus ist ein Gebäudeenergie-Simulationsprogramm für Ingenieure und Architekten um sowohl den Energieverbrauch für Heizung, Kühlung, Lüftung, Beleuchtung sowie Plug-and-Process-Lasten und den Wasserverbrauch in Gebäuden zu modellieren und zu simulieren.;Forschung/Lehre,  Dienstleistung;EnergyPlus wird vom Building Technologies Office (BTO) des US-Energieministeriums (DOE) gefördert und vom National Renewable Energy Laboratory (NREL) betreut.;Simulation, Optimierung, Planung, Steuerung, Regelung;Planung;Baufachleute, Ingenieur:innen;Kommandozeile;;C++;;;digitale Anwendung;technisch;Komponente, Anlage, Gebäude, Quartier/Netze, Region/Land;laufend;open-source;EnergyPlus License;;;;['03EN6003','03ET1299'];1;;2001;5;;;EnergyPlus_logo.png
Synavision;https://www.synavision.de/;Erstellung einer digitalen Funktionsbeschreibung der Steuer- und Regelungsfunktionen individueller Gebäude.;Dienstleistung;;Monitoring, Optimierung, Planung;Planung, Betrieb;Baufachleute, Ingenieur:innen;grafische Benutzeroberfläche ;;;;;digitale Anwendung;technisch;;unbekannt;kostenpflichtig;;;;;['03ET1446', '03ET1647'];;;;;;;synavision_logo.png
Feflow;https://www.mikepoweredbydhi.com/products/feflow;FEFLOW (Finite Element subsurface FLOW System) ist ein Computerprogramm zur Simulation des Grundwasserflusses, des Stoffübergangs und des Wärmeübergangs in porösen und gebrochenen Medien.;Forschung/Lehre,  Dienstleistung;;Simulation, Monitoring, Optimierung, Planung;Planung, Betrieb;Ingenieur:innen;grafische Benutzeroberfläche ;;;;;digitale Anwendung;technisch;;2021-01-01;kostenpflichtig;;;;;['03EGB0016A','03EGB0016B','03EGB0016C','03ET1472'];;;;;;;feflow_logo_UbYK6gI.png
Grafana;https://grafana.com/, https://github.com/grafana/grafana;Grafana ist eine plattformübergreifende Open-Source-Anwendung zur grafischen Darstellung von Daten aus verschiedenen Datenquellen wie z. B. InfluxDB, MySQL, PostgreSQL, Prometheus und Graphite. Die erfassten Rohdaten lassen sich anschließend in verschiedenen Anzeigeformen ausgeben.;Forschung/Lehre,  Dienstleistung;Grafana Labs;Monitoring, Optimierung, Steuerung;Betrieb;Ingenieur:innen, Informatiker:innen/Software-Entwickler:innen, Endnutzer:innen;grafische Benutzeroberfläche ;;TypeScript;Angular, React;InfluxDB, MySQL, PostgreSQL;digitale Anwendung;technisch;Komponente, Anlage, Gebäude, Quartier/Netze, Region/Land;laufend;open-source, kostenpflichtig;Für den open-source Teil: GNU AGPL-3.0-only;kostenlose Version verfügbar, kostenpflichtige Versionen für professionelle Anwendungen;;;['03ET1632'];1;;2014;5;;;Grafana_logo.png
Grasshopper;https://www.rhino3d.com/de/6/new/grasshopper/;Grasshopper ist ein Plugin für Rhinoceros 3D. Es ermöglicht die Modellierung von generativen Geometrien in einem grafischen Editor. Neben einem einfachen Einstieg ist aber auch die Einbindung von Scripten und Formeln möglich.;Forschung/Lehre, Industrie, Dienstleistung;;Simulation, Optimierung, Planung;Planung;Ingenieur:innen;Sonstiges;grafische Benutzeroberfläche (Plugin für Rhinoceros 3D);;;;digitale Anwendung;technisch;;2021-02-01;kostenpflichtig;;;;;['03EGB0028'];;;;;;;grashopper_logo.jpeg
IDA-ICE;https://www.equa.se/de/ida-ice;IDA Indoor Climate and Energy ist eine Software zur Simulation der Gebäudeleistung;Forschung/Lehre, Dienstleistung;;Simulation, Optimierung, Planung;Planung, Betrieb;Baufachleute, Ingenieur:innen;grafische Benutzeroberfläche ;;;;;digitale Anwendung;technisch;;unbekannt;kostenpflichtig;;;;;['03ET1632'];;;;;;;Ida-ICE-logo.jpg
Influx DB;https://www.influxdata.com/, https://github.com/influxdata/influxdb;InfluxDB ist ein Open Source Datenbankmanagementsystem, speziell für Zeitreihen.;Forschung/Lehre, Industrie, Dienstleistung;InfluxData Inc.;Monitoring, Optimierung, Planung, Steuerung, Regelung;Planung, Betrieb;Ingenieur:innen, Informatiker:innen/Software-Entwickler:innen;Kommandozeile;;Rust;Apache Arrow;InfluxDB;digitale Anwendung;technisch;Komponente, Anlage, Gebäude, Quartier/Netze, Region/Land;laufend;open-source, kostenpflichtig;Für den open-source Teil: Apache-2.0, MIT;kostenlose Version verfügbar, kostenpflichtige Versionen für professionelle Anwendungen;;;['03ET1632'];1;;2013;5;;;Influxdb_logo.png
