Förderkennzeichen (0010),Schlagwort1,Schlagwort2,Schlagwort3,Schlagwort4,Schlagwort5,Schlagwort6,Schlagwort
03ET1466A,Planungstool,BIM,Bewerungssysteme,Umweltwirkung,,,
03ET1466B,Planungstool,BIM,Bewerungssysteme,Umweltwirkung,,,
03ET1466C,Planungstool,BIM,Bewerungssysteme,Umweltwirkung,,,
03ET1466D,Planungstool,BIM,Bewerungssysteme,Umweltwirkung,,,
03ET1342A,PCM,,,,,,
03ET1416A,Licht- und Solarmanagement,modellprädiktive Regelung,Visualisierungs- und Gebäudemanagementsoftware,Lernalgorithmus,Behaglichkeit,Umweltwirkung,Nutzerverhalten
03ET1416B,Licht- und Solarmanagement,modellprädiktive Regelung,Visualisierungs- und Gebäudemanagementsoftware,Lernalgorithmus,Behaglichkeit,Umweltwirkung,Nutzerverhalten
03ET1416C,Licht- und Solarmanagement,modellprädiktive Regelung,Visualisierungs- und Gebäudemanagementsoftware,Lernalgorithmus,Behaglichkeit,Umweltwirkung,Nutzerverhalten
03ET1416D,Licht- und Solarmanagement,modellprädiktive Regelung,Visualisierungs- und Gebäudemanagementsoftware,Lernalgorithmus,Behaglichkeit,Umweltwirkung,Nutzerverhalten
03ET1416E,Licht- und Solarmanagement,modellprädiktive Regelung,Visualisierungs- und Gebäudemanagementsoftware,Lernalgorithmus,Behaglichkeit,Umweltwirkung,Nutzerverhalten
03ET1416F,Licht- und Solarmanagement,modellprädiktive Regelung,Visualisierungs- und Gebäudemanagementsoftware,Lernalgorithmus,Behaglichkeit,Umweltwirkung,Nutzerverhalten
03ET1564A,,,,,,,
0325867B,,,,,,,
03EGB0006B,,,,,,,
03EGB0008A,,,,,,,
03EGB0008B,,,,,,,
03EGB0009A,,,,,,,
03EGB0009B,,,,,,,
03EGB0009C,,,,,,,
03EGB0009D,,,,,,,
03EGB0009E,,,,,,,
03EGB0009F,,,,,,,
03EGB0009G,,,,,,,
03ET1388A,,,,,,,
03ET1388B,,,,,,,
03ET1399A,Wärmedämmung,,,,,,
03ET1399B,Wärmedämmung,,,,,,
03ET1399C,Wärmedämmung,,,,,,
03ET1399D,Wärmedämmung,,,,,,
03ET1399E,Wärmedämmung,,,,,,
03ET1399F,Wärmedämmung,,,,,,
03ET1443A,PCM,,,,,,
03ET1449B,Fehlererkennung,neuronales Netz,Kälteanlagen,,,,
0325865A,Solarkollektoren,LCA,Solarthermie,,,,
0325865B,Solarkollektoren,LCA,Solarthermie,,,,
03ET1405A,integraler Planungsprozess,Mess- und Analysesystem für Gebäudehüllen,,,,,
03ET1410A,integrierte Stadtmodell,dynamische  Simulation,CityGML,Modelica,,,
03ET1410C,integrierte Stadtmodell,dynamische  Simulation,CityGML,Modelica,,,
03ET1561C,Kommuniationsstandards,5G,Datensuffizienz,,,,
03ET1343A,Fehlererkennung,Monitoring,Netzdienlichkeit,Datenschutzkonzept,Datensuffizienz,Umweltwirkungen,
03EGB0002A,,,,,,,
03EGB0002B,,,,,,,
03EGB0002C,,,,,,,
03EGB0004A,,,,,,,
03EGB0004B,,,,,,,
03EGB0004C,,,,,,,
03EGB0004D,,,,,,,
03EGB0004E,,,,,,,
03EGB0004G,,,,,,,
03EIV135E,Lastmanagement,Simulationsmdoelle,,,,,
03ET1432A,Licht,,,,,,
03ET1432B,Licht,,,,,,
03ET1432C,Licht,,,,,,
03ET1449C,Fehlererkennung,neuronales Netz,Kälteanlagen,,,,
03ET1476A,Kälteversorgung,thermischer Speicher,Wärmeübertragung,CFD Simulation,,,
03ET1476B,Kälteversorgung,thermischer Speicher,Wärmeübertragung,CFD Simulation,,,
03ET1509D,Messdatensatz,Validierung Gebäudesimulationsprogramme,Umweltwirkungen,Datensuffizienz,,,
03ET1509E,Messdatensatz,Validierung Gebäudesimulationsprogramme,Umweltwirkungen,Datensuffizienz,,,
03SBE0005A,Energiemanagement,Smart District Konzept,,,,,
03ET1421A,Klimatisierung,Geothermie,,,,,
03ET1423A,adaptive und prädiktive Steuer- und Regelalgorithmen,Gebäudesanierung,,,,,
03ET1423B,adaptive und prädiktive Steuer- und Regelalgorithmen,Gebäudesanierung,,,,,
03ET1441A,PCM,,,,,,
03ET1441B,PCM,,,,,,
03ET1441C,PCM,,,,,,
03ET1441D,PCM,,,,,,
03ET1472A,Geothermie,Betriebssicherheit,,,,,
03ET1472B,Geothermie,Betriebssicherheit,,,,,
03ET1500A,Lastprofile,optimierte Anlagenplanung,PV,elektrischer Speicher,,,
03ET1597A,Fernwärme,Machbarkeit,Urbane Wärmeversorgung,,,,
03ET1597B,Fernwärme,Machbarkeit,Urbane Wärmeversorgung,,,,
03ET1597C,Fernwärme,Machbarkeit,Urbane Wärmeversorgung,,,,
03ET1424A,Wärmdämmung,Werkstoff,LCA,,,,
03ET1424B,Wärmdämmung,Werkstoff,LCA,,,,
03ET1424C,Wärmdämmung,Werkstoff,LCA,,,,
03ET1424D,Wärmdämmung,Werkstoff,LCA,,,,
03ET1424E,Wärmdämmung,Werkstoff,LCA,,,,
03ET1447A,automatisierte Erstellung Gebäudesimulationsmodell,optimierte Regelparameter,,,,,
