03ET1299B,Betriebsoptimierung,Verbrauchs-Visualisierung,Energiemanagement,,,,
03ET1299C,Betriebsoptimierung,Verbrauchs-Visualisierung,Energiemanagement,,,,
03ET1459F,3D urbane Energgiesystem Plattform,,,,,,
03ET1465C,intelligente Regelstrategie,Monitoring,Wärmenetz,Quartiere,,,
03ET1315A,Primärenergie,Daten NWG,,,,,
03ET1315B,Primärenergie,Daten NWG,,,,,
03ET1415B,Nutzereinbindung,Energiemanagment,Monitoring,,,,
03SBE0005B,Energiemanagement,Smart District Konzept,,,,,
03ET1570G,Planungstool,,,,,,
03ET1602B,Monitoring,Sanierung,,,,,
03SBE0003E,BIM,Fassaden,PV,,,,
03ETW012D,Softwaregestützte Betriebsanalyse und -optimierung,Kälteanlagen,Modelle,Schnittstellen,,,
03ETS002B,thermische Speicher,Wärmenetz,Solarthermie,,,,
03SBE113S,intelligente Steuerung,Flexibilität,innovative Dienstleistungen,Sektorkopplung,,,
03ETW014D,Lastprofile,Simulation,Wärme,Industrie,,,
03ETW023B,Solarthermie,Werkzeug,,,,,
03EN3020B,Netze,Wärme,Kälte,Quartier,Bodenkunde,Monitoring,
03EN3020C,Netze,Wärme,Kälte,Quartier,Bodenkunde,Monitoring,
03EN3020D,Netze,Wärme,Kälte,Quartier,Bodenkunde,Monitoring,
03EN3020E,Netze,Wärme,Kälte,Quartier,Bodenkunde,Monitoring,
03EN3020F,Netze,Wärme,Kälte,Quartier,Bodenkunde,Monitoring,
