name|communicationMediumCategory|supportedTransmissionMediuems|associatedStandards|openSourceStatus|licensingFeeRequirement|networkTopology|security|bandwith|frequency|range|numberOfConnectedDevices|dataModelArchitecture|discovery|multiMaster|packetSize|priorities|price|osiLayers|buildingAutomationLayer|link|image
BACnet|Verkabelt & Drahtlos|Twisted-Pair, Lichtwellenleiter, Drahtloses Mesh|ANSI/ASHRAE Standard 135, ISO-16484-5, ISO-16484-6|Open Source|Keine Gebühr erforderlich|Star, Mixed|TLS (Transport Layer Security) und OAuth (Open Authorization)|10/100/1000 Mbps|Nicht anwendbar|Nicht anwendbar||Object-Properties|Ja|Ja||Liste mit Rangordnung||Physikalische Schicht, Datenverbindungsschicht, Netzwerkschicht, Anwendungsschicht|Automationsebene, Managementebene|www.bacnet.org/|BACnet_logo.png
KNX|Verkabelt & Drahtlos|Elektrisches Netz, Funk, IP, Twisted-Pair|ISO/IEC 14543-3, CENELEC EN 50090, CEN EN 13321-1, ANSI/ASHRAE 135, GB/T 20965|Open Source|Gebühr erforderlich|Tree, Line, Star|KNX Secure implementiert Datenverschlüsselung und Authentifizierung|9,6 Kbps|Nicht anwendbar|Nicht anwendbar||||||||Physikalische Schicht, Datenverbindungsschicht, Netzwerkschicht, Transportschicht, Anwendungsschicht|Feldebene, Automationsebene|www.knx.org/|KNX_logo.png
Zigbee|Drahtlos|Funkfrequenz|IEEE 802.15.4|Open Source|Gebühr erforderlich|Mesh, Star, Tree|Daten werden mit AES-Algorithmus und 128-Bit-Schlüssel verschlüsselt|20 - 250 Kbps|2,4 GHz|10 - 100 m||||||||Physikalische Schicht, Datenverbindungsschicht, Netzwerkschicht, Anwendungsschicht||https://csa-iot.org/all-solutions/zigbee/|Zigbee_logo.png
Modbus|Verkabelt & Drahtlos|Twisted-Pair, Lichtwellenleiter, Drahtloses Mesh|IEC 61158|Open Source|Keine Gebühr erforderlich|Bus, Point-to-point, Tree, Star, Ring|Das Modbus-Protokoll selbst enthält keine integrierten Verschlüsselungs- oder Authentifizierungsmerkmale|RTU: 19,2 Kbps, TCP: 10/100/1000 Mbps|Nicht anwendbar|Nicht anwendbar||Registers & Coils|Nein|Nein|-|Letzer Eintrag||Anwendungsschicht|Feldebene, Automationsebene|www.Modbus.org/|Modbus_logo.png
MQTT|Verkabelt & Drahtlos|Twisted-Pair, Koaxial, Optische Fasern, Wifi, Mobilfunknetze|ISO/IEC 20922|Open Source|Keine Gebühr erforderlich|Nicht anwendbar|TLS (Transport Layer Security) und OAuth (Open Authorization)|Keine spezifischen Anforderungen|Nicht anwendbar|Nicht anwendbar||||||||Anwendungsschicht||https://mqtt.org/|MQTT_logo.png
LonWorks|Verkabelt & Drahtlos|Elektrisches Netz, Funkfrequenz, Optische Fasern, Koaxial, Twisted-Pair|ANSI/EIA 709.1, ISO/IEC 14908-1, 14908-2, 14908-3, 14908-4|Proprietär|Gebühr erforderlich|Bus, Tree, Star, Ring|Keine Datenverschlüsselung. Implementiert Senderauthentifizierung|9,8 Kbps - 1,25 Mbps|Nicht anwendbar|Nicht anwendbar||||||||Physikalische Schicht, Datenverbindungsschicht, Netzwerkschicht, Transportschicht, Anwendungsschicht|Feldebene, Automationsebene|http://www.lonmark.org/|LonWorks_logo.png
OPC UA|Verkabelt & Drahtlos|Twisted-Pair, Koaxial, Optische Fasern, Wifi, Mobilfunknetze|IEC62541|Open Source|Gebühr erforderlich|Nicht anwendbar|Authentifizierung und Autorisierung, Verschlüsselung und Datenintegrität durch Signaturen|Keine spezifischen Anforderungen|Nicht anwendbar|Nicht anwendbar||||||||Sitzungsschicht, Anwendungsschicht|Managementebene|https://opcfoundation.org/|OPC UA_logo.png
DALI|Drahtlos|Twisted-Pair|IEC 62386|Open Source|Gebühr erforderlich|Bus, Star|Keine Sicherheitsmaßnahmen implementiert|1,2 Kbps|Nicht anwendbar|Nicht anwendbar||||||||Physikalische Schicht, Datenverbindungsschicht|Feldebene, Automationsebene|https://www.dali-alliance.org/|DALI_logo.png
EnOcean|Drahtlos|Funkfrequenz|ISO/IEC 14543-3-10|Open Source|Gebühr erforderlich|Point-to-point|TLS mit AES-128-Bit-Verschlüsselung. Daten werden mit AES-Algorithmus und 128-Bit-Schlüssel verschlüsselt|125 Kbps|902, 928,35, 868,3 oder 315 MHz|30 m||||||||Physikalische Schicht, Datenverbindungsschicht, Anwendungsschicht||https://www.enocean.com/de/|EnOcean_logo.png
LoRaWan|||||||||||||||||||||LoRaWan_logo.png
m-Bus|||||||||||||||||||||m-Bus_logo.png
profibus|||||||||||||||||||||profibus_logo.png
