Datum/ Uhrzeit,Außenluft-temperatur [°C],ge. Wärme-lastgang [kW],Trink-WW-Lastgang [kW],Strom-lastgang [kW],,Eingabe,,
1/1/2022 0:00,4.843,186.62,25.18,17.66,,,,
1/1/2022 1:00,4.798,233.55,31.23,18.01,,,,
1/1/2022 2:00,4.758,242.90,32.16,17.84,,Wärmebedarf,"1,500,000",kWh/a
1/1/2022 3:00,4.724,266.95,35.00,17.14,,,,
1/1/2022 4:00,4.658,294.58,38.21,16.96,,,,
1/1/2022 5:00,4.576,360.25,46.22,18.71,,,,
1/1/2022 6:00,4.505,416.95,52.91,20.11,,,,
1/1/2022 7:00,4.498,434.01,54.46,19.59,,Strombedarf,700000,kWh/a
1/1/2022 8:00,4.515,428.72,53.18,20.64,,,,
1/1/2022 9:00,4.683,415.02,50.88,21.16,,,,
1/1/2022 10:00,4.989,400.06,48.52,20.99,,,,
1/1/2022 11:00,5.323,380.52,45.73,22.04,,,,
1/1/2022 12:00,5.597,362.15,43.18,21.86,,,,
1/1/2022 13:00,5.714,345.88,40.95,20.29,,,,
1/1/2022 14:00,5.546,342.84,40.30,20.64,,,,
1/1/2022 15:00,5.066,342.22,39.93,22.04,,,,
1/1/2022 16:00,4.485,355.30,41.09,22.39,,,,
1/1/2022 17:00,4.087,375.43,42.93,22.39,,,,
1/1/2022 18:00,3.76,374.62,42.33,24.31,,,,
1/1/2022 19:00,3.45,369.18,41.18,23.43,,,,
1/1/2022 20:00,3.141,354.56,39.02,22.39,,,,
1/1/2022 21:00,2.885,339.54,36.86,20.64,,,,
1/1/2022 22:00,2.637,298.99,32.02,19.59,,,,
1/1/2022 23:00,2.402,272.30,28.78,19.06,,,,
1/2/2022 0:00,2.178,271.47,28.35,18.19,,,,
1/2/2022 1:00,1.924,287.70,29.72,18.19,,,,
1/2/2022 2:00,1.703,296.58,30.33,18.71,,,,
1/2/2022 3:00,1.472,318.11,32.24,17.84,,,,
1/2/2022 4:00,1.242,347.78,34.96,17.14,,,,
1/2/2022 5:00,1.064,419.41,41.86,19.24,,,,
1/2/2022 6:00,0.902,482.75,47.86,23.78,,,,
1/2/2022 7:00,0.722,505.74,49.84,144.28,,,,
1/2/2022 8:00,0.59,494.72,48.50,306.58,,,,
1/2/2022 9:00,0.992,472.58,46.12,339.63,,,,
1/2/2022 10:00,1.803,447.59,43.52,334.38,,,,
1/2/2022 11:00,2.592,420.70,40.78,325.64,,,,
1/2/2022 12:00,3.08,401.09,38.78,285.42,,,,
1/2/2022 13:00,3.144,389.67,37.58,219.13,,,,
1/2/2022 14:00,2.787,382.77,36.84,222.98,,,,
1/2/2022 15:00,1.794,384.94,36.97,236.27,,,,
1/2/2022 16:00,0.221,387.96,37.20,187.65,,,,
1/2/2022 17:00,-0.605,382.77,36.67,113.33,,,,
1/2/2022 18:00,-1.316,374.81,35.91,63.48,,,,
1/2/2022 19:00,-2.05,370.43,35.52,38.65,,,,
1/2/2022 20:00,-2.67,353.42,33.94,27.81,,,,
1/2/2022 21:00,-3.063,326.56,31.43,24.13,,,,
1/2/2022 22:00,-3.22,295.32,28.50,20.64,,,,
1/2/2022 23:00,-3.188,273.11,26.43,18.89,,,,
1/3/2022 0:00,-3.066,267.93,26.00,18.19,,,,
1/3/2022 1:00,-2.948,278.56,27.11,18.19,,,,
1/3/2022 2:00,-2.834,283.81,27.69,18.71,,,,
1/3/2022 3:00,-2.709,301.20,29.47,17.84,,,,
1/3/2022 4:00,-2.589,314.04,30.80,17.14,,,,
1/3/2022 5:00,-2.493,390.84,38.42,19.24,,,,
1/3/2022 6:00,-2.385,450.55,44.39,23.78,,,,
1/3/2022 7:00,-2.219,470.11,46.43,144.28,,,,
1/3/2022 8:00,-2.022,474.83,47.02,306.58,,,,
1/3/2022 9:00,-1.088,441.08,43.79,339.63,,,,
1/3/2022 10:00,0.021,413.47,41.14,334.38,,,,
1/3/2022 11:00,1.001,388.56,38.70,325.64,,,,
1/3/2022 12:00,1.621,368.83,36.75,285.42,,,,
1/3/2022 13:00,1.853,356.71,35.54,219.13,,,,
1/3/2022 14:00,1.634,348.75,34.76,222.98,,,,
1/3/2022 15:00,0.726,349.00,34.81,236.27,,,,
1/3/2022 16:00,-0.325,349.97,34.98,187.65,,,,
1/3/2022 17:00,-0.582,345.15,34.62,113.33,,,,
1/3/2022 18:00,-0.788,334.68,33.70,63.48,,,,
1/3/2022 19:00,-1.075,329.11,33.29,38.65,,,,
1/3/2022 20:00,-1.373,312.44,31.76,27.81,,,,
1/3/2022 21:00,-1.521,287.29,29.37,24.13,,,,
1/3/2022 22:00,-1.524,258.58,26.61,20.64,,,,
1/3/2022 23:00,-1.476,238.05,24.66,18.89,,,,
1/4/2022 0:00,-1.461,237.11,24.73,18.19,,,,
1/4/2022 1:00,-1.411,245.52,25.80,18.19,,,,
1/4/2022 2:00,-1.39,249.23,26.39,18.71,,,,
1/4/2022 3:00,-1.339,263.64,28.13,17.84,,,,
1/4/2022 4:00,-1.275,274.11,29.49,17.14,,,,
1/4/2022 5:00,-1.181,340.38,36.92,19.24,,,,
1/4/2022 6:00,-1.03,391.71,42.85,23.78,,,,
1/4/2022 7:00,-0.834,408.26,45.04,144.28,,,,
1/4/2022 8:00,-0.56,412.17,45.85,306.58,,,,
1/4/2022 9:00,0.027,382.94,42.95,339.63,,,,
1/4/2022 10:00,0.608,360.76,40.78,334.38,,,,
1/4/2022 11:00,1.169,338.16,38.51,325.64,,,,
1/4/2022 12:00,1.679,321.70,36.91,285.42,,,,
1/4/2022 13:00,1.996,312.04,36.05,219.13,,,,
1/4/2022 14:00,2.02,306.17,35.61,222.98,,,,
1/4/2022 15:00,1.824,307.71,36.04,236.27,,,,
1/4/2022 16:00,1.548,310.08,36.56,187.65,,,,
1/4/2022 17:00,1.486,306.06,36.32,113.33,,,,
