Standaradlastprofile NRW 2018,,,,,,,,,,,,,,,,,Summe
,1,2,3,4,5,6,7,8,9,10,11,12,,,,Legende,kWh
Ab-Datum/ Zeit,Eigene,G0W,G1W,G2W,G3W,G4W,G5W,G6W,H0W,L0W,L1W,L2W,Lastgang ,Lastgang ,0,Keine Stromerzeugung,
,,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh, [kW], [kW],1,Eigenes Lastprofil,
1/1/2013 0:00,0,0.0600,0.0253,0.0665,0.0888,0.0548,0.0383,0.0878,0.0970,0.0653,0.0618,0.0668,61.324275,61.473472,2,Gewerbe allgemein,1001
1/1/2013 1:00,0,0.0528,0.0258,0.0490,0.0923,0.0530,0.0410,0.0700,0.0698,0.0610,0.0585,0.0625,48.919649,49.038667,3,Gewerbe werktags 8-18 ,1001
1/1/2013 2:00,0,0.0463,0.0255,0.0373,0.0878,0.0525,0.0403,0.0620,0.0555,0.0585,0.0563,0.0598,43.328832,43.434248,4,Gewerbe Verbrauch Abend,1001
1/1/2013 3:00,0,0.0425,0.0245,0.0330,0.0838,0.0515,0.0370,0.0545,0.0510,0.0570,0.0560,0.0580,38.087441,38.180105,5,Gewerbe durchlaufend,1000
1/1/2013 4:00,0,0.0420,0.0243,0.0323,0.0813,0.0510,0.0395,0.0473,0.0475,0.0568,0.0553,0.0578,33.020763,33.101100,6,Laden Friseur ,1000
1/1/2013 5:00,0,0.0440,0.0268,0.0300,0.0938,0.0550,0.0440,0.0440,0.0475,0.0633,0.0618,0.0658,30.749494,30.824305,7,Bäckerei mit Backstube,1002
1/1/2013 6:00,0,0.0493,0.0288,0.0503,0.0975,0.0628,0.0520,0.0433,0.0508,0.0903,0.0993,0.0913,30.225355,30.298891,8,Wochenendbetrieb,999
1/1/2013 7:00,0,0.0513,0.0280,0.0540,0.0968,0.0643,0.0575,0.0535,0.0620,0.1470,0.1935,0.1325,37.388589,37.479553,9,Haushaltskunden,1000
