Koordinatensystem : Lambert konform konisch
Rechtswert        : 4229500 Meter
Hochwert          : 2858500 Meter
Hoehenlage        : 37 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4229500 2858500  1  1  1  -8.5 1016 131  3.9 1  1.6  80    0    0 196 -285  0
4229500 2858500  1  1  2  -8.9 1016 131  3.7 0  1.6  80    0    0 187 -285  0
4229500 2858500  1  1  3  -9.7 1015 129  4.3 1  1.5  79    0    0 185 -284  0
4229500 2858500  1  1  4 -10.0 1014 144  4.1 0  1.4  78    0    0 184 -284  0
4229500 2858500  1  1  5 -10.7 1014 118  3.2 0  1.3  78    0    0 176 -284  0
4229500 2858500  1  1  6 -10.3 1013 138  3.7 1  1.4  80    0    0 181 -284  0
4229500 2858500  1  1  7 -10.4 1012 139  3.7 0  1.4  80    0    0 180 -286  0
4229500 2858500  1  1  8 -10.1 1012 156  3.7 1  1.4  78    0    0 179 -287  0
4229500 2858500  1  1  9 -11.2 1011 143  3.9 2  1.3  77    2   10 189 -289  0
4229500 2858500  1  1 10 -10.3 1011 164  4.5 5  1.3  77   13   58 212 -290  0
4229500 2858500  1  1 11  -9.3 1010 165  3.8 6  1.3  75    1   57 239 -294  0
4229500 2858500  1  1 12  -8.0 1009 161  3.9 7  1.4  71    0   43 255 -297  0
4229500 2858500  1  1 13  -7.8 1007 174  3.7 7  1.5  72    0   39 263 -300  0
4229500 2858500  1  1 14  -6.4 1006 170  3.6 7  1.6  72    0   42 262 -302  0
4229500 2858500  1  1 15  -6.4 1004 170  3.5 7  1.7  74    0   30 261 -303  0
4229500 2858500  1  1 16  -6.0 1004 140  3.6 8  1.9  78    0   11 268 -304  0
4229500 2858500  1  1 17  -5.3 1002 138  3.7 8  2.0  81    0    0 278 -304  0
4229500 2858500  1  1 18  -4.8 1001 138  4.5 8  2.2  84    0    0 282 -304  0
4229500 2858500  1  1 19  -4.0  999 158  4.5 8  2.4  87    0    0 284 -305  0
4229500 2858500  1  1 20  -3.0  997 157  4.9 8  2.6  89    0    0 288 -307  0
