Koordinatensystem : Lambert konform konisch
Rechtswert        : 4229500 Meter
Hochwert          : 2858500 Meter
Hoehenlage        : 37 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4229500 2858500  1  1  1  -1.5 1011 157  3.0 7  3.1  89    0    0 281 -295  0
4229500 2858500  1  1  2  -1.7 1011 185  2.4 5  3.1  89    0    0 281 -294  0
4229500 2858500  1  1  3  -2.2 1011 198  1.9 4  3.0  89    0    0 256 -293  0
4229500 2858500  1  1  4  -3.0 1011 184  1.9 2  2.8  90    0    0 216 -291  0
4229500 2858500  1  1  5  -3.7 1011 171  2.1 1  2.7  92    0    0 200 -289  0
4229500 2858500  1  1  6  -4.6 1010 151  2.7 0  2.6  93    0    0 188 -288  0
4229500 2858500  1  1  7  -4.8 1009 154  2.8 1  2.5  93    0    0 185 -286  0
4229500 2858500  1  1  8  -4.6 1009 139  2.3 2  2.4  90    0    0 196 -284  0
4229500 2858500  1  1  9  -4.6 1009 121  3.5 3  2.4  88    0    5 209 -284  0
4229500 2858500  1  1 10  -3.9 1008 147  3.4 6  2.4  87    6   36 232 -284  0
4229500 2858500  1  1 11  -3.7 1008 140  4.1 6  2.5  85   44   78 249 -287  0
4229500 2858500  1  1 12  -2.4 1007 144  4.5 6  2.5  81   49  102 250 -290  0
4229500 2858500  1  1 13  -1.0 1006 147  5.6 7  2.6  77   22  103 260 -295  0
4229500 2858500  1  1 14   0.1 1005 150  5.9 7  2.7  73   23   92 271 -298  0
4229500 2858500  1  1 15   0.6 1004 149  6.1 8  2.6  67    0   39 280 -299  0
4229500 2858500  1  1 16   0.6 1003 150  6.2 7  2.5  63    0   10 282 -300  0
4229500 2858500  1  1 17   0.3 1002 139  5.7 7  2.5  64    0    0 275 -301  0
4229500 2858500  1  1 18   0.3 1001 145  5.2 7  2.5  64    0    0 272 -302  0
4229500 2858500  1  1 19   0.5 1001 152  5.7 7  2.5  64    0    0 268 -302  0
4229500 2858500  1  1 20   0.6 1000 151  5.1 8  2.6  65    0    0 285 -303  0
4229500 2858500  1  1 21   0.3 1000 154  4.9 8  2.7  68    0    0 303 -304  0
4229500 2858500  1  1 22   0.5  999 162  4.3 8  2.8  72    0    0 304 -305  0
4229500 2858500  1  1 23   0.1  999 168  4.2 8  3.1  79    0    0 307 -306  0
4229500 2858500  1  1 24   0.3  999 148  3.7 8  3.4  87    0    0 310 -307  0
4229500 2858500  1  2  1   0.2  999 162  4.4 8  3.5  91    0    0 313 -309  0
4229500 2858500  1  2  2   0.4  998 155  4.9 8  3.7  93    0    0 314 -311  0
4229500 2858500  1  2  3   0.7  997 168  3.1 8  3.8  94    0    0 316 -313  0
4229500 2858500  1  2  4   0.8  998 170  4.1 8  3.8  94    0    0 318 -315  0
4229500 2858500  1  2  5   1.3  997 156  3.8 8  3.8  92    0    0 318 -315  0
4229500 2858500  1  2  6   1.2  997 178  4.5 8  3.8  90    0    0 318 -315  0
4229500 2858500  1  2  7   1.3  997 162  3.8 8  3.8  90    0    0 316 -316  0
4229500 2858500  1  2  8   1.4  997 165  3.6 8  3.8  89    0    0 316 -316  0
4229500 2858500  1  2  9   1.3  996 158  3.5 8  3.9  91    0    9 315 -316  0
4229500 2858500  1  2 10   1.5  996 167  2.8 7  3.9  92   14   59 309 -319  0
4229500 2858500  1  2 11   1.9  996 161  2.8 5  3.9  89   29  110 286 -323  0
4229500 2858500  1  2 12   2.1  996 156  2.7 6  3.9  87    7  105 276 -324  0
4229500 2858500  1  2 13   2.5  996 152  2.7 6  3.9  86    2   91 282 -326  0
4229500 2858500  1  2 14   2.8  996 148  3.1 7  3.9  84    0   35 291 -329  0
4229500 2858500  1  2 15   2.8  996 152  2.6 8  4.0  85    0   17 309 -333  0
4229500 2858500  1  2 16   3.2  996 162  4.2 8  4.1  85    0    3 319 -336  0
4229500 2858500  1  2 17   2.7  996 154  3.8 6  4.2  87    0    0 303 -336  0
4229500 2858500  1  2 18   2.6  996 152  3.7 3  4.2  90    0    0 266 -333  0
4229500 2858500  1  2 19   1.9  996 162  3.5 3  4.2  91    0    0 243 -329  0
4229500 2858500  1  2 20   2.1  996 147  3.7 2  4.2  93    0    0 232 -326  0
4229500 2858500  1  2 21   2.1  996 153  3.5 1  4.2  93    0    0 220 -325  0
4229500 2858500  1  2 22   1.7  997 150  3.4 3  4.2  94    0    0 237 -325  0
4229500 2858500  1  2 23   1.9  997 154  3.8 4  4.2  95    0    0 258 -325  0
4229500 2858500  1  2 24   1.7  997 155  4.0 3  4.2  95    0    0 256 -325  0
4229500 2858500  1  3  1   2.0  997 156  4.3 3  4.2  94    0    0 244 -325  0
4229500 2858500  1  3  2   1.9  997 158  4.0 4  4.1  92    0    0 253 -325  0
4229500 2858500  1  3  3   2.0  997 154  4.1 3  4.1  91    0    0 252 -325  0
4229500 2858500  1  3  4   1.5  997 162  4.1 4  4.0  92    0    0 253 -325  0
4229500 2858500  1  3  5   2.3  997 174  4.2 5  4.1  92    0    0 266 -326  0
4229500 2858500  1  3  6   3.1  997 174  4.5 6  4.2  90    0    0 281 -326  0
4229500 2858500  1  3  7   3.2  997 175  4.4 8  4.3  89    0    0 297 -326  0
4229500 2858500  1  3  8   3.6  997 187  4.3 7  4.3  88    0    0 304 -327  0
4229500 2858500  1  3  9   3.9  998 190  4.5 7  4.3  86    0    4 299 -327  0
4229500 2858500  1  3 10   4.2  998 180  5.0 7  4.4  85   11   38 300 -327  0
4229500 2858500  1  3 11   4.9  999 206  5.4 5  4.5  84   59   69 288 -330  0
4229500 2858500  1  3 12   5.8  999 204  4.9 4  4.6  82   99   82 275 -333  0
4229500 2858500  1  3 13   6.5  999 209  5.4 4  4.7  78   97   89 273 -336  0
4229500 2858500  1  3 14   6.7  999 218  5.5 5  4.7  76   50   87 282 -337  0
4229500 2858500  1  3 15   6.6  999 223  5.4 6  4.7  77    4   57 293 -338  0
4229500 2858500  1  3 16   6.1 1000 230  4.7 7  4.8  80    0   14 301 -337  0
4229500 2858500  1  3 17   5.2 1001 237  4.2 8  5.1  88    0    0 310 -335  0
4229500 2858500  1  3 18   4.9 1001 224  3.7 8  5.2  94    0    0 314 -331  0
4229500 2858500  1  3 19   4.8 1002 228  4.4 8  5.1  94    0    0 312 -327  0
4229500 2858500  1  3 20   4.7 1003 230  3.8 7  5.0  94    0    0 307 -323  0
4229500 2858500  1  3 21   4.3 1004 227  3.5 7  4.9  93    0    0 300 -319  0
4229500 2858500  1  3 22   3.9 1004 216  3.2 6  4.8  93    0    0 292 -317  0
4229500 2858500  1  3 23   3.2 1005 215  3.0 6  4.6  93    0    0 285 -316  0
4229500 2858500  1  3 24   3.1 1005 222  2.7 4  4.4  92    0    0 275 -316  0
4229500 2858500  1  4  1   3.0 1005 184  1.7 5  4.4  92    0    0 270 -317  0
4229500 2858500  1  4  2   2.6 1005 191  2.5 3  4.3  91    0    0 265 -319  0
4229500 2858500  1  4  3   1.1 1005 171  2.0 0  4.1  94    0    0 235 -322  0
4229500 2858500  1  4  4   0.8 1005 193  2.5 1  4.0  97    0    0 224 -324  0
4229500 2858500  1  4  5   0.6 1005 134  2.1 2  3.9  97    0    0 231 -325  0
4229500 2858500  1  4  6  -0.1 1004 143  3.0 2  3.8  98    0    0 230 -326  0
4229500 2858500  1  4  7   0.1 1004 144  3.4 3  3.8  99    0    0 230 -326  0
4229500 2858500  1  4  8   0.0 1004 133  4.2 2  3.8  99    0    0 222 -327  0
4229500 2858500  1  4  9   0.4 1004 138  4.8 3  3.8  98    0    7 215 -327  0
4229500 2858500  1  4 10   0.4 1003 148  5.3 6  3.8  98   28   42 244 -328  0
4229500 2858500  1  4 11   1.1 1003 142  5.2 5  3.8  94   31   81 263 -330  0
4229500 2858500  1  4 12   1.3 1003 137  4.8 7  3.8  91   25  100 276 -331  0
4229500 2858500  1  4 13   2.5 1002 139  4.9 6  3.9  88   39  109 289 -333  0
4229500 2858500  1  4 14   3.3 1001 144  5.1 5  4.0  85   87   91 278 -335  0
4229500 2858500  1  4 15   3.8 1000 130  4.9 6  4.2  84   36   69 281 -336  0
4229500 2858500  1  4 16   3.7 1000 123  4.9 5  4.2  84    5   26 280 -337  0
4229500 2858500  1  4 17   2.8 1000 122  4.8 6  4.2  87    0    0 279 -336  0
4229500 2858500  1  4 18   3.5 1000 126  4.5 6  4.2  87    0    0 294 -336  0
4229500 2858500  1  4 19   4.1  999 141  4.9 7  4.2  84    0    0 306 -337  0
4229500 2858500  1  4 20   4.0  999 144  5.2 8  4.2  82    0    0 319 -337  0
4229500 2858500  1  4 21   3.9  999 132  4.6 7  4.2  83    0    0 319 -337  0
4229500 2858500  1  4 22   3.1  999 150  4.6 7  4.4  88    0    0 312 -337  0
4229500 2858500  1  4 23   3.9  999 162  5.0 7  4.6  92    0    0 313 -338  0
4229500 2858500  1  4 24   3.8  999 165  5.1 8  4.7  92    0    0 320 -338  0
4229500 2858500  1  5  1   3.9  999 175  4.1 8  4.7  93    0    0 327 -338  0
4229500 2858500  1  5  2   3.8  999 168  4.1 8  4.8  95    0    0 327 -337  0
4229500 2858500  1  5  3   4.0  999 172  3.6 7  4.9  96    0    0 321 -337  0
4229500 2858500  1  5  4   4.2  999 180  3.7 5  4.9  94    0    0 305 -337  0
4229500 2858500  1  5  5   4.2  999 195  4.2 5  4.8  93    0    0 296 -335  0
4229500 2858500  1  5  6   4.2  999 180  3.7 6  4.8  92    0    0 300 -332  0
4229500 2858500  1  5  7   4.4  999 176  3.5 4  4.8  91    0    0 295 -330  0
4229500 2858500  1  5  8   3.9  999 191  4.4 1  4.7  90    0    0 274 -331  0
4229500 2858500  1  5  9   3.9  999 181  4.5 1  4.6  90    2    8 262 -332  0
4229500 2858500  1  5 10   4.3  999 170  4.3 4  4.6  89   34   47 265 -332  0
4229500 2858500  1  5 11   5.2  998 152  4.6 5  4.7  86   65   85 280 -333  0
4229500 2858500  1  5 12   4.7  997 151  4.6 6  4.7  86   16  101 285 -337  0
4229500 2858500  1  5 13   4.9  997 152  5.1 7  4.7  86    0   71 293 -340  0
