Koordinatensystem : Lambert konform konisch
Rechtswert        : 4229500 Meter
Hochwert          : 2858500 Meter
Hoehenlage        : 37 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4229500 2858500  1  1  1  -6.2 1016 208  3.4 2  2.2  84    0    0 196 -285  0
4229500 2858500  1  1  2  -8.0 1016 165  3.7 1  1.8  81    0    0 187 -285  0
4229500 2858500  1  1  3  -9.6 1015 131  3.9 0  1.5  79    0    0 185 -284  0
4229500 2858500  1  1  4 -10.0 1014 132  3.8 0  1.4  79    0    0 184 -284  0
4229500 2858500  1  1  5 -10.3 1014 133  3.7 0  1.4  79    0    0 176 -284  0
4229500 2858500  1  1  6 -10.3 1013 138  3.7 1  1.4  80    0    0 181 -284  0
4229500 2858500  1  1  7 -10.4 1012 139  3.7 0  1.4  80    0    0 180 -286  0
4229500 2858500  1  1  8 -10.1 1012 156  3.7 1  1.4  78    0    0 179 -287  0
4229500 2858500  1  1  9 -11.2 1011 143  3.9 2  1.3  77    2   10 189 -289  0
4229500 2858500  1  1 10 -10.3 1011 164  4.5 5  1.3  77   13   58 212 -290  0
4229500 2858500  1  1 11  -9.3 1010 165  3.8 6  1.3  75    1   57 239 -294  0
4229500 2858500  1  1 12  -8.0 1009 161  3.9 7  1.4  71    0   43 255 -297  0
4229500 2858500  1  1 13  -7.8 1007 174  3.7 7  1.5  72    0   39 263 -300  0
4229500 2858500  1  1 14  -6.4 1006 170  3.6 7  1.6  72    0   42 262 -302  0
4229500 2858500  1  1 15  -6.4 1004 170  3.5 7  1.7  74    0   30 261 -303  0
4229500 2858500  1  1 16  -6.0 1004 140  3.6 8  1.9  78    0   11 268 -304  0
4229500 2858500  1  1 17  -5.3 1002 138  3.7 8  2.0  81    0    0 278 -304  0
4229500 2858500  1  1 18  -4.8 1001 138  4.5 8  2.2  84    0    0 282 -304  0
4229500 2858500  1  1 19  -4.0  999 158  4.5 8  2.4  87    0    0 284 -305  0
4229500 2858500  1  1 20  -3.0  997 157  4.9 8  2.6  89    0    0 288 -307  0
4229500 2858500  1  1 21  -1.8  995 157  4.4 8  2.9  91    0    0 292 -308  0
4229500 2858500  1  1 22  -1.2  993 134  3.4 8  3.2  94    0    0 295 -310  0
4229500 2858500  1  1 23  -0.3  992 137  4.0 8  3.6  98    0    0 299 -311  0
4229500 2858500  1  1 24   0.2  990 147  3.9 8  3.9 100    0    0 305 -313  0
4229500 2858500  1  2  1   0.8  988 152  4.2 8  4.0 100    0    0 307 -314  0
4229500 2858500  1  2  2   1.8  987 185  4.0 8  4.3 100    0    0 312 -315  0
4229500 2858500  1  2  3   2.7  986 193  4.6 7  4.6  99    0    0 304 -315  0
4229500 2858500  1  2  4   3.4  985 206  4.6 7  4.8  99    0    0 298 -315  0
4229500 2858500  1  2  5   4.4  985 220  6.3 7  5.2 100    0    0 304 -316  0
4229500 2858500  1  2  6   5.7  984 219  6.5 7  5.6 100    0    0 312 -316  0
4229500 2858500  1  2  7   6.2  984 223  5.7 8  5.9  99    0    0 326 -316  0
4229500 2858500  1  2  8   7.0  984 250  6.1 7  6.2  99    0    0 328 -316  0
4229500 2858500  1  2  9   7.2  984 243  6.4 7  6.5 100    0    2 321 -320  0
4229500 2858500  1  2 10   7.0  985 238  5.5 7  6.4  99    0   35 319 -328  0
4229500 2858500  1  2 11   7.4  985 243  5.5 8  6.3  97    0   45 328 -333  0
4229500 2858500  1  2 12   7.6  985 246  4.2 7  6.5  98    0   69 329 -337  0
4229500 2858500  1  2 13   7.5  985 234  3.6 7  6.6 100    0   60 324 -342  0
4229500 2858500  1  2 14   7.2  984 239  2.9 7  6.6 100    0   40 324 -342  0
4229500 2858500  1  2 15   6.9  983 217  2.5 7  6.5 100    0   19 323 -340  0
4229500 2858500  1  2 16   6.4  982 196  2.2 8  6.3 100    0    4 327 -336  0
4229500 2858500  1  2 17   6.2  981 165  2.3 8  6.1 100    0    0 334 -333  0
4229500 2858500  1  2 18   6.1  980 188  2.1 8  6.0  99    0    0 333 -331  0
4229500 2858500  1  2 19   5.8  980 207  2.4 8  6.0  99    0    0 333 -329  0
4229500 2858500  1  2 20   5.3  979  35  1.1 8  5.8 100    0    0 331 -328  0
4229500 2858500  1  2 21   5.4  979  47  2.0 8  5.8 100    0    0 332 -328  0
4229500 2858500  1  2 22   4.6  978  75  3.1 8  5.6 100    0    0 329 -328  0
4229500 2858500  1  2 23   4.2  978  67  3.5 8  5.3  99    0    0 327 -329  0
4229500 2858500  1  2 24   2.9  978  67  3.3 8  5.0  99    0    0 324 -328  0
4229500 2858500  1  3  1   2.4  978  68  3.8 7  4.7 100    0    0 314 -327  0
4229500 2858500  1  3  2   1.5  979  63  4.0 8  4.5  99    0    0 311 -325  0
4229500 2858500  1  3  3   0.9  978  64  4.4 8  4.3  99    0    0 314 -324  0
4229500 2858500  1  3  4   0.7  979  33  3.4 8  4.1  99    0    0 311 -322  0
4229500 2858500  1  3  5   0.6  980  25  3.0 8  4.1 100    0    0 310 -320  0
