Koordinatensystem : Lambert konform konisch
Rechtswert        : 3909500 Meter
Hochwert          : 2966500 Meter
Hoehenlage        : 2 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3909500 2966500  1  1  1   1.9 1017 239  4.5 8  4.2  97    0    0 309 -318  0
3909500 2966500  1  1  2   2.2 1017 250  5.2 7  4.2  96    0    0 305 -318  0
3909500 2966500  1  1  3   2.3 1016 250  5.9 8  4.3  96    0    0 305 -318  0
3909500 2966500  1  1  4   2.5 1015 259  5.4 8  4.4  97    0    0 308 -318  0
3909500 2966500  1  1  5   2.5 1015 259  4.7 8  4.4  97    0    0 306 -318  0
3909500 2966500  1  1  6   2.7 1014 259  4.4 8  4.5  98    0    0 305 -318  0
3909500 2966500  1  1  7   2.9 1014 290  3.9 7  4.5  97    0    0 303 -318  0
3909500 2966500  1  1  8   2.5 1014 291  4.0 6  4.4  95    0    0 293 -318  0
3909500 2966500  1  1  9   2.3 1014 291  4.0 5  4.1  91    0    0 284 -318  0
3909500 2966500  1  1 10   2.8 1014 280  4.7 5  3.9  86    0   20 279 -318  0
3909500 2966500  1  1 11   2.3 1014 290  4.2 4  3.9  85   42   56 274 -318  0
3909500 2966500  1  1 12   2.5 1015 291  4.8 3  3.9  87   49   80 261 -318  0
3909500 2966500  1  1 13   2.7 1015 290  4.5 3  3.9  86   57   84 255 -317  0
3909500 2966500  1  1 14   2.2 1015 290  4.8 2  3.9  87   57   75 246 -316  0
3909500 2966500  1  1 15   2.3 1015 291  4.1 2  3.9  88   36   56 238 -315  0
3909500 2966500  1  1 16   2.1 1015 290  4.1 4  3.9  88    1   21 250 -314  0
3909500 2966500  1  1 17   2.1 1015 302  4.2 5  3.9  88    0    0 268 -314  0
3909500 2966500  1  1 18   1.8 1016 291  3.8 4  3.8  88    0    0 269 -314  0
3909500 2966500  1  1 19   1.8 1016 292  4.0 3  3.8  89    0    0 256 -314  0
3909500 2966500  1  1 20   1.5 1016 312  2.6 3  3.8  90    0    0 248 -314  0
3909500 2966500  1  1 21   1.5 1017 293  3.1 4  3.7  89    0    0 252 -314  0
3909500 2966500  1  1 22   1.9 1017 282  3.3 5  3.7  88    0    0 265 -314  0
3909500 2966500  1  1 23   1.7 1017 293  3.1 7  3.8  88    0    0 282 -315  0
3909500 2966500  1  1 24   1.6 1017 283  3.2 8  3.8  89    0    0 298 -315  0
3909500 2966500  1  2  1   1.5 1017 297  3.2 7  3.8  91    0    0 295 -316  0
3909500 2966500  1  2  2   1.8 1017 292  3.2 8  3.9  92    0    0 293 -317  0
3909500 2966500  1  2  3   1.7 1017 304  3.4 8  3.9  90    0    0 297 -318  0
3909500 2966500  1  2  4   1.9 1017 332  2.2 8  3.8  88    0    0 295 -318  0
3909500 2966500  1  2  5   2.2 1017 312  1.9 7  3.7  85    0    0 288 -318  0
3909500 2966500  1  2  6   2.0 1017 322  2.7 7  3.7  85    0    0 281 -318  0
3909500 2966500  1  2  7   1.8 1017 313  3.1 6  3.8  88    0    0 274 -317  0
3909500 2966500  1  2  8   1.7 1018 315  2.7 5  3.8  88    0    0 262 -316  0
3909500 2966500  1  2  9   1.2 1018 303  2.3 4  3.7  89    0    0 250 -315  0
3909500 2966500  1  2 10   1.6 1018 292  2.5 5  3.7  89   13   28 248 -316  0
3909500 2966500  1  2 11   1.9 1019 282  2.4 5  3.8  89   24   59 253 -317  0
3909500 2966500  1  2 12   1.5 1019 262  2.1 6  3.8  89   28   83 257 -318  0
3909500 2966500  1  2 13   1.8 1019 271  2.2 6  3.8  89    9   87 262 -318  0
3909500 2966500  1  2 14   1.6 1019 281  2.3 5  3.8  89   30   80 259 -318  0
3909500 2966500  1  2 15   2.0 1019 290  3.1 7  3.8  88    1   49 265 -318  0
3909500 2966500  1  2 16   1.3 1019 291  3.1 6  3.8  88    0   16 272 -318  0
3909500 2966500  1  2 17   1.5 1019 280  3.0 7  3.7  89    0    0 271 -317  0
3909500 2966500  1  2 18   1.4 1019 301  2.2 7  3.7  89    0    0 275 -315  0
3909500 2966500  1  2 19   1.5 1019 284  2.5 6  3.8  90    0    0 270 -314  0
3909500 2966500  1  2 20   1.1 1020 284  2.2 5  3.7  90    0    0 260 -313  0
3909500 2966500  1  2 21   1.2 1020 289  2.3 5  3.7  91    0    0 255 -312  0
3909500 2966500  1  2 22   0.8 1020 264  2.1 6  3.7  92    0    0 257 -312  0
3909500 2966500  1  2 23   0.6 1020 262  2.8 5  3.6  92    0    0 256 -312  0
3909500 2966500  1  2 24   0.4 1020 274  1.7 4  3.6  91    0    0 246 -311  0
3909500 2966500  1  3  1   0.0 1021 276  2.1 2  3.5  91    0    0 231 -310  0
3909500 2966500  1  3  2  -0.8 1020 276  1.9 0  3.3  91    0    0 211 -308  0
3909500 2966500  1  3  3  -0.6 1020 273  1.3 2  3.3  92    0    0 211 -308  0
3909500 2966500  1  3  4  -0.2 1021 303  1.3 3  3.4  92    0    0 224 -309  0
3909500 2966500  1  3  5  -1.1 1021 289  0.9 1  3.3  92    0    0 217 -310  0
3909500 2966500  1  3  6  -1.6 1021 259  0.9 0  3.2  94    0    0 200 -309  0
3909500 2966500  1  3  7  -1.5 1021 268  1.4 2  3.2  94    0    0 202 -307  0
3909500 2966500  1  3  8  -1.0 1021 310  0.2 4  3.2  94    0    0 219 -307  0
3909500 2966500  1  3  9  -0.9 1021 248  1.6 5  3.3  93    0    0 233 -307  0
3909500 2966500  1  3 10  -0.4 1021 257  1.6 3  3.3  93   15   30 227 -308  0
3909500 2966500  1  3 11  -0.1 1021 247  1.2 4  3.4  92   19   63 219 -309  0
3909500 2966500  1  3 12   0.4 1021 257  0.9 5  3.5  92   38   85 227 -310  0
3909500 2966500  1  3 13   0.7 1021 248  1.3 3  3.5  91  100   73 221 -312  0
3909500 2966500  1  3 14   1.0 1021 248  0.4 5  3.6  91   38   83 222 -314  0
3909500 2966500  1  3 15   1.1 1021 259  0.3 8  3.7  91    0   44 252 -315  0
3909500 2966500  1  3 16   0.9 1021 249  0.5 6  3.7  91    0   14 259 -314  0
3909500 2966500  1  3 17   0.9 1021 239  0.5 7  3.7  91    0    0 258 -312  0
3909500 2966500  1  3 18   1.1 1020 240  0.5 8  3.7  91    0    0 270 -312  0
3909500 2966500  1  3 19   0.9 1020 209  0.3 7  3.7  91    0    0 274 -313  0
3909500 2966500  1  3 20   1.3 1020 239  1.3 7  3.7  91    0    0 275 -314  0
3909500 2966500  1  3 21   1.2 1020 219  0.9 8  3.7  90    0    0 284 -315  0
3909500 2966500  1  3 22   1.2 1019 239  0.6 8  3.7  90    0    0 289 -315  0
3909500 2966500  1  3 23   0.9 1019 209  0.4 7  3.7  90    0    0 287 -316  0
3909500 2966500  1  3 24   1.0 1019 239  1.2 7  3.7  91    0    0 286 -316  0
3909500 2966500  1  4  1   1.0 1019 239  1.0 7  3.7  91    0    0 287 -316  0
3909500 2966500  1  4  2   1.1 1019 239  1.5 7  3.7  91    0    0 289 -315  0
3909500 2966500  1  4  3   1.1 1018 229  1.8 7  3.7  91    0    0 290 -313  0
3909500 2966500  1  4  4   0.8 1018 210  1.3 7  3.7  92    0    0 291 -312  0
3909500 2966500  1  4  5   0.8 1018 209  1.8 7  3.7  93    0    0 291 -311  0
3909500 2966500  1  4  6   0.7 1017 209  1.7 7  3.8  94    0    0 290 -310  0
3909500 2966500  1  4  7   0.8 1017 219  0.4 7  3.8  95    0    0 289 -308  0
