Koordinatensystem : Lambert konform konisch
Rechtswert        : 3909500 Meter
Hochwert          : 2966500 Meter
Hoehenlage        : 2 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3909500 2966500  1  1  1   0.0 1026 170  0.8 3  3.5  91    0    0 226 -296  2
3909500 2966500  1  1  2  -1.1 1026 132  0.5 2  3.2  91    0    0 218 -296  2
3909500 2966500  1  1  3  -1.9 1025 102  0.4 2  3.0  92    0    0 202 -295  2
3909500 2966500  1  1  4  -2.1 1025 112  0.6 2  3.0  92    0    0 188 -295  2
3909500 2966500  1  1  5  -2.2 1024 119  0.7 2  2.9  92    0    0 191 -294  2
3909500 2966500  1  1  6  -2.3 1023 127  1.1 3  2.9  92    0    0 206 -294  2
3909500 2966500  1  1  7  -2.1 1022 134  0.5 3  2.9  90    0    0 212 -294  2
3909500 2966500  1  1  8  -2.1 1021 125  1.0 5  2.9  89    0    0 222 -294  2
3909500 2966500  1  1  9  -2.0 1021 136  2.1 7  2.9  89    0    0 241 -294  2
3909500 2966500  1  1 10  -1.8 1020 126  1.5 7  2.9  88    0   20 250 -294  2
3909500 2966500  1  1 11  -1.6 1020 125  2.5 7  2.9  86    0   48 250 -296  2
3909500 2966500  1  1 12  -1.5 1019 125  1.9 7  2.9  85    4   79 250 -299  2
3909500 2966500  1  1 13  -1.6 1018 128  2.3 7  2.9  85    7   92 250 -303  2
3909500 2966500  1  1 14  -1.8 1017 106  2.3 6  2.8  86   17   91 245 -305  2
3909500 2966500  1  1 15  -1.9 1016 106  2.0 7  2.8  85    2   51 247 -307  2
3909500 2966500  1  1 16  -2.0 1016 102  2.2 7  2.8  85    0    9 252 -307  2
3909500 2966500  1  1 17  -1.9 1016 102  1.2 7  2.8  85    0    0 253 -306  2
3909500 2966500  1  1 18  -1.9 1016  91  2.1 7  2.7  84    0    0 255 -305  2
3909500 2966500  1  1 19  -1.9 1016  89  2.0 7  2.7  82    0    0 256 -305  2
3909500 2966500  1  1 20  -1.7 1016  89  3.1 7  2.7  82    0    0 257 -305  2
