Koordinatensystem : Lambert konform konisch
Rechtswert        : 3909500 Meter
Hochwert          : 2966500 Meter
Hoehenlage        : 2 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3909500 2966500  1  1  1  -4.2 1017 109  1.3 1  2.3  79    0    0 192 -293  0
3909500 2966500  1  1  2  -5.5 1017 124  1.6 0  2.0  77    0    0 189 -293  0
3909500 2966500  1  1  3  -6.6 1016 130  1.9 0  1.8  76    0    0 188 -294  0
3909500 2966500  1  1  4  -6.8 1016 128  2.0 2  1.8  79    0    0 188 -296  0
3909500 2966500  1  1  5  -6.7 1015 128  1.9 4  1.9  80    0    0 207 -298  0
3909500 2966500  1  1  6  -6.2 1014 123  2.1 7  1.9  82    0    0 251 -299  0
3909500 2966500  1  1  7  -5.7 1013 142  1.3 8  2.0  82    0    0 283 -301  0
3909500 2966500  1  1  8  -5.1 1012 162  2.1 8  2.1  82    0    0 289 -303  0
3909500 2966500  1  1  9  -4.7 1011 145  1.6 8  2.2  82    0    0 290 -304  0
3909500 2966500  1  1 10  -4.4 1010 145  1.7 8  2.3  84    0   16 291 -305  0
3909500 2966500  1  1 11  -4.0 1010 137  2.1 7  2.4  85    0   31 285 -307  0
3909500 2966500  1  1 12  -3.6 1008 143  1.6 7  2.5  86    0   49 281 -310  0
3909500 2966500  1  1 13  -3.1 1007 136  2.3 7  2.6  87    0   54 283 -312  0
3909500 2966500  1  1 14  -2.6 1005 124  2.5 7  2.7  87    0   45 283 -314  0
3909500 2966500  1  1 15  -2.1 1003 125  2.8 7  2.8  88    0   26 282 -316  0
3909500 2966500  1  1 16  -1.2 1001 133  2.7 8  3.0  88    0    6 290 -316  0
3909500 2966500  1  1 17  -0.5  999 134  2.7 8  3.1  87    0    0 299 -316  0
3909500 2966500  1  1 18   0.5  998 131  2.6 8  3.4  88    0    0 302 -315  0
3909500 2966500  1  1 19   0.6  996 122  2.2 8  3.6  89    0    0 306 -316  0
3909500 2966500  1  1 20   0.9  994 124  1.6 8  3.7  90    0    0 308 -317  0
3909500 2966500  1  1 21   1.0  992 113  1.9 8  3.8  92    0    0 311 -318  0
3909500 2966500  1  1 22   1.3  990 134  1.3 8  3.9  93    0    0 314 -318  0
3909500 2966500  1  1 23   1.6  988 103  1.0 8  4.0  93    0    0 317 -318  0
3909500 2966500  1  1 24   2.1  987 133  0.9 8  4.2  94    0    0 320 -318  0
3909500 2966500  1  2  1   3.1  986 111  1.0 8  4.5  96    0    0 325 -318  0
3909500 2966500  1  2  2   3.5  985  97  1.9 4  4.9  99    0    0 280 -318  0
3909500 2966500  1  2  3   5.4  985 249  4.3 4  5.2  98    0    0 234 -318  0
3909500 2966500  1  2  4   5.0  986 268  4.1 4  5.4  96    0    0 243 -319  0
3909500 2966500  1  2  5   3.7  987 269  2.5 5  5.1  96    0    0 260 -319  0
3909500 2966500  1  2  6   3.3  988 269  0.9 6  4.7  94    0    0 286 -326  0
3909500 2966500  1  2  7   3.0  988 270  0.6 7  4.7  96    0    0 305 -336  0
3909500 2966500  1  2  8   2.7  988 320  0.2 7  4.6  96    0    0 311 -341  0
