Koordinatensystem : Lambert konform konisch
Rechtswert        : 3844500 Meter
Hochwert          : 2372500 Meter
Hoehenlage        : 270 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3844500 2372500  1  1  1   6.5  972 193  5.4 8  5.0  80    0    0 329 -334  0
3844500 2372500  1  1  2   6.2  972 200  3.8 8  5.1  82    0    0 330 -334  0
3844500 2372500  1  1  3   5.7  972 198  5.5 7  5.1  84    0    0 319 -334  0
3844500 2372500  1  1  4   4.7  971 217  5.2 8  4.8  83    0    0 317 -333  0
3844500 2372500  1  1  5   4.6  972 244  4.5 8  4.5  82    0    0 322 -332  0
3844500 2372500  1  1  6   4.5  973 205  5.6 7  4.5  81    0    0 313 -331  0
3844500 2372500  1  1  7   4.4  973 201  6.3 7  4.4  81    0    0 303 -330  0
3844500 2372500  1  1  8   4.1  973 200  6.1 7  4.3  80    0    0 301 -329  0
3844500 2372500  1  1  9   4.5  974 192  5.1 7  4.2  79    0    0 302 -328  0
3844500 2372500  1  1 10   5.2  974 191  6.3 7  4.2  76    1   55 304 -328  0
3844500 2372500  1  1 11   5.7  975 206  5.5 6  4.2  71    3   87 296 -328  0
3844500 2372500  1  1 12   6.1  975 196  5.4 5  4.1  68   18  126 279 -330  0
3844500 2372500  1  1 13   6.6  975 202  5.4 4  3.9  64   76  141 268 -332  0
3844500 2372500  1  1 14   7.7  975 199  5.3 4  3.8  58  137  107 268 -333  0
3844500 2372500  1  1 15   7.6  974 174  5.2 5  3.7  55   78   84 277 -333  0
3844500 2372500  1  1 16   7.3  974 180  3.7 5  3.7  55    4   41 282 -330  0
3844500 2372500  1  1 17   6.9  974 153  3.0 7  3.8  58    0    0 296 -324  0
3844500 2372500  1  1 18   6.1  975 151  2.9 7  3.9  62    0    0 308 -319  0
3844500 2372500  1  1 19   5.7  974 136  2.7 7  4.0  67    0    0 307 -316  0
3844500 2372500  1  1 20   5.8  975 134  2.3 7  4.1  69    0    0 308 -315  0
3844500 2372500  1  1 21   5.5  975 117  1.4 7  4.2  72    0    0 309 -317  0
3844500 2372500  1  1 22   5.0  976  89  1.6 8  4.4  77    0    0 316 -319  0
3844500 2372500  1  1 23   4.7  976  71  1.7 8  4.5  81    0    0 322 -319  0
3844500 2372500  1  1 24   4.5  977 341  2.2 8  4.5  82    0    0 321 -319  0
3844500 2372500  1  2  1   4.4  977 237  1.3 8  4.5  83    0    0 321 -319  0
3844500 2372500  1  2  2   4.1  978 232  1.2 8  4.5  85    0    0 319 -318  0
3844500 2372500  1  2  3   4.1  978 153  0.3 8  4.5  85    0    0 318 -317  0
3844500 2372500  1  2  4   3.9  979 109  0.7 8  4.5  86    0    0 318 -316  0
3844500 2372500  1  2  5   4.0  980 348  1.1 7  4.6  87    0    0 307 -315  0
3844500 2372500  1  2  6   3.8  980 358  1.6 7  4.5  87    0    0 298 -315  0
3844500 2372500  1  2  7   4.0  981  73  1.2 8  4.5  86    0    0 306 -315  0
3844500 2372500  1  2  8   3.6  982  64  2.3 8  4.5  87    0    0 315 -315  0
3844500 2372500  1  2  9   3.4  983  40  1.9 8  4.5  89    0    0 314 -315  0
3844500 2372500  1  2 10   3.3  984  58  2.0 7  4.5  90    5   71 304 -315  0
3844500 2372500  1  2 11   3.5  985  37  2.7 6  4.5  90   11  116 288 -315  0
3844500 2372500  1  2 12   4.3  986  48  1.2 5  4.6  88   24  160 276 -317  0
3844500 2372500  1  2 13   4.3  986  51  2.2 6  4.6  86    5  133 278 -319  0
3844500 2372500  1  2 14   4.7  986  30  3.2 6  4.6  85    0   92 285 -322  0
3844500 2372500  1  2 15   4.9  987  30  2.9 7  4.6  83    0   44 293 -325  0
3844500 2372500  1  2 16   4.6  987  26  2.3 8  4.5  83    0   16 305 -325  0
3844500 2372500  1  2 17   4.2  988  51  2.5 8  4.4  83    0    1 310 -323  0
3844500 2372500  1  2 18   4.1  989 118  2.2 8  4.4  83    0    0 308 -319  0
3844500 2372500  1  2 19   4.9  990 151  3.0 7  4.1  77    0    0 302 -317  0
3844500 2372500  1  2 20   4.2  990 228  2.2 7  3.9  73    0    0 296 -317  0
3844500 2372500  1  2 21   4.1  991 164  1.3 7  4.0  76    0    0 295 -316  0
