Koordinatensystem : Lambert konform konisch
Rechtswert        : 3844500 Meter
Hochwert          : 2372500 Meter
Hoehenlage        : 270 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3844500 2372500  1  1  1   0.8  970 121  1.2 7  3.7  89    0    0 316 -319  1
3844500 2372500  1  1  2   0.7  970 109  1.0 8  3.8  92    0    0 316 -318  1
3844500 2372500  1  1  3   0.6  970  74  0.9 8  3.9  95    0    0 316 -318  1
3844500 2372500  1  1  4   0.6  970  79  0.9 8  3.9  95    0    0 315 -318  1
3844500 2372500  1  1  5   0.6  970 108  0.8 8  3.9  95    0    0 314 -318  1
3844500 2372500  1  1  6   0.4  971 122  0.6 6  3.9  95    0    0 300 -318  1
3844500 2372500  1  1  7   0.7  971 149  0.4 8  3.9  95    0    0 301 -321  1
3844500 2372500  1  1  8   1.0  971 232  0.6 8  4.0  95    0    0 313 -321  1
3844500 2372500  1  1  9   0.9  971 347  1.0 7  4.0  95    0    7 306 -318  1
3844500 2372500  1  1 10   1.3  971  15  1.0 7  4.1  95    4   49 299 -317  1
3844500 2372500  1  1 11   1.1  971  45  0.8 3  4.1  95    4   83 273 -321  1
3844500 2372500  1  1 12   1.3  971  23  1.1 5  4.1  95    3  102 260 -330  1
3844500 2372500  1  1 13   1.5  970 316  0.8 4  4.2  95    3  107 267 -337  1
3844500 2372500  1  1 14   1.9  970 213  1.5 4  4.3  95    3  100 263 -340  1
3844500 2372500  1  1 15   1.8  969 227  1.9 5  4.3  95   17   86 269 -340  1
3844500 2372500  1  1 16   1.4  969 221  2.0 7  4.2  95   22   44 283 -339  1
3844500 2372500  1  1 17   1.1  969 220  1.3 7  4.1  95    1   11 292 -336  1
3844500 2372500  1  1 18   0.8  970 194  1.9 8  4.2  98    0    0 297 -333  1
3844500 2372500  1  1 19   0.7  970 225  0.9 8  4.2 100    0    0 301 -330  1
3844500 2372500  1  1 20   0.5  970 358  1.0 8  4.1 100    0    0 302 -328  1
3844500 2372500  1  1 21   0.3  970  30  1.4 8  4.0  99    0    0 302 -326  1
3844500 2372500  1  1 22   0.1  970  71  1.4 8  3.9  97    0    0 301 -326  1
3844500 2372500  1  1 23   0.2  971  52  1.1 8  3.9  97    0    0 302 -326  1
3844500 2372500  1  1 24   0.3  971  19  1.0 7  3.9  96    0    0 297 -323  1
3844500 2372500  1  2  1   0.2  971  54  1.2 7  3.9  97    0    0 292 -321  1
3844500 2372500  1  2  2   0.3  971 341  0.9 7  3.9  97    0    0 292 -322  1
3844500 2372500  1  2  3   0.6  971  30  1.4 8  3.9  96    0    0 298 -322  1
3844500 2372500  1  2  4   0.6  972 349  1.1 8  4.0  96    0    0 303 -322  1
3844500 2372500  1  2  5   0.7  972 297  1.5 7  4.0  96    0    0 299 -322  1
3844500 2372500  1  2  6   0.5  972 308  1.7 6  4.0  96    0    0 287 -320  1
3844500 2372500  1  2  7   0.5  973 295  1.4 7  4.0  96    0    0 287 -318  1
3844500 2372500  1  2  8   0.8  973 348  0.8 6  4.1  98    0    0 287 -317  1
3844500 2372500  1  2  9   0.8  973 304  1.1 7  4.1  99    0    8 286 -317  1
3844500 2372500  1  2 10   1.4  974 257  1.4 5  4.2  97    4   63 280 -317  1
3844500 2372500  1  2 11   1.2  975 333  1.4 5  4.2  96   16  124 268 -319  1
