Koordinatensystem : Lambert konform konisch
Rechtswert        : 3844500 Meter
Hochwert          : 2372500 Meter
Hoehenlage        : 270 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3844500 2372500  1  1  1   8.9  972 205  6.2 8  5.5  75    0    0 329 -334  0
3844500 2372500  1  1  2   7.0  972 204  5.5 8  5.2  80    0    0 330 -334  0
3844500 2372500  1  1  3   5.5  972 209  4.9 8  4.9  82    0    0 319 -334  0
3844500 2372500  1  1  4   5.1  971 214  5.0 8  4.8  83    0    0 317 -333  0
3844500 2372500  1  1  5   4.7  972 216  5.3 8  4.6  82    0    0 322 -332  0
3844500 2372500  1  1  6   4.5  973 205  5.6 7  4.5  81    0    0 313 -331  0
3844500 2372500  1  1  7   4.4  973 201  6.3 7  4.4  81    0    0 303 -330  0
3844500 2372500  1  1  8   4.1  973 200  6.1 7  4.3  80    0    0 301 -329  0
3844500 2372500  1  1  9   4.5  974 192  5.1 7  4.2  79    0    0 302 -328  0
3844500 2372500  1  1 10   5.2  974 191  6.3 7  4.2  76    1   55 304 -328  0
3844500 2372500  1  1 11   5.7  975 206  5.5 6  4.2  71    3   87 296 -328  0
3844500 2372500  1  1 12   6.1  975 196  5.4 5  4.1  68   18  126 279 -330  0
3844500 2372500  1  1 13   6.6  975 202  5.4 4  3.9  64   76  141 268 -332  0
3844500 2372500  1  1 14   7.7  975 199  5.3 4  3.8  58  137  107 268 -333  0
3844500 2372500  1  1 15   7.6  974 174  5.2 5  3.7  55   78   84 277 -333  0
3844500 2372500  1  1 16   7.3  974 180  3.7 5  3.7  55    4   41 282 -330  0
3844500 2372500  1  1 17   6.9  974 153  3.0 7  3.8  58    0    0 296 -324  0
3844500 2372500  1  1 18   6.1  975 151  2.9 7  3.9  62    0    0 308 -319  0
3844500 2372500  1  1 19   5.7  974 136  2.7 7  4.0  67    0    0 307 -316  0
3844500 2372500  1  1 20   5.8  975 134  2.3 7  4.1  69    0    0 308 -315  0
