Koordinatensystem : Lambert konform konisch
Rechtswert        : 3995500 Meter
Hochwert          : 2749500 Meter
Hoehenlage        : 151 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3995500 2749500  1  1  1  -0.9  977  50  1.7 8  3.1  84    0    0 289 -302  0
3995500 2749500  1  1  2  -1.0  977   1  1.8 8  3.0  83    0    0 288 -302  0
3995500 2749500  1  1  3  -1.2  976  67  1.4 8  3.0  82    0    0 288 -300  0
3995500 2749500  1  1  4  -1.5  977 360  1.8 7  3.0  84    0    0 279 -298  0
3995500 2749500  1  1  5  -1.6  976 352  0.8 7  3.0  85    0    0 272 -297  0
3995500 2749500  1  1  6  -1.8  977 356  0.7 8  3.0  87    0    0 280 -296  0
3995500 2749500  1  1  7  -2.0  977   0  1.0 8  3.0  89    0    0 288 -295  0
3995500 2749500  1  1  8  -2.0  977 359  0.8 7  3.0  89    0    0 280 -295  0
3995500 2749500  1  1  9  -2.1  977   3  0.6 5  3.0  88    0    5 257 -294  0
3995500 2749500  1  1 10  -1.9  978 298  0.9 8  3.0  89    0   30 265 -295  0
3995500 2749500  1  1 11  -1.7  978   0  1.1 8  3.0  88    0   37 288 -297  0
3995500 2749500  1  1 12  -1.5  978   1  1.3 8  3.1  88    0   56 289 -300  0
3995500 2749500  1  1 13  -1.8  978 342  1.4 7  3.0  87    2   91 281 -301  0
3995500 2749500  1  1 14  -1.9  979 352  2.1 8  3.0  87    0   56 281 -302  0
3995500 2749500  1  1 15  -1.9  979 341  1.5 8  3.0  86    0   34 290 -302  0
3995500 2749500  1  1 16  -2.0  980 340  2.0 8  2.9  86    5   33 290 -301  0
3995500 2749500  1  1 17  -1.9  981 349  1.5 8  2.9  86    0    0 289 -301  0
3995500 2749500  1  1 18  -1.6  981 359  1.6 7  2.9  84    0    0 282 -301  0
3995500 2749500  1  1 19  -2.0  982 309  0.9 8  2.9  84    0    0 282 -301  0
3995500 2749500  1  1 20  -2.1  983 309  1.2 8  2.9  87    0    0 288 -302  0
