Koordinatensystem : Lambert konform konisch
Rechtswert        : 3995500 Meter
Hochwert          : 2749500 Meter
Hoehenlage        : 151 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3995500 2749500  1  1  1   0.3  996 134  2.0 3  3.3  81    0    0 202 -285  1
3995500 2749500  1  1  2  -1.1  996 123  2.0 2  2.9  80    0    0 203 -285  1
3995500 2749500  1  1  3  -1.7  996 117  2.1 2  2.6  78    0    0 206 -285  1
3995500 2749500  1  1  4  -1.2  995 122  2.4 3  2.6  76    0    0 212 -285  1
3995500 2749500  1  1  5  -0.4  994 130  2.6 4  2.7  74    0    0 240 -286  1
3995500 2749500  1  1  6   0.0  993 123  3.0 6  2.7  71    0    0 264 -287  1
3995500 2749500  1  1  7   1.0  991 155  2.3 6  2.7  68    0    0 265 -288  1
3995500 2749500  1  1  8   1.3  991 149  3.1 7  2.7  63    0    0 272 -290  1
3995500 2749500  1  1  9   1.2  990 142  2.7 8  2.6  62    0    2 284 -292  1
3995500 2749500  1  1 10   1.1  989 153  4.9 8  2.6  62   11   39 290 -295  1
3995500 2749500  1  1 11   0.6  989 125  4.1 4  2.6  63   32   79 271 -299  1
3995500 2749500  1  1 12   1.2  988 135  3.8 7  2.6  63    4   80 268 -303  1
3995500 2749500  1  1 13   1.0  987 132  4.0 7  2.7  64    1   76 285 -306  1
3995500 2749500  1  1 14   1.3  986 133  4.7 7  2.7  64    0   67 286 -308  1
3995500 2749500  1  1 15   2.0  985 132  4.2 7  2.7  61    0   41 290 -310  1
3995500 2749500  1  1 16   2.6  985 144  3.8 8  2.8  60    0   19 299 -311  1
3995500 2749500  1  1 17   2.4  984 137  3.7 8  3.0  64    0    0 311 -312  1
3995500 2749500  1  1 18   2.5  984 137  2.7 8  3.2  69    0    0 314 -314  1
3995500 2749500  1  1 19   2.7  984 145  2.3 8  3.5  74    0    0 316 -316  1
3995500 2749500  1  1 20   2.9  985 155  3.1 8  3.8  79    0    0 319 -318  1
3995500 2749500  1  1 21   3.5  984 166  3.9 7  3.8  77    0    0 303 -319  1
3995500 2749500  1  1 22   3.5  984 181  4.3 8  3.7  73    0    0 309 -320  1
3995500 2749500  1  1 23   3.0  984 168  4.1 8  3.7  74    0    0 321 -321  1
3995500 2749500  1  1 24   3.3  983 177  2.8 8  3.8  78    0    0 321 -321  1
3995500 2749500  1  2  1   3.0  983 170  2.2 7  3.9  80    0    0 315 -324  1
3995500 2749500  1  2  2   3.3  984 151  2.8 8  4.0  82    0    0 315 -327  1
3995500 2749500  1  2  3   3.1  983 129  0.9 8  4.2  85    0    0 324 -328  1
3995500 2749500  1  2  4   2.8  983 122  1.1 8  4.2  86    0    0 323 -328  1
3995500 2749500  1  2  5   2.3  983 138  1.3 8  4.1  87    0    0 321 -327  1
3995500 2749500  1  2  6   2.8  983 151  1.7 8  4.2  90    0    0 321 -328  1
3995500 2749500  1  2  7   3.6  983 137  1.7 7  4.3  88    0    0 315 -330  1
3995500 2749500  1  2  8   3.7  982 145  2.5 8  4.4  86    0    0 317 -333  1
3995500 2749500  1  2  9   3.7  982 153  3.2 8  4.4  86    0    2 323 -335  1
3995500 2749500  1  2 10   3.3  982 118  2.5 7  4.4  87    0   24 315 -337  1
3995500 2749500  1  2 11   4.5  982 128  1.6 8  4.5  87    0   41 316 -339  1
3995500 2749500  1  2 12   4.1  982 128  0.8 7  4.6  87    8   89 315 -342  1
3995500 2749500  1  2 13   4.6  982 157  2.6 5  4.5  85   26  110 288 -345  1
3995500 2749500  1  2 14   4.8  982 168  3.4 4  4.6  84   50   99 260 -347  1
3995500 2749500  1  2 15   5.2  981 157  3.6 3  4.7  84   49   71 242 -348  1
3995500 2749500  1  2 16   6.1  981 159  2.8 5  4.9  84    5   31 256 -347  1
3995500 2749500  1  2 17   5.9  981 169  2.6 5  5.1  84    0    3 280 -344  1
3995500 2749500  1  2 18   5.5  981 160  2.5 5  5.0  84    0    0 281 -342  1
3995500 2749500  1  2 19   5.2  981 158  1.5 5  4.9  86    0    0 281 -342  1
3995500 2749500  1  2 20   5.4  981 159  1.4 6  4.9  85    0    0 286 -342  1
3995500 2749500  1  2 21   5.8  981 164  2.0 4  4.9  83    0    0 280 -342  1
3995500 2749500  1  2 22   5.6  982 158  1.7 5  4.9  83    0    0 278 -342  1
3995500 2749500  1  2 23   6.1  981 177  4.4 5  4.9  83    0    0 287 -343  1
3995500 2749500  1  2 24   6.1  981 162  3.7 3  4.9  82    0    0 274 -343  1
3995500 2749500  1  3  1   5.8  981 167  3.6 6  4.8  81    0    0 276 -343  1
3995500 2749500  1  3  2   6.6  981 164  3.7 5  4.9  80    0    0 290 -342  1
3995500 2749500  1  3  3   6.9  981 172  3.8 6  4.9  78    0    0 291 -341  1
3995500 2749500  1  3  4   6.6  982 158  3.6 6  4.9  78    0    0 297 -339  1
3995500 2749500  1  3  5   6.1  982 140  3.0 5  4.8  79    0    0 290 -337  1
3995500 2749500  1  3  6   6.4  982 178  2.8 4  4.8  78    0    0 280 -335  1
3995500 2749500  1  3  7   6.4  983 131  3.4 6  4.9  79    0    0 283 -335  1
3995500 2749500  1  3  8   6.5  983 160  3.7 6  4.9  79    0    0 296 -336  1
3995500 2749500  1  3  9   6.7  983 140  3.1 6  4.8  77    0    0 296 -337  1
3995500 2749500  1  3 10   6.8  984 170  1.9 6  4.8  76    0   20 295 -337  1
3995500 2749500  1  3 11   7.5  985 207  3.7 6  5.0  76    1   59 297 -338  1
3995500 2749500  1  3 12   6.9  986 206  3.1 7  5.1  78    1   76 303 -340  1
3995500 2749500  1  3 13   8.2  987 213  3.0 2  5.1  77  107  104 283 -342  1
3995500 2749500  1  3 14   8.7  987 209  2.5 2  5.1  72   79   99 263 -343  1
3995500 2749500  1  3 15   8.0  988 222  2.3 3  5.1  72   18   71 267 -341  1
3995500 2749500  1  3 16   7.1  988 244  0.5 5  4.9  74    0   25 277 -338  1
3995500 2749500  1  3 17   5.1  989 169  0.1 5  4.7  78    0    2 281 -333  1
3995500 2749500  1  3 18   4.2  990 165  0.1 4  4.4  81    0    0 270 -331  1
3995500 2749500  1  3 19   3.2  990 124  0.7 4  4.1  82    0    0 262 -331  1
3995500 2749500  1  3 20   3.2  991 126  0.5 5  4.0  82    0    0 266 -332  1
3995500 2749500  1  3 21   3.3  991 145  0.7 4  3.9  81    0    0 266 -332  1
3995500 2749500  1  3 22   3.1  991 176  0.1 2  3.9  81    0    0 252 -334  1
3995500 2749500  1  3 23   2.9  991 119  2.2 2  4.0  82    0    0 245 -335  1
3995500 2749500  1  3 24   3.6  991 128  1.9 2  4.0  82    0    0 250 -336  1
3995500 2749500  1  4  1   3.9  991 167  0.9 2  4.1  81    0    0 253 -336  1
3995500 2749500  1  4  2   2.9  990 119  1.6 4  4.0  81    0    0 260 -336  1
3995500 2749500  1  4  3   3.9  990 130  1.6 3  4.0  80    0    0 265 -336  1
3995500 2749500  1  4  4   4.0  989 184  2.4 5  4.1  79    0    0 272 -336  1
3995500 2749500  1  4  5   4.8  989 139  2.2 7  4.0  76    0    0 296 -336  1
3995500 2749500  1  4  6   4.4  988 129  2.6 5  4.0  74    0    0 295 -336  1
3995500 2749500  1  4  7   4.7  987 128  3.6 5  4.0  74    0    0 281 -337  1
3995500 2749500  1  4  8   4.6  987 137  2.7 7  4.0  73    0    0 292 -338  1
3995500 2749500  1  4  9   4.5  986 127  2.9 7  3.9  73    0    3 306 -338  1
3995500 2749500  1  4 10   4.5  986 117  3.0 7  3.9  72    6   33 304 -339  1
3995500 2749500  1  4 11   4.5  985 126  3.4 7  3.9  72   24   67 304 -340  1
3995500 2749500  1  4 12   5.4  985 126  2.7 7  3.9  70   13   87 308 -341  1
3995500 2749500  1  4 13   5.4  984 159  2.4 8  4.0  69    0   68 319 -343  1
3995500 2749500  1  4 14   6.0  984 158  2.8 7  4.1  70    9   80 321 -345  1
3995500 2749500  1  4 15   5.7  983 138  3.7 6  4.2  72   12   61 306 -347  1
3995500 2749500  1  4 16   6.1  983 158  3.5 8  4.3  73    0   18 313 -347  1
3995500 2749500  1  4 17   5.2  983 177  2.6 8  4.4  76    0    0 330 -347  1
3995500 2749500  1  4 18   5.2  982 121  2.1 7  4.5  80    0    0 321 -348  1
3995500 2749500  1  4 19   6.2  983 169  4.1 7  4.8  82    0    0 316 -348  1
3995500 2749500  1  4 20   6.9  982 189  4.4 8  5.1  82    0    0 325 -349  1
3995500 2749500  1  4 21   7.9  983 209  2.6 7  5.3  80    0    0 327 -349  1
3995500 2749500  1  4 22   8.6  983 198  3.6 7  5.4  77    0    0 322 -348  1
3995500 2749500  1  4 23   8.2  984 186  3.0 7  5.2  74    0    0 322 -348  1
3995500 2749500  1  4 24   8.0  984 187  2.8 8  5.0  73    0    0 326 -347  1
3995500 2749500  1  5  1   8.1  985 207  4.1 8  5.0  72    0    0 332 -347  1
3995500 2749500  1  5  2   7.5  985 210  3.0 6  5.0  74    0    0 319 -347  1
3995500 2749500  1  5  3   7.1  985 195  2.4 6  4.9  75    0    0 308 -346  1
3995500 2749500  1  5  4   7.3  985 195  2.8 5  4.9  75    0    0 304 -346  1
3995500 2749500  1  5  5   6.0  985 178  1.9 5  4.7  76    0    0 300 -346  1
3995500 2749500  1  5  6   6.7  985 158  2.5 6  4.7  77    0    0 305 -346  1
3995500 2749500  1  5  7   6.8  984 159  3.5 6  4.9  78    0    0 311 -347  1
3995500 2749500  1  5  8   7.2  983 170  4.3 7  5.0  78    0    0 317 -347  1
3995500 2749500  1  5  9   7.1  983 157  4.1 7  5.2  80    0    0 322 -347  1
3995500 2749500  1  5 10   7.1  982 158  5.2 8  5.3  82    0   16 326 -347  1
3995500 2749500  1  5 11   6.9  980 150  4.0 7  5.2  81    0   29 325 -347  1
3995500 2749500  1  5 12   6.2  979 139  3.4 7  5.2  84    0   39 318 -348  1
3995500 2749500  1  5 13   6.2  978 148  5.1 7  5.2  86    0   38 314 -348  1
3995500 2749500  1  5 14   5.7  976 148  4.3 8  5.1  85    0   31 321 -349  1
3995500 2749500  1  5 15   5.6  975 160  5.3 8  5.0  84    0   23 330 -349  1
3995500 2749500  1  5 16   6.1  973 171  5.8 8  5.1  84    0    9 333 -350  1
3995500 2749500  1  5 17   6.7  973 170  5.7 8  5.3  86    0    0 336 -352  1
3995500 2749500  1  5 18   7.5  972 181  4.6 8  5.6  86    0    0 341 -353  1
3995500 2749500  1  5 19   8.5  971 182  4.7 8  5.9  85    0    0 344 -355  1
3995500 2749500  1  5 20   9.5  971 193  3.4 8  6.3  84    0    0 349 -356  1
3995500 2749500  1  5 21  10.4  971 193  4.3 8  6.4  81    0    0 352 -358  1
3995500 2749500  1  5 22  10.4  971 200  3.2 8  6.5  79    0    0 352 -360  1
3995500 2749500  1  5 23  10.9  971 199  3.3 8  6.6  79    0    0 353 -361  1
3995500 2749500  1  5 24  10.9  971 205  2.2 8  6.6  77    0    0 354 -363  1
3995500 2749500  1  6  1  10.6  972 209  2.7 8  6.6  79    0    0 353 -364  1
3995500 2749500  1  6  2  10.7  972 181  5.0 8  6.7  80    0    0 350 -360  1
3995500 2749500  1  6  3  10.5  972 180  3.4 8  6.8  82    0    0 348 -355  1
3995500 2749500  1  6  4  11.0  971 180  5.7 8  7.0  83    0    0 348 -351  1
3995500 2749500  1  6  5  11.2  971 181  4.4 8  7.1  82    0    0 348 -346  1
3995500 2749500  1  6  6  10.0  971 205  3.0 8  7.3  87    0    0 345 -340  1
3995500 2749500  1  6  7  10.8  971 234  7.0 8  7.3  88    0    0 341 -334  1
3995500 2749500  1  6  8   9.5  972 263  6.7 7  6.8  84    0    0 331 -330  1
3995500 2749500  1  6  9   7.6  974 273  6.0 7  6.2  85    0    0 318 -327  1
3995500 2749500  1  6 10   7.6  977 263  5.3 7  5.6  83    0   10 312 -326  1
3995500 2749500  1  6 11   7.6  979 254  4.0 8  5.4  80    0   25 314 -328  1
3995500 2749500  1  6 12   7.4  981 235  2.2 6  5.3  80   14   97 305 -331  1
3995500 2749500  1  6 13   6.9  982 271  3.9 8  5.3  82    0   66 301 -335  1
3995500 2749500  1  6 14   7.1  983 232  1.0 6  5.3  83   12   93 298 -337  1
3995500 2749500  1  6 15   7.2  983 230  0.9 6  5.3  82    7   66 288 -337  1
3995500 2749500  1  6 16   7.5  984 205  1.3 8  5.1  78    5   32 297 -336  1
3995500 2749500  1  6 17   7.1  985 175  2.3 6  5.1  78    0    0 296 -333  1
3995500 2749500  1  6 18   7.0  985 187  1.8 7  5.1  80    0    0 290 -330  1
3995500 2749500  1  6 19   7.3  986 206  2.5 7  5.0  77    0    0 295 -329  1
3995500 2749500  1  6 20   7.0  987 203  2.4 8  4.9  75    0    0 300 -329  1
3995500 2749500  1  6 21   6.8  987 209  3.3 8  5.0  78    0    0 308 -329  1
3995500 2749500  1  6 22   6.6  988 208  2.4 7  5.0  81    0    0 305 -328  1
3995500 2749500  1  6 23   6.5  988 189  1.2 7  5.0  81    0    0 298 -327  1
3995500 2749500  1  6 24   6.5  989 169  0.5 8  5.0  82    0    0 304 -328  1
3995500 2749500  1  7  1   5.6  990 176  1.0 7  5.0  84    0    0 304 -328  1
3995500 2749500  1  7  2   5.5  990 139  0.4 7  5.0  86    0    0 297 -328  1
