Koordinatensystem : Lambert konform konisch
Rechtswert        : 3983500 Meter
Hochwert          : 2840500 Meter
Hoehenlage        : 59 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3983500 2840500  1  1  1   6.4  991 196  3.8 8  5.1  83    0    0 325 -319  0
3983500 2840500  1  1  2   5.3  991 200  3.3 7  4.9  86    0    0 326 -319  0
3983500 2840500  1  1  3   4.5  991 205  3.0 6  4.7  87    0    0 306 -319  0
3983500 2840500  1  1  4   4.3  992 206  3.0 6  4.6  86    0    0 288 -319  0
3983500 2840500  1  1  5   4.2  992 202  3.0 5  4.5  86    0    0 264 -319  0
3983500 2840500  1  1  6   4.1  992 193  2.3 6  4.5  86    0    0 263 -319  0
3983500 2840500  1  1  7   4.0  993 174  2.8 7  4.5  86    0    0 295 -319  0
3983500 2840500  1  1  8   3.6  993 192  2.9 7  4.4  86    0    0 302 -320  0
3983500 2840500  1  1  9   3.7  994 191  2.8 6  4.4  87    0    0 293 -320  0
3983500 2840500  1  1 10   4.5  995 202  1.9 8  4.4  85    0   22 304 -320  0
3983500 2840500  1  1 11   4.8  995 193  2.2 7  4.5  83    2   59 314 -321  0
3983500 2840500  1  1 12   4.8  996 186  2.0 7  4.6  84    0   58 304 -323  0
3983500 2840500  1  1 13   5.4  997 207  2.3 5  4.7  84   11  102 290 -325  0
3983500 2840500  1  1 14   5.4  997 213  2.0 5  4.8  84   19   98 279 -326  0
3983500 2840500  1  1 15   5.6  997 220  1.9 7  4.7  83    3   55 294 -326  0
3983500 2840500  1  1 16   5.4  998 181  1.4 7  4.6  81    0   12 307 -324  0
3983500 2840500  1  1 17   4.8  999 162  1.0 7  4.5  82    0    0 306 -322  0
3983500 2840500  1  1 18   4.8 1000 213  0.9 7  4.5  83    0    0 305 -320  0
3983500 2840500  1  1 19   5.1 1001 190  0.6 7  4.5  82    0    0 306 -319  0
3983500 2840500  1  1 20   4.8 1001 177  0.5 8  4.5  82    0    0 313 -319  0
3983500 2840500  1  1 21   4.6 1002 160  0.7 6  4.4  83    0    0 305 -319  0
3983500 2840500  1  1 22   4.5 1003 196  0.3 7  4.4  83    0    0 296 -319  0
3983500 2840500  1  1 23   4.3 1004 267  0.9 7  4.4  84    0    0 304 -319  0
3983500 2840500  1  1 24   3.7 1005 277  0.7 6  4.3  84    0    0 294 -319  0
3983500 2840500  1  2  1   2.3 1005 300  0.6 6  4.1  86    0    0 282 -318  0
3983500 2840500  1  2  2   2.0 1006 264  0.6 6  4.0  90    0    0 277 -318  0
3983500 2840500  1  2  3   2.2 1007 190  0.8 6  4.0  91    0    0 274 -318  0
3983500 2840500  1  2  4   1.4 1008 284  0.9 4  4.0  92    0    0 251 -319  0
3983500 2840500  1  2  5   1.7 1009 274  1.2 4  3.9  92    0    0 231 -319  0
3983500 2840500  1  2  6   1.8 1009 270  1.0 4  4.0  91    0    0 235 -318  0
3983500 2840500  1  2  7   2.2 1010 283  1.3 6  4.0  91    0    0 256 -318  0
3983500 2840500  1  2  8   2.3 1011 285  0.9 8  4.1  91    0    0 291 -318  0
3983500 2840500  1  2  9   2.4 1011 274  0.8 7  4.2  92    0    0 301 -318  0
3983500 2840500  1  2 10   2.4 1012 269  1.0 8  4.2  93    0   35 302 -318  0
3983500 2840500  1  2 11   2.3 1013 260  1.3 8  4.2  93    0   55 311 -319  0
3983500 2840500  1  2 12   2.7 1013 265  1.3 7  4.2  93    0   54 304 -321  0
3983500 2840500  1  2 13   2.9 1014 275  1.7 7  4.4  94    0   42 299 -324  0
3983500 2840500  1  2 14   3.1 1014 283  1.6 8  4.5  95    0   34 306 -326  0
3983500 2840500  1  2 15   3.2 1014 299  1.4 7  4.5  94    0   24 308 -325  0
3983500 2840500  1  2 16   3.3 1015 279  1.0 7  4.5  94    0    7 301 -322  0
3983500 2840500  1  2 17   3.3 1015 273  1.8 8  4.5  94    0    0 309 -320  0
3983500 2840500  1  2 18   3.2 1016 316  1.8 8  4.5  94    0    0 316 -319  0
3983500 2840500  1  2 19   3.2 1016 310  1.4 8  4.4  92    0    0 316 -319  0
3983500 2840500  1  2 20   3.0 1017 315  1.6 8  4.3  92    0    0 315 -317  0
3983500 2840500  1  2 21   2.8 1017 308  1.7 7  4.3  92    0    0 309 -317  0
3983500 2840500  1  2 22   2.6 1018 309  2.4 7  4.2  92    0    0 302 -317  0
3983500 2840500  1  2 23   2.5 1018 314  2.2 7  4.2  92    0    0 302 -318  0
3983500 2840500  1  2 24   2.2 1019 307  1.2 8  4.1  92    0    0 308 -318  0
3983500 2840500  1  3  1   2.1 1019 300  1.8 8  4.1  93    0    0 313 -318  0
3983500 2840500  1  3  2   1.9 1019 317  1.5 8  4.1  93    0    0 312 -319  0
3983500 2840500  1  3  3   1.6 1020 318  1.4 8  4.0  93    0    0 310 -319  0
3983500 2840500  1  3  4   0.8 1020 321  1.2 8  3.9  95    0    0 307 -319  0
3983500 2840500  1  3  5   0.1 1019 298  1.0 6  3.7  96    0    0 291 -318  0
3983500 2840500  1  3  6  -0.9 1019 301  0.5 6  3.5  94    0    0 276 -317  0
3983500 2840500  1  3  7  -1.3 1020 257  1.1 5  3.3  94    0    0 267 -317  0
3983500 2840500  1  3  8  -1.3 1020 301  0.6 7  3.2  95    0    0 273 -317  0
3983500 2840500  1  3  9  -1.7 1021 250  0.7 7  3.2  94    0    0 284 -317  0
3983500 2840500  1  3 10  -2.0 1021 280  1.0 8  3.1  95   11   33 288 -317  0
3983500 2840500  1  3 11  -1.9 1022 302  0.5 7  3.1  96    3   56 287 -317  0
3983500 2840500  1  3 12  -1.7 1022 287  0.4 7  3.2  96    0   68 280 -319  0
3983500 2840500  1  3 13  -1.7 1022 261  0.6 8  3.2  96    0   63 287 -321  0
3983500 2840500  1  3 14  -1.3 1022 287  0.8 5  3.2  96    3   71 276 -323  0
3983500 2840500  1  3 15  -1.0 1022 270  1.4 6  3.3  96   19   46 268 -324  0
3983500 2840500  1  3 16  -0.8 1022 270  0.8 8  3.4  96    0   16 286 -323  0
3983500 2840500  1  3 17  -0.6 1023  49  0.8 7  3.4  96    0    0 293 -320  0
3983500 2840500  1  3 18   0.1 1023 111  0.9 6  3.5  95    0    0 283 -317  0
3983500 2840500  1  3 19   0.2 1023 110  0.7 8  3.6  95    0    0 291 -315  0
3983500 2840500  1  3 20   0.5 1023 110  0.8 8  3.6  94    0    0 302 -315  0
3983500 2840500  1  3 21   0.8 1024 163  0.9 7  3.6  93    0    0 297 -315  0
3983500 2840500  1  3 22   1.0 1024 122  0.3 6  3.7  92    0    0 286 -313  0
3983500 2840500  1  3 23   1.1 1024 104  0.7 8  3.8  93    0    0 291 -313  0
3983500 2840500  1  3 24   1.0 1024 170  0.8 7  3.8  94    0    0 297 -314  0
3983500 2840500  1  4  1   1.2 1024 187  0.4 8  3.8  94    0    0 297 -314  0
3983500 2840500  1  4  2   1.3 1024  80  0.0 8  3.8  93    0    0 302 -314  0
3983500 2840500  1  4  3   1.2 1024  95  0.4 5  3.8  93    0    0 287 -314  0
3983500 2840500  1  4  4   1.4 1024  92  0.0 7  3.8  93    0    0 283 -314  0
3983500 2840500  1  4  5   1.1 1024  72  0.3 7  3.9  94    0    0 292 -314  0
3983500 2840500  1  4  6   1.3 1024  77  0.4 8  3.9  94    0    0 297 -314  0
3983500 2840500  1  4  7   1.0 1024  55  0.6 8  3.8  94    0    0 304 -313  0
3983500 2840500  1  4  8   1.0 1024  68  1.6 8  3.7  93    0    0 306 -312  0
3983500 2840500  1  4  9   0.8 1025  72  1.6 6  3.7  92    0    0 297 -312  0
3983500 2840500  1  4 10   0.5 1025  78  1.9 5  3.7  94    0   31 280 -312  0
3983500 2840500  1  4 11   0.0 1025  87  1.8 7  3.6  93    0   35 284 -312  0
3983500 2840500  1  4 12  -0.4 1026  59  2.4 7  3.3  91    0   40 293 -313  0
3983500 2840500  1  4 13  -0.5 1026  86  3.6 7  3.2  88    0   39 292 -314  0
3983500 2840500  1  4 14  -0.3 1025  66  3.4 8  3.2  88    0   26 298 -314  0
3983500 2840500  1  4 15  -0.3 1025  85  3.3 7  3.2  89    0   19 299 -315  0
3983500 2840500  1  4 16  -0.2 1025  81  3.2 8  3.3  90    0    6 300 -315  0
3983500 2840500  1  4 17   0.0 1025  84  3.0 8  3.3  90    0    0 307 -315  0
3983500 2840500  1  4 18   0.2 1025  65  3.3 8  3.4  90    0    0 308 -315  0
3983500 2840500  1  4 19   0.4 1025  64  2.8 8  3.4  90    0    0 309 -315  0
3983500 2840500  1  4 20   0.4 1025  61  3.4 8  3.4  89    0    0 309 -315  0
3983500 2840500  1  4 21   0.4 1025  63  3.7 8  3.4  87    0    0 310 -315  0
3983500 2840500  1  4 22   0.4 1025  64  3.3 8  3.2  84    0    0 309 -315  0
3983500 2840500  1  4 23   0.1 1024  44  2.9 8  3.2  84    0    0 309 -315  0
3983500 2840500  1  4 24  -0.1 1024  32  2.9 8  3.3  87    0    0 307 -315  0
3983500 2840500  1  5  1  -0.1 1023  32  2.4 8  3.3  88    0    0 306 -315  0
3983500 2840500  1  5  2  -0.1 1023  30  2.6 8  3.3  90    0    0 305 -315  0
3983500 2840500  1  5  3  -0.1 1022  50  3.2 8  3.4  92    0    0 305 -315  0
3983500 2840500  1  5  4   0.1 1022  49  3.1 7  3.5  93    0    0 299 -315  0
3983500 2840500  1  5  5   0.3 1022  67  3.1 7  3.6  94    0    0 291 -315  0
3983500 2840500  1  5  6   0.5 1021  71  4.9 7  3.7  94    0    0 292 -315  0
3983500 2840500  1  5  7   0.7 1021  79  5.0 8  3.7  94    0    0 302 -315  0
3983500 2840500  1  5  8   0.8 1020  86  4.7 8  3.7  94    0    0 311 -315  0
3983500 2840500  1  5  9   0.9 1020  87  4.9 8  3.8  95    0    0 311 -315  0
3983500 2840500  1  5 10   1.1 1020  90  5.1 8  3.8  94    0   36 312 -315  0
3983500 2840500  1  5 11   1.2 1020  88  5.2 8  3.8  94    0   43 311 -315  0
3983500 2840500  1  5 12   1.4 1020  87  5.1 8  3.9  93    0   33 312 -316  0
3983500 2840500  1  5 13   1.4 1019  92  4.6 8  3.9  92    0   24 313 -316  0
3983500 2840500  1  5 14   1.4 1018  86  4.4 7  3.8  92    0   26 306 -316  0
3983500 2840500  1  5 15   1.7 1018  90  4.2 8  3.8  89    0   19 307 -316  0
3983500 2840500  1  5 16   1.4 1017  96  5.1 8  3.7  88    0   13 314 -316  0
3983500 2840500  1  5 17   1.3 1017  88  4.8 8  3.8  90    0    0 313 -316  0
3983500 2840500  1  5 18   1.2 1017  88  5.0 8  3.8  91    0    0 313 -316  0
3983500 2840500  1  5 19   0.9 1017  89  5.3 8  3.8  92    0    0 312 -316  0
3983500 2840500  1  5 20   0.9 1017  90  5.2 8  3.7  92    0    0 312 -316  0
3983500 2840500  1  5 21   0.9 1017  98  5.2 8  3.6  90    0    0 311 -316  0
3983500 2840500  1  5 22   1.0 1017  98  5.7 8  3.5  87    0    0 310 -316  0
3983500 2840500  1  5 23   0.8 1017  94  5.5 8  3.5  86    0    0 309 -316  0
3983500 2840500  1  5 24   0.7 1017  98  5.0 8  3.5  87    0    0 308 -316  0
3983500 2840500  1  6  1   0.6 1017  85  5.1 8  3.5  88    0    0 306 -316  0
3983500 2840500  1  6  2   0.4 1017  93  5.3 8  3.5  90    0    0 306 -316  0
3983500 2840500  1  6  3   0.2 1017  90  5.3 7  3.5  91    0    0 301 -316  0
3983500 2840500  1  6  4   0.1 1016  87  4.9 7  3.5  92    0    0 295 -316  0
3983500 2840500  1  6  5   0.2 1016  87  5.1 8  3.5  91    0    0 300 -316  0
3983500 2840500  1  6  6   0.0 1016  83  5.8 8  3.5  92    0    0 304 -316  0
3983500 2840500  1  6  7  -0.1 1016  93  4.3 8  3.5  92    0    0 304 -316  0
3983500 2840500  1  6  8  -0.2 1016  92  4.7 8  3.4  92    0    0 302 -316  0
3983500 2840500  1  6  9  -0.2 1017  84  5.2 8  3.4  92    0    0 301 -316  0
3983500 2840500  1  6 10  -0.1 1017  84  5.6 7  3.4  92    0   27 297 -316  0
3983500 2840500  1  6 11  -0.1 1018  85  5.1 7  3.4  92    1   58 292 -316  0
3983500 2840500  1  6 12  -0.1 1018  94  4.5 7  3.4  92    0   40 292 -316  0
3983500 2840500  1  6 13  -0.2 1018  86  4.1 8  3.4  92    0   38 297 -318  0
3983500 2840500  1  6 14  -0.4 1018  94  4.3 7  3.4  93    0   40 297 -318  0
3983500 2840500  1  6 15  -0.6 1018  91  4.6 7  3.4  94    0   28 292 -318  0
3983500 2840500  1  6 16  -0.8 1018  85  4.6 8  3.4  95    0   10 297 -317  0
3983500 2840500  1  6 17  -1.2 1019  86  4.6 8  3.4  97    0    0 301 -317  0
3983500 2840500  1  6 18  -1.3 1019  96  4.8 8  3.4  99    0    0 300 -316  0
3983500 2840500  1  6 19  -1.3 1019  96  4.6 8  3.3  98    0    0 299 -316  0
3983500 2840500  1  6 20  -1.1 1020  97  4.1 8  3.3  95    0    0 299 -316  0
3983500 2840500  1  6 21  -1.2 1020  97  4.0 7  3.2  93    0    0 294 -316  0
3983500 2840500  1  6 22  -1.2 1020  88  3.9 8  3.2  92    0    0 294 -316  0
3983500 2840500  1  6 23  -1.3 1020  87  4.0 8  3.2  92    0    0 299 -316  0
3983500 2840500  1  6 24  -1.3 1021  88  3.0 8  3.2  94    0    0 299 -316  0
3983500 2840500  1  7  1  -1.2 1021  88  3.0 8  3.2  95    0    0 299 -316  0
3983500 2840500  1  7  2  -1.0 1021  96  3.1 7  3.3  94    0    0 294 -316  0
3983500 2840500  1  7  3  -0.7 1021  95  2.8 7  3.3  93    0    0 290 -316  0
3983500 2840500  1  7  4  -0.5 1021  98  2.4 8  3.3  92    0    0 296 -316  0
3983500 2840500  1  7  5  -0.4 1021  98  2.6 8  3.3  92    0    0 301 -316  0
3983500 2840500  1  7  6  -0.3 1021  98  2.5 8  3.4  92    0    0 301 -316  0
3983500 2840500  1  7  7  -0.2 1021  96  2.4 8  3.4  93    0    0 301 -316  0
3983500 2840500  1  7  8  -0.2 1021  96  2.4 8  3.4  93    0    0 301 -316  0
3983500 2840500  1  7  9  -0.3 1022  90  2.6 7  3.4  93    0    0 296 -316  0
3983500 2840500  1  7 10  -0.2 1022  96  3.0 8  3.4  93    0   27 295 -316  0
3983500 2840500  1  7 11  -0.3 1022  94  2.6 8  3.4  93    0   29 300 -318  0
3983500 2840500  1  7 12  -0.3 1023  97  2.8 7  3.4  93    0   30 294 -320  0
3983500 2840500  1  7 13  -0.2 1023  99  3.0 7  3.4  93    0   34 288 -321  0
3983500 2840500  1  7 14  -0.2 1023  98  3.0 7  3.4  93    0   29 287 -321  0
3983500 2840500  1  7 15  -0.3 1022  89  3.2 8  3.5  94    0   18 293 -321  0
3983500 2840500  1  7 16  -0.3 1022  89  3.4 8  3.5  95    0    6 298 -320  0
3983500 2840500  1  7 17   0.2 1022  90  3.5 8  3.6  95    0    0 299 -318  0
3983500 2840500  1  7 18   0.2 1022  92  3.0 8  3.6  95    0    0 301 -317  0
3983500 2840500  1  7 19   0.4 1023  97  3.2 8  3.6  94    0    0 301 -316  0
3983500 2840500  1  7 20   0.3 1023  91  3.3 8  3.6  94    0    0 301 -316  0
3983500 2840500  1  7 21   0.2 1023 101  4.1 8  3.6  95    0    0 301 -316  0
3983500 2840500  1  7 22   0.1 1023  99  4.0 8  3.6  94    0    0 301 -316  0
3983500 2840500  1  7 23  -0.1 1023  90  4.1 8  3.5  92    0    0 300 -316  0
3983500 2840500  1  7 24  -0.4 1023  96  3.7 7  3.4  92    0    0 293 -316  0
3983500 2840500  1  8  1  -0.5 1023  90  4.1 7  3.4  93    0    0 286 -316  0
3983500 2840500  1  8  2  -0.5 1023  99  3.7 8  3.4  93    0    0 291 -315  0
3983500 2840500  1  8  3  -0.7 1023 100  4.4 8  3.4  94    0    0 297 -315  0
3983500 2840500  1  8  4  -1.1 1023 107  4.2 8  3.3  93    0    0 296 -314  0
3983500 2840500  1  8  5  -1.4 1023 114  4.2 8  3.2  92    0    0 295 -314  0
3983500 2840500  1  8  6  -1.7 1023  99  3.7 8  3.1  91    0    0 294 -313  0
3983500 2840500  1  8  7  -1.9 1023 113  2.9 7  2.9  89    0    0 287 -313  0
3983500 2840500  1  8  8  -1.9 1023  90  3.1 7  2.9  88    0    0 280 -313  0
3983500 2840500  1  8  9  -1.8 1023 100  2.8 7  2.9  89    0    0 279 -313  0
3983500 2840500  1  8 10  -1.7 1023 103  3.4 7  3.0  90    0   32 280 -313  0
3983500 2840500  1  8 11  -1.4 1024  94  3.6 8  3.0  89    0   44 284 -313  0
3983500 2840500  1  8 12  -1.2 1024 101  4.0 7  3.0  87    0   62 284 -314  0
3983500 2840500  1  8 13  -0.9 1024 105  4.1 7  3.0  85    0   68 279 -314  0
3983500 2840500  1  8 14  -1.1 1024 102  3.4 7  2.9  84    0   61 278 -314  0
3983500 2840500  1  8 15  -1.4 1024 105  3.3 7  2.9  85    1   58 277 -314  0
3983500 2840500  1  8 16  -1.6 1023 105  3.1 8  2.9  85    0   22 279 -313  0
3983500 2840500  1  8 17  -1.8 1024 105  3.1 8  2.8  85    0    0 283 -311  0
3983500 2840500  1  8 18  -1.8 1024 120  2.3 8  2.8  85    0    0 282 -309  0
3983500 2840500  1  8 19  -1.7 1024 108  2.7 7  2.8  86    0    0 277 -307  0
3983500 2840500  1  8 20  -1.6 1024  98  1.3 6  2.8  86    0    0 269 -305  0
3983500 2840500  1  8 21  -1.7 1024  90  1.4 5  2.8  85    0    0 260 -303  0
3983500 2840500  1  8 22  -2.9 1024  82  1.0 4  2.7  86    0    0 249 -302  0
3983500 2840500  1  8 23  -3.7 1025  80  1.1 3  2.6  87    0    0 238 -301  0
3983500 2840500  1  8 24  -4.4 1025  89  0.7 0  2.5  89    0    0 219 -301  0
3983500 2840500  1  9  1  -4.6 1024  81  0.6 0  2.4  89    0    0 205 -301  0
3983500 2840500  1  9  2  -5.6 1024  88  0.9 0  2.3  91    0    0 203 -300  0
3983500 2840500  1  9  3  -4.5 1024  89  1.0 0  2.3  91    0    0 203 -300  0
3983500 2840500  1  9  4  -4.8 1024  88  1.4 0  2.4  90    0    0 205 -300  0
3983500 2840500  1  9  5  -5.0 1024  90  1.3 0  2.3  89    0    0 206 -300  0
3983500 2840500  1  9  6  -5.2 1024  92  1.0 0  2.3  89    0    0 205 -300  0
3983500 2840500  1  9  7  -5.2 1023  94  1.2 0  2.2  88    0    0 205 -299  0
3983500 2840500  1  9  8  -5.2 1024 105  0.9 0  2.2  86    0    0 204 -299  0
3983500 2840500  1  9  9  -5.4 1024 103  1.2 0  2.2  86    0    0 204 -298  0
3983500 2840500  1  9 10  -4.4 1024 108  0.8 0  2.2  84   47   45 205 -298  0
3983500 2840500  1  9 11  -2.9 1024 119  1.4 0  2.3  82  100   67 208 -300  0
3983500 2840500  1  9 12  -1.6 1024 109  1.8 0  2.5  79  150   78 211 -304  0
3983500 2840500  1  9 13  -0.6 1023 119  2.1 0  2.6  76  179   75 214 -307  0
3983500 2840500  1  9 14  -0.3 1022 124  2.1 0  2.6  73  160   71 216 -309  0
3983500 2840500  1  9 15   0.3 1022 123  1.7 0  2.7  72  104   54 217 -310  0
3983500 2840500  1  9 16   0.3 1022 131  1.1 0  2.7  71    0    0 219 -309  0
3983500 2840500  1  9 17  -0.2 1022 111  1.2 0  2.7  71    0    0 219 -306  0
3983500 2840500  1  9 18  -0.4 1022 122  1.1 0  2.6  72    0    0 219 -304  0
3983500 2840500  1  9 19  -0.7 1022 119  1.2 0  2.6  73    0    0 218 -302  0
3983500 2840500  1  9 20  -0.7 1021 125  1.8 0  2.6  73    0    0 219 -300  0
3983500 2840500  1  9 21  -0.6 1021 138  1.2 0  2.6  72    0    0 219 -300  0
3983500 2840500  1  9 22  -1.3 1021 126  1.8 0  2.6  73    0    0 217 -299  0
3983500 2840500  1  9 23  -1.7 1021 154  0.9 0  2.5  75    0    0 214 -298  0
3983500 2840500  1  9 24  -1.4 1021 154  2.0 0  2.5  76    0    0 214 -297  0
3983500 2840500  1 10  1  -2.4 1021 183  1.6 1  2.6  78    0    0 218 -296  0
3983500 2840500  1 10  2  -1.4 1021 170  1.9 1  2.6  78    0    0 222 -295  0
3983500 2840500  1 10  3  -1.8 1021 182  2.4 1  2.6  76    0    0 221 -294  0
3983500 2840500  1 10  4  -1.4 1021 168  2.5 3  2.6  76    0    0 229 -293  0
3983500 2840500  1 10  5  -1.2 1021 172  2.1 3  2.6  76    0    0 238 -292  0
3983500 2840500  1 10  6  -1.7 1021 166  2.2 3  2.6  77    0    0 237 -292  0
3983500 2840500  1 10  7  -1.3 1021 173  2.9 2  2.6  77    0    0 232 -292  0
3983500 2840500  1 10  8  -0.9 1021 175  2.6 1  2.6  75    0    0 224 -292  0
3983500 2840500  1 10  9  -0.5 1021 176  2.5 3  2.7  74    0    0 228 -292  0
3983500 2840500  1 10 10  -0.2 1022 187  2.8 6  2.7  75   23   59 250 -292  0
3983500 2840500  1 10 11   0.7 1022 176  2.6 5  2.9  76   57  102 260 -295  0
3983500 2840500  1 10 12   2.2 1022 198  3.1 5  3.0  73   73  133 258 -300  0
3983500 2840500  1 10 13   2.9 1023 175  3.7 5  3.2  71   81  144 258 -305  0
3983500 2840500  1 10 14   3.4 1022 172  3.4 5  3.4  71   63  119 257 -308  0
3983500 2840500  1 10 15   3.3 1022 179  3.4 5  3.5  72   19   86 255 -310  0
3983500 2840500  1 10 16   2.5 1022 174  2.2 7  3.4  74    5   36 261 -310  0
3983500 2840500  1 10 17   1.6 1022 170  2.3 7  3.3  76    0    0 266 -307  0
3983500 2840500  1 10 18   1.4 1021 167  2.4 6  3.2  76    0    0 261 -305  0
3983500 2840500  1 10 19   1.2 1021 161  3.1 6  3.2  77    0    0 257 -304  0
3983500 2840500  1 10 20   1.3 1020 168  3.6 6  3.2  77    0    0 258 -304  0
3983500 2840500  1 10 21   1.0 1020 171  3.6 6  3.1  76    0    0 258 -304  0
3983500 2840500  1 10 22   1.1 1020 182  4.0 7  3.1  76    0    0 262 -303  0
3983500 2840500  1 10 23   1.2 1020 179  3.5 7  3.1  77    0    0 267 -302  0
3983500 2840500  1 10 24   0.6 1019 177  3.8 6  3.1  77    0    0 263 -302  0
3983500 2840500  1 11  1   0.6 1019 167  3.3 6  3.0  76    0    0 259 -302  0
3983500 2840500  1 11  2   0.9 1019 181  3.7 5  3.0  75    0    0 256 -302  0
3983500 2840500  1 11  3   1.0 1019 180  3.2 6  3.0  73    0    0 256 -301  0
3983500 2840500  1 11  4   1.2 1019 181  2.9 6  3.0  74    0    0 262 -301  0
3983500 2840500  1 11  5   1.4 1019 187  3.7 6  3.0  72    0    0 263 -301  0
3983500 2840500  1 11  6   1.1 1018 190  3.0 7  3.0  72    0    0 268 -301  0
3983500 2840500  1 11  7   1.1 1018 171  2.6 6  2.9  72    0    0 269 -301  0
