Koordinatensystem : Lambert konform konisch
Rechtswert        : 4008500 Meter
Hochwert          : 3050500 Meter
Hoehenlage        : 21 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4008500 3050500  1  1  1   3.0 1009 241  7.1 8  4.3  90    0    0 315 -315  0
4008500 3050500  1  1  2   3.4 1009 251  8.3 8  4.4  91    0    0 316 -315  0
4008500 3050500  1  1  3   3.4 1008 248  8.3 8  4.5  92    0    0 315 -315  0
4008500 3050500  1  1  4   3.6 1007 261  8.1 8  4.6  94    0    0 313 -315  0
4008500 3050500  1  1  5   3.7 1006 282  8.3 8  4.6  93    0    0 312 -315  0
4008500 3050500  1  1  6   3.4 1006 271  7.7 7  4.4  90    0    0 307 -315  0
4008500 3050500  1  1  7   3.1 1006 275  7.9 3  4.1  85    0    0 284 -315  0
4008500 3050500  1  1  8   3.0 1006 273  7.5 2  3.9  82    0    0 261 -315  0
4008500 3050500  1  1  9   2.9 1006 281  7.6 2  3.9  82    0    2 255 -315  0
4008500 3050500  1  1 10   2.8 1006 282  7.1 1  3.8  82   11   32 247 -313  0
4008500 3050500  1  1 11   3.0 1007 292  6.6 0  3.8  81   53   58 235 -310  0
4008500 3050500  1  1 12   3.1 1007 291  6.6 1  3.8  80   63   80 232 -309  0
4008500 3050500  1  1 13   3.0 1007 291  7.2 2  3.7  79   57   88 240 -309  0
4008500 3050500  1  1 14   2.9 1007 280  6.4 3  3.7  78   16   83 249 -310  0
4008500 3050500  1  1 15   2.6 1008 280  5.8 4  3.7  79    4   53 259 -310  0
4008500 3050500  1  1 16   2.2 1008 281  5.0 3  3.7  82    0   14 259 -309  0
4008500 3050500  1  1 17   1.3 1008 279  4.0 2  3.7  85    0    0 246 -306  0
4008500 3050500  1  1 18   1.2 1009 269  4.0 1  3.6  86    0    0 232 -304  0
4008500 3050500  1  1 19   0.6 1009 269  3.8 1  3.5  86    0    0 224 -303  0
4008500 3050500  1  1 20   0.6 1010 277  4.2 0  3.4  84    0    0 215 -302  0
4008500 3050500  1  1 21   0.2 1010 268  3.1 0  3.3  83    0    0 207 -301  0
4008500 3050500  1  1 22   0.0 1010 259  2.5 0  3.2  84    0    0 206 -301  0
4008500 3050500  1  1 23  -0.6 1011 259  2.8 0  3.2  87    0    0 205 -301  0
4008500 3050500  1  1 24  -1.0 1011 268  2.8 0  3.2  90    0    0 204 -301  0
4008500 3050500  1  2  1  -1.2 1011 278  3.1 0  3.2  92    0    0 204 -301  0
4008500 3050500  1  2  2  -0.9 1011 269  3.5 0  3.3  93    0    0 204 -301  0
4008500 3050500  1  2  3  -1.1 1011 261  3.4 1  3.3  94    0    0 210 -301  0
4008500 3050500  1  2  4  -1.4 1011 280  3.2 0  3.2  94    0    0 209 -300  0
4008500 3050500  1  2  5  -1.1 1011 279  3.7 0  3.2  93    0    0 204 -299  0
4008500 3050500  1  2  6  -1.5 1011 287  3.5 0  3.2  92    0    0 204 -298  0
4008500 3050500  1  2  7  -1.6 1012 269  3.3 0  3.1  90    0    0 203 -297  0
4008500 3050500  1  2  8  -2.3 1012 268  3.3 0  3.0  91    0    0 200 -296  0
4008500 3050500  1  2  9  -2.5 1013 267  3.5 0  2.9  92    0    2 197 -295  0
