Koordinatensystem : Lambert konform konisch
Rechtswert        : 4008500 Meter
Hochwert          : 3050500 Meter
Hoehenlage        : 21 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4008500 3050500  1  1  1  -4.8 1016 150  1.8 1  2.1  80    0    0 193 -280  0
4008500 3050500  1  1  2  -5.4 1016 150  2.2 0  2.0  79    0    0 192 -279  0
4008500 3050500  1  1  3  -5.9 1015 116  2.6 0  1.9  78    0    0 192 -278  0
4008500 3050500  1  1  4  -6.1 1014 117  2.8 0  1.9  79    0    0 191 -278  0
4008500 3050500  1  1  5  -6.4 1014 126  2.8 0  1.9  80    0    0 190 -277  0
4008500 3050500  1  1  6  -6.4 1013 139  3.0 0  1.9  81    0    0 189 -276  0
4008500 3050500  1  1  7  -7.0 1011 160  2.6 0  1.9  81    0    0 186 -276  0
4008500 3050500  1  1  8  -7.2 1011 159  2.9 5  1.9  84    0    0 214 -276  0
4008500 3050500  1  1  9  -7.4 1010 179  3.8 6  1.9  87    0    0 250 -276  0
4008500 3050500  1  1 10  -7.3 1009 170  2.7 7  1.9  89    0   10 262 -276  0
4008500 3050500  1  1 11  -6.7 1008 158  2.9 7  2.1  91    0   18 269 -279  0
4008500 3050500  1  1 12  -6.1 1007 147  2.7 7  2.2  92    0   51 271 -283  0
4008500 3050500  1  1 13  -5.3 1005 160  3.3 7  2.3  91    0   64 273 -287  0
4008500 3050500  1  1 14  -5.0 1004 150  2.8 4  2.4  91   19  118 250 -290  0
4008500 3050500  1  1 15  -4.5 1002 142  3.5 7  2.4  90    0   49 247 -292  0
4008500 3050500  1  1 16  -4.2 1001 123  3.3 8  2.5  89    0    8 276 -293  0
4008500 3050500  1  1 17  -3.6  999 131  2.6 8  2.6  89    0    0 284 -293  0
4008500 3050500  1  1 18  -3.4  997 132  2.1 8  2.6  89    0    0 285 -293  0
4008500 3050500  1  1 19  -3.0  996 122  2.1 8  2.7  89    0    0 288 -294  0
4008500 3050500  1  1 20  -3.0  994 112  2.6 8  2.8  90    0    0 291 -296  0
