Koordinatensystem : Lambert konform konisch
Rechtswert        : 4112500 Meter
Hochwert          : 2385500 Meter
Hoehenlage        : 526 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4112500 2385500  1  1  1   4.2  943 217  2.5 8  4.8  87    0    0 319 -320  0
4112500 2385500  1  1  2   4.4  943 216  2.0 8  4.7  86    0    0 320 -319  0
4112500 2385500  1  1  3   3.9  943 191  1.7 8  4.7  86    0    0 318 -316  0
4112500 2385500  1  1  4   4.1  943 200  2.2 8  4.7  87    0    0 318 -316  0
4112500 2385500  1  1  5   4.3  943 201  1.8 7  4.8  87    0    0 310 -316  0
4112500 2385500  1  1  6   4.3  943 225  2.3 8  4.9  87    0    0 309 -316  0
4112500 2385500  1  1  7   4.1  943 196  2.4 8  4.8  87    0    0 317 -316  0
4112500 2385500  1  1  8   4.0  943 223  2.8 8  4.7  87    0    0 316 -316  0
4112500 2385500  1  1  9   3.7  944 239  3.3 8  4.6  86    8   11 315 -316  0
4112500 2385500  1  1 10   3.5  945 241  3.0 8  4.6  86    1   54 314 -318  0
4112500 2385500  1  1 11   3.5  946 243  2.5 8  4.5  86    4   87 313 -321  0
4112500 2385500  1  1 12   3.7  946 250  2.6 7  4.5  86   13  120 305 -324  0
4112500 2385500  1  1 13   3.8  946 240  2.0 8  4.4  83    0   95 306 -327  0
4112500 2385500  1  1 14   3.8  946 251  2.6 8  4.3  80    0   80 313 -328  0
4112500 2385500  1  1 15   3.8  946 240  1.2 8  4.2  78   18   75 313 -327  0
4112500 2385500  1  1 16   4.0  946 209  1.4 7  4.2  78    2   37 306 -324  0
4112500 2385500  1  1 17   3.4  946 180  1.8 7  4.2  80    0    0 298 -321  0
4112500 2385500  1  1 18   3.1  947 161  0.8 7  4.3  84    0    0 296 -318  0
4112500 2385500  1  1 19   2.8  947 152  0.9 8  4.3  86    0    0 302 -316  0
4112500 2385500  1  1 20   2.8  947 156  1.0 7  4.2  85    0    0 302 -316  0
