Koordinatensystem : Lambert konform konisch
Rechtswert        : 4112500 Meter
Hochwert          : 2385500 Meter
Hoehenlage        : 526 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4112500 2385500  1  1  1   0.8  955 142  2.6 4  3.4  79    0    0 215 -285  4
4112500 2385500  1  1  2  -1.9  955 132  2.5 2  3.0  83    0    0 207 -284  4
4112500 2385500  1  1  3  -4.0  955 124  2.5 1  2.6  86    0    0 201 -283  4
4112500 2385500  1  1  4  -4.4  954 122  2.2 0  2.5  86    0    0 193 -282  4
4112500 2385500  1  1  5  -4.7  953 122  2.2 0  2.4  85    0    0 186 -281  4
4112500 2385500  1  1  6  -5.1  953 114  1.6 0  2.3  84    0    0 183 -279  4
4112500 2385500  1  1  7  -5.1  952 119  2.3 0  2.3  84    0    0 181 -279  4
4112500 2385500  1  1  8  -5.2  951 126  1.6 2  2.3  82    0    0 195 -279  4
4112500 2385500  1  1  9  -5.6  951 115  1.7 3  2.2  82    7   15 212 -280  4
4112500 2385500  1  1 10  -4.1  950 123  2.4 5  2.3  81   36   58 231 -284  4
4112500 2385500  1  1 11  -2.5  949 110  1.8 4  2.4  76   79  100 240 -290  4
4112500 2385500  1  1 12  -0.9  950 104  1.8 4  2.5  71  145  113 239 -299  4
4112500 2385500  1  1 13   1.5  949  80  1.2 3  2.7  65  246   84 238 -306  4
4112500 2385500  1  1 14   1.9  948  81  1.8 4  2.7  60  102  121 238 -310  4
4112500 2385500  1  1 15   2.9  948  70  1.2 5  2.7  57   52   94 248 -312  4
4112500 2385500  1  1 16   0.8  948 145  1.9 6  2.9  63   10   50 258 -313  4
4112500 2385500  1  1 17  -0.5  947 151  1.8 7  3.0  73    0    8 268 -314  4
4112500 2385500  1  1 18  -1.0  947 157  1.2 7  3.0  77    0    0 271 -314  4
4112500 2385500  1  1 19  -0.3  947 109  1.2 7  3.1  79    0    0 266 -315  4
4112500 2385500  1  1 20   0.2  946 131  1.9 7  3.2  79    0    0 265 -315  4
