Koordinatensystem : Lambert konform konisch
Rechtswert        : 4075500 Meter
Hochwert          : 2526500 Meter
Hoehenlage        : 314 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4075500 2526500  1  1  1  -1.1  985  64  1.5 4  2.5  70    0    0 264 -301  2
4075500 2526500  1  1  2  -0.5  985  93  1.4 6  2.7  71    0    0 265 -302  2
4075500 2526500  1  1  3   0.1  984  96  1.2 7  2.9  73    0    0 265 -301  2
4075500 2526500  1  1  4  -0.2  984 110  1.0 7  2.9  74    0    0 265 -301  2
4075500 2526500  1  1  5  -0.7  984  95  0.9 6  2.9  77    0    0 266 -300  2
4075500 2526500  1  1  6  -1.0  983   8  0.6 6  2.9  79    0    0 261 -299  2
4075500 2526500  1  1  7  -2.5  982  35  0.6 5  2.8  82    0    0 250 -297  2
4075500 2526500  1  1  8  -3.3  981  25  0.7 5  2.7  84    0    0 242 -295  2
4075500 2526500  1  1  9  -3.7  981  73  0.8 5  2.6  85    3   14 240 -293  2
4075500 2526500  1  1 10  -2.3  981  55  1.4 6  2.5  81   40   67 248 -292  2
4075500 2526500  1  1 11   0.0  981  88  1.9 5  2.7  75   69  116 253 -295  2
4075500 2526500  1  1 12   0.9  979  89  2.3 6  2.8  68   84  147 257 -301  2
4075500 2526500  1  1 13   1.0  978  86  2.6 7  2.6  63   20  141 267 -306  2
4075500 2526500  1  1 14   1.0  977  65  2.5 8  2.6  62    2   98 280 -309  2
4075500 2526500  1  1 15   0.4  976  75  3.0 8  2.6  63    7   85 286 -310  2
4075500 2526500  1  1 16  -0.1  975  80  1.3 7  2.5  62    3   42 280 -310  2
4075500 2526500  1  1 17  -0.9  975  90  2.2 8  2.5  66    0    1 279 -310  2
4075500 2526500  1  1 18   0.1  974  62  1.8 8  2.6  67    0    0 289 -310  2
4075500 2526500  1  1 19  -0.1  974  65  1.8 7  2.6  65    0    0 283 -310  2
4075500 2526500  1  1 20  -0.3  974  60  2.6 8  2.5  64    0    0 284 -310  2
