Koordinatensystem : Lambert konform konisch
Rechtswert        : 3884500 Meter
Hochwert          : 2924500 Meter
Hoehenlage        : 7 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3884500 2924500  1  1  1   2.2 1018 243  3.3 8  4.2  95    0    0 308 -315  0
3884500 2924500  1  1  2   2.7 1018 252  4.2 8  4.3  96    0    0 309 -315  0
3884500 2924500  1  1  3   3.3 1017 263  4.7 8  4.5  96    0    0 310 -316  0
3884500 2924500  1  1  4   3.5 1016 264  6.7 8  4.6  95    0    0 309 -316  0
3884500 2924500  1  1  5   3.7 1015 263  5.0 8  4.7  95    0    0 309 -316  0
3884500 2924500  1  1  6   3.6 1015 262  4.6 8  4.7  95    0    0 308 -316  0
3884500 2924500  1  1  7   3.6 1014 272  4.6 8  4.7  96    0    0 309 -316  0
3884500 2924500  1  1  8   3.9 1014 278  4.9 8  4.8  96    0    0 309 -316  0
3884500 2924500  1  1  9   3.5 1014 279  3.6 8  4.7  96    0    0 311 -316  0
3884500 2924500  1  1 10   3.0 1015 284  3.5 7  4.6  96    0   25 307 -316  0
3884500 2924500  1  1 11   3.5 1015 271  3.4 6  4.4  93    0   43 296 -316  0
3884500 2924500  1  1 12   3.4 1015 271  3.5 3  4.3  88   48   86 275 -315  0
3884500 2924500  1  1 13   3.7 1015 277  4.0 3  4.2  86   64   89 257 -315  0
3884500 2924500  1  1 14   3.5 1015 288  4.0 4  4.1  84   35   86 260 -315  0
3884500 2924500  1  1 15   3.8 1015 286  4.0 3  4.1  84   22   62 259 -315  0
3884500 2924500  1  1 16   3.1 1015 276  3.9 4  4.1  85    0   21 258 -313  0
3884500 2924500  1  1 17   1.8 1016 273  2.7 3  4.0  88    0    0 256 -309  0
3884500 2924500  1  1 18   1.6 1016 279  2.2 3  3.9  91    0    0 248 -306  0
3884500 2924500  1  1 19   1.8 1016 274  2.6 4  3.9  91    0    0 254 -304  0
3884500 2924500  1  1 20   1.7 1017 266  2.3 4  3.9  90    0    0 260 -304  0
3884500 2924500  1  1 21   1.2 1017 277  2.4 3  3.8  91    0    0 252 -303  0
3884500 2924500  1  1 22   1.1 1017 266  2.1 2  3.7  90    0    0 237 -302  0
3884500 2924500  1  1 23   1.3 1017 275  3.4 5  3.7  89    0    0 249 -301  0
3884500 2924500  1  1 24   1.9 1017 266  3.4 6  3.7  88    0    0 274 -301  0
3884500 2924500  1  2  1   1.7 1017 276  3.3 6  3.8  89    0    0 279 -302  0
3884500 2924500  1  2  2   1.7 1017 276  2.7 8  3.9  92    0    0 288 -304  0
3884500 2924500  1  2  3   1.9 1017 267  2.2 8  3.9  92    0    0 297 -307  0
3884500 2924500  1  2  4   1.3 1017 276  2.3 6  3.8  91    0    0 284 -308  0
