Koordinatensystem : Lambert konform konisch
Rechtswert        : 3884500 Meter
Hochwert          : 2924500 Meter
Hoehenlage        : 7 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3884500 2924500  1  1  1   0.5 1024 135  1.4 4  3.6  88    0    0 202 -295  0
3884500 2924500  1  1  2  -1.0 1024 116  1.3 2  3.2  89    0    0 195 -295  0
3884500 2924500  1  1  3  -2.0 1024 104  1.3 1  2.9  89    0    0 185 -294  0
3884500 2924500  1  1  4  -2.0 1024 114  1.5 1  2.9  88    0    0 183 -293  0
3884500 2924500  1  1  5  -1.9 1023 116  1.7 2  2.9  88    0    0 192 -292  0
3884500 2924500  1  1  6  -1.9 1021 129  1.9 4  2.9  87    0    0 212 -292  0
3884500 2924500  1  1  7  -1.9 1020 111  1.8 3  2.8  86    0    0 218 -293  0
3884500 2924500  1  1  8  -1.5 1020 129  2.8 5  2.8  84    0    0 223 -293  0
3884500 2924500  1  1  9  -1.4 1019 118  2.9 6  2.7  81    0    0 238 -293  0
3884500 2924500  1  1 10  -1.4 1018 119  2.7 7  2.7  79    0   14 248 -294  0
3884500 2924500  1  1 11  -1.3 1018 119  3.0 8  2.7  80    0   44 257 -296  0
3884500 2924500  1  1 12  -1.0 1017 118  3.1 7  2.8  80    2   87 257 -298  0
3884500 2924500  1  1 13  -1.0 1016 108  3.1 7  2.8  80    2   93 253 -301  0
3884500 2924500  1  1 14  -1.2 1015  98  3.6 7  2.8  80    3   88 255 -303  0
3884500 2924500  1  1 15  -1.2 1014  98  4.2 7  2.8  80    0   48 255 -304  0
3884500 2924500  1  1 16  -1.3 1014  99  3.1 7  2.8  81    0   12 256 -304  0
3884500 2924500  1  1 17  -1.4 1014 110  3.6 7  2.8  81    0    0 257 -303  0
3884500 2924500  1  1 18  -1.4 1014 109  2.7 7  2.7  80    0    0 258 -303  0
3884500 2924500  1  1 19  -1.1 1014 109  3.7 7  2.7  79    0    0 260 -303  0
3884500 2924500  1  1 20  -1.3 1014 109  3.3 7  2.7  78    0    0 261 -303  0
