Koordinatensystem : Lambert konform konisch
Rechtswert        : 3884500 Meter
Hochwert          : 2924500 Meter
Hoehenlage        : 7 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3884500 2924500  1  1  1  -0.9  988 190  3.4 5  3.2  83    0    0 261 -320  0
3884500 2924500  1  1  2   1.2  988 225  2.4 4  3.7  83    0    0 253 -320  0
3884500 2924500  1  1  3   2.9  989 257  2.1 4  4.0  83    0    0 247 -321  0
3884500 2924500  1  1  4   2.7  989 263  2.8 4  4.0  84    0    0 242 -320  0
3884500 2924500  1  1  5   2.7  990 270  3.4 4  4.0  84    0    0 245 -318  0
3884500 2924500  1  1  6   2.2  990 282  5.6 4  3.9  83    0    0 251 -316  0
3884500 2924500  1  1  7   2.5  991 264  3.4 5  3.9  84    0    0 256 -316  0
3884500 2924500  1  1  8   2.3  991 300  3.1 5  3.9  84    0    0 261 -315  0
3884500 2924500  1  1  9   2.1  992 278  4.7 5  3.7  81    0    0 260 -315  0
3884500 2924500  1  1 10   2.3  992 276  4.3 3  3.3  72    0   27 249 -314  0
3884500 2924500  1  1 11   1.9  993 256  5.4 7  3.3  73    0   27 257 -312  0
3884500 2924500  1  1 12   2.0  993 242  3.7 4  3.5  80  106   55 262 -313  0
3884500 2924500  1  1 13   1.8  993 237  5.1 6  3.6  80   10   86 258 -313  0
3884500 2924500  1  1 14   0.7  993 243  4.6 7  3.5  84    0   40 269 -313  0
3884500 2924500  1  1 15   0.7  993 280  3.7 7  3.5  86    0   49 271 -313  0
3884500 2924500  1  1 16   0.4  993 254  5.5 7  3.5  87    0   19 271 -313  0
3884500 2924500  1  1 17   0.3  993 249  4.1 7  3.5  88    0    1 270 -312  0
3884500 2924500  1  1 18   0.2  993 221  4.4 7  3.5  89    0    0 270 -312  0
3884500 2924500  1  1 19   0.9  992 269  3.1 7  3.7  91    0    0 273 -313  0
3884500 2924500  1  1 20   1.1  991 227  2.7 8  3.8  91    0    0 280 -313  0
