Koordinatensystem : Lambert konform konisch
Rechtswert        : 4132500 Meter
Hochwert          : 3026500 Meter
Hoehenlage        : 22 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4132500 3026500  1  1  1   2.4 1008 253  5.3 8  4.0  87    0    0 311 -316  0
4132500 3026500  1  1  2   2.4 1008 242  4.8 8  4.0  88    0    0 312 -316  0
4132500 3026500  1  1  3   2.5 1007 253  6.0 8  4.1  91    0    0 310 -316  0
4132500 3026500  1  1  4   2.7 1006 246  5.6 8  4.3  93    0    0 309 -316  0
4132500 3026500  1  1  5   3.0 1005 254  7.3 8  4.4  93    0    0 308 -316  0
4132500 3026500  1  1  6   2.9 1004 264  8.4 7  4.4  92    0    0 304 -316  0
4132500 3026500  1  1  7   2.2 1003 270  7.6 5  4.2  92    0    0 291 -316  0
4132500 3026500  1  1  8   2.3 1003 271  7.7 4  4.0  90    0    0 276 -316  0
4132500 3026500  1  1  9   2.1 1003 279  7.8 4  4.0  88    0    4 271 -314  0
4132500 3026500  1  1 10   1.9 1004 281  5.8 3  3.9  88   17   31 264 -313  0
4132500 3026500  1  1 11   2.1 1004 280  6.1 2  3.8  87   68   47 253 -312  0
4132500 3026500  1  1 12   1.8 1004 281  7.9 2  3.8  86   77   67 245 -312  0
4132500 3026500  1  1 13   1.6 1004 282  7.7 2  3.7  86   60   80 242 -311  0
4132500 3026500  1  1 14   1.6 1005 290  6.9 1  3.7  86   47   74 234 -311  0
4132500 3026500  1  1 15   1.3 1005 290  5.9 2  3.7  87   20   55 232 -311  0
4132500 3026500  1  1 16   1.0 1006 288  4.7 1  3.7  89    0    8 230 -310  0
4132500 3026500  1  1 17   1.0 1006 280  5.4 0  3.7  90    0    0 219 -309  0
4132500 3026500  1  1 18   0.7 1007 279  3.6 0  3.7  91    0    0 213 -308  0
4132500 3026500  1  1 19   0.4 1007 279  3.6 0  3.6  91    0    0 212 -307  0
4132500 3026500  1  1 20   0.2 1008 278  3.9 1  3.6  92    0    0 215 -306  0
