Koordinatensystem : Lambert konform konisch
Rechtswert        : 3885500 Meter
Hochwert          : 2547500 Meter
Hoehenlage        : 99 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3885500 2547500  1  1  1   0.9 1002 195  2.8 4  4.0  91    0    0 221 -307  2
3885500 2547500  1  1  2  -0.4 1002 157  3.0 4  3.3  88    0    0 221 -307  2
3885500 2547500  1  1  3  -1.1 1001 129  3.3 4  2.9  83    0    0 228 -305  2
3885500 2547500  1  1  4  -0.4 1001 132  3.6 6  2.9  79    0    0 257 -303  2
3885500 2547500  1  1  5   0.1 1000 137  3.5 7  2.9  76    0    0 282 -303  2
3885500 2547500  1  1  6   0.5  999 142  3.2 8  2.9  72    0    0 289 -304  2
3885500 2547500  1  1  7   0.6  998 153  2.6 8  2.9  73    0    0 297 -305  2
3885500 2547500  1  1  8   0.6  998 142  2.7 8  2.9  72    0    0 298 -307  2
3885500 2547500  1  1  9   0.7  997 156  1.6 8  2.9  72    0    0 299 -308  2
3885500 2547500  1  1 10   0.7  997 168  2.1 7  3.0  73    0   18 295 -309  2
3885500 2547500  1  1 11   1.5  996 187  2.4 7  3.0  73   43   44 291 -312  2
3885500 2547500  1  1 12   1.9  996 179  3.3 8  3.0  70    0   66 299 -314  2
3885500 2547500  1  1 13   2.1  995 197  2.9 8  3.2  73    0   51 308 -315  2
3885500 2547500  1  1 14   2.0  995 186  3.1 8  3.4  75    0   50 310 -316  2
3885500 2547500  1  1 15   2.0  994 151  3.4 7  3.4  76    9   58 305 -316  2
3885500 2547500  1  1 16   2.2  994 144  3.4 8  3.4  76    0   32 307 -316  2
3885500 2547500  1  1 17   2.3  993 137  1.9 7  3.4  74    0    0 306 -316  2
3885500 2547500  1  1 18   2.4  993 145  1.9 7  3.5  76    0    0 292 -316  2
3885500 2547500  1  1 19   1.8  993 161  2.9 8  3.6  79    0    0 301 -317  2
3885500 2547500  1  1 20   2.2  993 155  3.0 7  3.6  81    0    0 300 -317  2
3885500 2547500  1  1 21   2.1  993 166  2.0 8  3.6  81    0    0 301 -318  2
3885500 2547500  1  1 22   1.9  993 162  3.0 8  3.8  84    0    0 319 -319  2
3885500 2547500  1  1 23   2.2  992 157  4.1 8  3.9  87    0    0 319 -321  2
3885500 2547500  1  1 24   2.9  991 157  2.6 8  3.9  84    0    0 321 -322  2
3885500 2547500  1  2  1   3.0  991 159  2.5 8  4.0  83    0    0 322 -323  2
3885500 2547500  1  2  2   2.8  991 153  3.9 8  4.0  84    0    0 322 -325  2
3885500 2547500  1  2  3   3.1  991 156  4.8 8  4.2  87    0    0 322 -327  2
3885500 2547500  1  2  4   3.6  990 169  3.5 7  4.3  87    0    0 316 -330  2
3885500 2547500  1  2  5   2.2  990 186  2.3 6  4.1  86    0    0 299 -331  2
3885500 2547500  1  2  6   2.6  989 207  1.0 6  4.1  88    0    0 290 -332  2
3885500 2547500  1  2  7   2.1  989 153  3.5 7  4.1  89    0    0 296 -334  2
3885500 2547500  1  2  8   2.8  988 161  3.9 7  4.2  90    0    0 304 -335  2
3885500 2547500  1  2  9   4.8  989 169  3.8 7  4.6  90    0    8 309 -338  2
3885500 2547500  1  2 10   5.4  989 170  3.7 6  5.0  89   38   45 305 -341  2
3885500 2547500  1  2 11   5.8  989 164  3.9 5  5.2  89   11   82 290 -343  2
3885500 2547500  1  2 12   6.6  990 159  3.9 6  5.4  90   10  106 287 -346  2
3885500 2547500  1  2 13   7.7  990 153  4.0 6  5.7  88   27  126 295 -351  2
3885500 2547500  1  2 14   8.3  989 178  4.9 6  5.8  85    6   98 296 -355  2
3885500 2547500  1  2 15   8.4  989 178  4.0 6  5.9  84    9   80 297 -357  2
3885500 2547500  1  2 16   8.4  989 177  3.8 7  5.9  84    5   43 309 -357  2
3885500 2547500  1  2 17   8.1  989 179  4.9 6  5.9  85    0    4 310 -355  2
3885500 2547500  1  2 18   7.6  989 186  5.3 5  5.7  84    0    0 295 -352  2
3885500 2547500  1  2 19   7.3  989 168  5.2 6  5.4  82    0    0 293 -351  2
3885500 2547500  1  2 20   7.0  989 174  5.0 4  5.2  81    0    0 282 -350  2
3885500 2547500  1  2 21   6.2  989 169  5.1 3  5.1  82    0    0 261 -349  2
3885500 2547500  1  2 22   6.2  989 173  4.7 6  5.1  85    0    0 278 -349  2
3885500 2547500  1  2 23   5.4  989 170  4.8 6  5.0  85    0    0 298 -348  2
3885500 2547500  1  2 24   6.0  989 180  4.7 3  4.9  84    0    0 278 -348  2
3885500 2547500  1  3  1   5.9  990 182  3.6 6  4.9  82    0    0 277 -347  2
3885500 2547500  1  3  2   5.3  990 182  4.9 7  4.9  84    0    0 303 -345  2
3885500 2547500  1  3  3   7.8  990 194  5.7 7  5.1  83    0    0 312 -342  2
3885500 2547500  1  3  4   7.4  991 205  5.9 8  5.4  81    0    0 321 -341  2
3885500 2547500  1  3  5   7.0  991 206  6.4 6  5.4  84    0    0 314 -341  2
3885500 2547500  1  3  6   5.5  991 192  5.4 6  5.3  87    0    0 299 -341  2
3885500 2547500  1  3  7   6.5  992 194  7.3 6  5.2  88    0    0 296 -340  2
3885500 2547500  1  3  8   7.4  992 200  7.4 6  5.3  83    0    0 299 -338  2
3885500 2547500  1  3  9   6.9  993 215  6.4 6  5.3  83    0    3 300 -336  2
3885500 2547500  1  3 10   7.0  994 223  6.6 6  5.4  86    5   43 298 -336  2
3885500 2547500  1  3 11   7.3  995 220  6.5 6  5.5  85   14   79 298 -338  2
3885500 2547500  1  3 12   7.8  996 220  5.8 5  5.5  84    2   86 295 -341  2
3885500 2547500  1  3 13   7.0  997 227  2.8 4  5.5  85  107  103 286 -344  2
3885500 2547500  1  3 14   8.2  997 204  5.1 5  5.2  79   98   94 285 -346  2
3885500 2547500  1  3 15   7.7  997 222  5.3 3  4.9  72   34   82 279 -346  2
3885500 2547500  1  3 16   8.0  998 236  4.1 3  4.8  72   11   44 266 -345  2
3885500 2547500  1  3 17   7.0  998 235  4.9 6  4.8  74    0    9 278 -342  2
3885500 2547500  1  3 18   4.9  999 224  2.7 6  4.6  79    0    0 290 -339  2
3885500 2547500  1  3 19   3.9 1000 203  3.1 5  4.4  84    0    0 280 -337  2
3885500 2547500  1  3 20   3.1 1000 178  3.7 4  4.3  86    0    0 269 -336  2
3885500 2547500  1  3 21   3.1 1000 158  3.6 1  4.2  88    0    0 249 -334  2
3885500 2547500  1  3 22   3.0 1000 159  4.1 2  4.2  88    0    0 241 -333  2
3885500 2547500  1  3 23   2.8 1000 177  3.7 2  4.1  87    0    0 248 -333  2
3885500 2547500  1  3 24   1.9  999 160  3.3 2  4.0  88    0    0 251 -334  2
3885500 2547500  1  4  1   2.2  998 150  4.1 4  3.9  88    0    0 260 -334  2
3885500 2547500  1  4  2   2.3  998 140  3.8 3  4.0  88    0    0 265 -335  2
3885500 2547500  1  4  3   3.0  997 139  4.0 5  4.1  88    0    0 271 -335  2
3885500 2547500  1  4  4   3.1  996 133  4.0 4  4.2  88    0    0 280 -336  2
