Koordinatensystem : Lambert konform konisch
Rechtswert        : 4229500 Meter
Hochwert          : 2858500 Meter
Hoehenlage        : 37 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4229500 2858500  1  1  1  -0.6 1020 285  2.6 5  3.5  95    0    0 238 -309  0
4229500 2858500  1  1  2  -1.9 1020 316  2.1 4  3.2  95    0    0 234 -308  0
4229500 2858500  1  1  3  -3.2 1020 287  1.8 2  2.9  96    0    0 224 -307  0
4229500 2858500  1  1  4  -3.7 1019 217  1.7 1  2.8  96    0    0 211 -305  0
4229500 2858500  1  1  5  -4.2 1019 178  1.5 1  2.7  96    0    0 198 -304  0
4229500 2858500  1  1  6  -4.4 1018  19  1.7 1  2.6  95    0    0 196 -303  0
4229500 2858500  1  1  7  -4.6 1018 308  1.2 1  2.6  97    0    0 201 -302  0
4229500 2858500  1  1  8  -4.9 1017 265  0.8 4  2.6  98    0    0 213 -301  0
4229500 2858500  1  1  9  -4.9 1017 246  1.5 5  2.6  98    0    4 230 -302  0
4229500 2858500  1  1 10  -3.9 1017 257  1.8 5  2.6  96   14   42 235 -305  0
4229500 2858500  1  1 11  -3.1 1017 238  2.1 5  2.8  94    8   73 237 -307  0
4229500 2858500  1  1 12  -2.3 1016 282  1.7 7  2.8  92    0   77 247 -309  0
4229500 2858500  1  1 13  -2.4 1015 337  1.4 7  2.9  90    2   89 257 -312  0
4229500 2858500  1  1 14  -1.5 1014  30  2.3 7  2.9  88   13   93 259 -313  0
4229500 2858500  1  1 15  -1.5 1013  60  2.1 7  3.0  88   15   66 261 -313  0
4229500 2858500  1  1 16  -1.7 1013  85  2.8 8  3.1  91    0   11 267 -311  0
4229500 2858500  1  1 17  -1.7 1013  92  3.4 8  3.0  91    0    0 276 -308  0
4229500 2858500  1  1 18  -2.1 1013 108  3.5 8  3.0  92    0    0 277 -308  0
4229500 2858500  1  1 19  -2.0 1012 131  2.3 7  3.0  91    0    0 270 -309  0
4229500 2858500  1  1 20  -2.2 1013 113  2.5 7  2.9  90    0    0 263 -308  0
4229500 2858500  1  1 21  -2.1 1013 107  3.1 8  2.9  90    0    0 272 -307  0
4229500 2858500  1  1 22  -2.0 1013  97  1.7 8  2.9  89    0    0 280 -308  0
4229500 2858500  1  1 23  -2.2 1013 151  1.4 8  2.9  88    0    0 280 -308  0
4229500 2858500  1  1 24  -2.1 1012  40  1.9 7  2.9  88    0    0 274 -309  0
4229500 2858500  1  2  1  -1.8 1012  42  2.5 6  2.9  88    0    0 262 -310  0
4229500 2858500  1  2  2  -2.5 1012  34  3.0 5  2.9  88    0    0 247 -310  0
4229500 2858500  1  2  3  -3.2 1012  34  2.9 5  2.8  91    0    0 238 -311  0
4229500 2858500  1  2  4  -3.7 1012  22  3.0 5  2.8  94    0    0 237 -311  0
4229500 2858500  1  2  5  -4.0 1012 351  2.6 5  2.7  96    0    0 236 -311  0
4229500 2858500  1  2  6  -4.3 1013 329  2.4 5  2.7  95    0    0 235 -311  0
4229500 2858500  1  2  7  -3.9 1013 342  2.6 6  2.7  96    0    0 241 -312  0
4229500 2858500  1  2  8  -3.3 1013 344  2.8 6  2.8  95    0    0 247 -312  0
4229500 2858500  1  2  9  -3.3 1013 330  2.6 6  2.8  93    3   10 245 -312  0
4229500 2858500  1  2 10  -2.4 1014 343  2.3 6  2.8  90   43   44 243 -312  0
4229500 2858500  1  2 11  -1.2 1014 352  3.1 5  2.8  86   98   72 231 -313  0
4229500 2858500  1  2 12  -0.3 1015  13  3.7 4  3.0  83  109   94 210 -314  0
4229500 2858500  1  2 13   0.4 1015  27  5.3 4  3.0  79   96  105 203 -314  0
4229500 2858500  1  2 14   0.5 1015  24  4.8 3  2.8  72   44  100 195 -314  0
4229500 2858500  1  2 15  -0.1 1015  36  5.0 5  2.6  68    0   47 211 -314  0
4229500 2858500  1  2 16  -0.6 1015  30  3.5 3  2.5  67    0   19 217 -313  0
4229500 2858500  1  2 17  -1.0 1016  16  3.4 4  2.5  69    0    0 217 -310  0
4229500 2858500  1  2 18  -1.3 1017  19  3.7 6  2.5  71    0    0 245 -308  0
4229500 2858500  1  2 19  -1.5 1017  16  3.6 7  2.5  74    0    0 266 -307  0
4229500 2858500  1  2 20  -1.6 1018   8  3.0 6  2.6  77    0    0 265 -307  0
4229500 2858500  1  2 21  -2.6 1018  19  2.9 5  2.6  80    0    0 251 -308  0
4229500 2858500  1  2 22  -3.6 1019   0  2.4 4  2.6  85    0    0 239 -308  0
4229500 2858500  1  2 23  -4.1 1019   2  2.5 3  2.5  87    0    0 224 -306  0
4229500 2858500  1  2 24  -4.9 1020 356  2.8 3  2.4  90    0    0 216 -303  0
4229500 2858500  1  3  1  -4.6 1020   7  2.9 5  2.4  90    0    0 226 -302  0
