Koordinatensystem : Lambert konform konisch
Rechtswert        : 3909500 Meter
Hochwert          : 2966500 Meter
Hoehenlage        : 2 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3909500 2966500  1  1  1  -1.1 1026 147  1.6 7  2.9  83    0    0 294 -318  1
3909500 2966500  1  1  2  -1.3 1026 204  1.0 7  2.9  85    0    0 295 -318  1
3909500 2966500  1  1  3  -1.3 1026 244  0.8 7  3.0  87    0    0 303 -318  1
3909500 2966500  1  1  4  -0.9 1026 267  1.1 7  3.1  88    0    0 305 -319  1
3909500 2966500  1  1  5  -0.5 1026 254  1.2 8  3.2  89    0    0 300 -321  1
3909500 2966500  1  1  6  -0.1 1026 258  1.4 8  3.3  89    0    0 308 -322  1
3909500 2966500  1  1  7   0.3 1026 239  0.7 8  3.4  90    0    0 314 -323  1
3909500 2966500  1  1  8   0.7 1026 260  0.5 8  3.5  90    0    0 313 -324  1
3909500 2966500  1  1  9   0.8 1027 240  0.8 8  3.6  91    0    0 313 -322  1
3909500 2966500  1  1 10   1.3 1027 282  0.4 6  3.7  92    3   23 300 -323  1
3909500 2966500  1  1 11   1.6 1027 261  0.8 4  3.8  92   17   77 277 -324  1
3909500 2966500  1  1 12   2.0 1027 263  1.7 3  3.9  92   76   90 259 -325  1
3909500 2966500  1  1 13   2.2 1027 274  2.0 3  4.0  92   90   94 253 -328  1
3909500 2966500  1  1 14   2.2 1027 261  1.3 5  4.0  91   29  104 264 -329  1
3909500 2966500  1  1 15   2.4 1027 280  1.1 2  4.0  91   31   65 259 -328  1
3909500 2966500  1  1 16   1.9 1027 243  0.9 4  4.1  93    0   19 251 -323  1
3909500 2966500  1  1 17   1.6 1027 235  1.3 5  4.0  95    0    0 266 -318  1
3909500 2966500  1  1 18   1.6 1027 245  0.9 5  4.1  96    0    0 270 -316  1
3909500 2966500  1  1 19   1.7 1027 245  1.0 6  4.1  96    0    0 273 -313  1
3909500 2966500  1  1 20   1.5 1027 282  1.0 5  4.1  97    0    0 271 -313  1
3909500 2966500  1  1 21   1.5 1027 174  0.4 8  4.0  97    0    0 281 -314  1
3909500 2966500  1  1 22   1.4 1027  98  0.6 8  4.0  96    0    0 297 -316  1
3909500 2966500  1  1 23   0.9 1027 187  1.0 7  3.9  96    0    0 288 -316  1
