Koordinatensystem : Lambert konform konisch
Rechtswert        : 3909500 Meter
Hochwert          : 2966500 Meter
Hoehenlage        : 2 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3909500 2966500  1  1  1   4.2 1028 254  1.9 4  4.7  92    0    0 239 -311  2
3909500 2966500  1  1  2   2.9 1028 214  1.3 3  4.3  92    0    0 233 -310  2
3909500 2966500  1  1  3   2.0 1028 154  1.0 3  4.0  92    0    0 237 -309  2
3909500 2966500  1  1  4   1.8 1028  89  1.1 4  3.9  92    0    0 249 -307  2
3909500 2966500  1  1  5   1.7 1028  35  1.2 5  3.9  91    0    0 259 -306  2
3909500 2966500  1  1  6   1.8 1028  21  1.1 6  3.8  91    0    0 269 -304  2
3909500 2966500  1  1  7   2.3 1028  14  1.2 7  3.8  87    0    0 279 -304  2
3909500 2966500  1  1  8   1.9 1028  22  1.8 6  3.7  85    0    0 279 -303  2
3909500 2966500  1  1  9   1.6 1028  40  2.3 7  3.5  83    0    0 277 -304  2
3909500 2966500  1  1 10   1.3 1028  42  1.9 8  3.4  82    0   18 284 -305  2
3909500 2966500  1  1 11   1.1 1028  41  1.2 6  3.4  83    0   43 279 -307  2
3909500 2966500  1  1 12   1.3 1028  51  0.9 6  3.2  78    0   58 268 -312  2
3909500 2966500  1  1 13   1.6 1028   4  0.9 6  3.0  72    0   58 268 -315  2
3909500 2966500  1  1 14   1.8 1028 346  1.5 6  3.0  71    0   47 269 -316  2
3909500 2966500  1  1 15   1.6 1027  39  1.7 7  3.1  74    0   30 275 -317  2
3909500 2966500  1  1 16   1.5 1027  44  1.5 7  3.3  80    0    5 278 -318  2
3909500 2966500  1  1 17   1.4 1027   5  0.7 7  3.5  85    0    0 278 -317  2
3909500 2966500  1  1 18   1.2 1027  35  0.9 6  3.6  88    0    0 273 -317  2
3909500 2966500  1  1 19   1.2 1028  55  0.7 6  3.6  89    0    0 269 -316  2
3909500 2966500  1  1 20   1.3 1028  47  0.8 6  3.6  89    0    0 269 -315  2
3909500 2966500  1  1 21   1.4 1028  57  0.3 6  3.7  89    0    0 269 -313  2
3909500 2966500  1  1 22   1.6 1028  26  0.2 6  3.6  87    0    0 269 -311  2
3909500 2966500  1  1 23   1.6 1027  55  1.1 7  3.6  85    0    0 274 -309  2
