Koordinatensystem : Lambert konform konisch
Rechtswert        : 3909500 Meter
Hochwert          : 2966500 Meter
Hoehenlage        : 2 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3909500 2966500  1  1  1   3.7 1017 227  3.7 8  4.8  97    0    0 309 -318  1
3909500 2966500  1  1  2   2.9 1017 240  4.6 8  4.5  97    0    0 305 -318  1
3909500 2966500  1  1  3   2.3 1016 252  5.2 8  4.3  97    0    0 305 -318  1
3909500 2966500  1  1  4   2.4 1015 256  5.2 8  4.4  97    0    0 308 -318  1
3909500 2966500  1  1  5   2.6 1015 262  4.8 8  4.4  97    0    0 306 -318  1
3909500 2966500  1  1  6   2.7 1014 259  4.4 8  4.5  98    0    0 305 -318  1
3909500 2966500  1  1  7   2.9 1014 290  3.9 7  4.5  97    0    0 303 -318  1
3909500 2966500  1  1  8   2.5 1014 291  4.0 6  4.4  95    0    0 293 -318  1
3909500 2966500  1  1  9   2.3 1014 291  4.0 5  4.1  91    0    0 284 -318  1
3909500 2966500  1  1 10   2.8 1014 280  4.7 5  3.9  86    0   20 279 -318  1
3909500 2966500  1  1 11   2.3 1014 290  4.2 4  3.9  85   42   56 274 -318  1
3909500 2966500  1  1 12   2.5 1015 291  4.8 3  3.9  87   49   80 261 -318  1
3909500 2966500  1  1 13   2.7 1015 290  4.5 3  3.9  86   57   84 255 -317  1
3909500 2966500  1  1 14   2.2 1015 290  4.8 2  3.9  87   57   75 246 -316  1
3909500 2966500  1  1 15   2.3 1015 291  4.1 2  3.9  88   36   56 238 -315  1
3909500 2966500  1  1 16   2.1 1015 290  4.1 4  3.9  88    1   21 250 -314  1
3909500 2966500  1  1 17   2.1 1015 302  4.2 5  3.9  88    0    0 268 -314  1
3909500 2966500  1  1 18   1.8 1016 291  3.8 4  3.8  88    0    0 269 -314  1
3909500 2966500  1  1 19   1.8 1016 292  4.0 3  3.8  89    0    0 256 -314  1
3909500 2966500  1  1 20   1.5 1016 312  2.6 3  3.8  90    0    0 248 -314  1
3909500 2966500  1  1 21   1.5 1017 293  3.1 4  3.7  89    0    0 252 -314  1
3909500 2966500  1  1 22   1.9 1017 282  3.3 5  3.7  88    0    0 265 -314  1
3909500 2966500  1  1 23   1.7 1017 293  3.1 7  3.8  88    0    0 282 -315  1
