Koordinatensystem : Lambert konform konisch
Rechtswert        : 4251500 Meter
Hochwert          : 2703500 Meter
Hoehenlage        : 119 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4251500 2703500  1  1  1  -1.9 1003 165  2.9 1  2.7  81    0    0 211 -294  2
4251500 2703500  1  1  2  -2.6 1003 155  2.0 0  2.6  82    0    0 209 -293  2
4251500 2703500  1  1  3  -3.3 1003 142  1.3 0  2.5  82    0    0 200 -291  2
4251500 2703500  1  1  4  -3.8 1003 118  1.5 0  2.5  83    0    0 190 -287  2
4251500 2703500  1  1  5  -4.1 1002 108  1.9 1  2.4  83    0    0 193 -283  2
4251500 2703500  1  1  6  -4.9 1002 103  2.9 1  2.3  85    0    0 194 -281  2
4251500 2703500  1  1  7  -3.6 1001 114  3.4 1  2.3  82    0    0 194 -281  2
4251500 2703500  1  1  8  -5.1 1000 134  4.3 3  2.3  81    0    0 205 -281  2
4251500 2703500  1  1  9  -4.9 1000 140  5.3 4  2.2  84    5   10 222 -281  2
4251500 2703500  1  1 10  -4.3 1000 128  6.2 6  2.3  83    8   45 238 -282  2
4251500 2703500  1  1 11  -2.4  999 148  6.0 5  2.4  79   22   86 244 -286  2
4251500 2703500  1  1 12  -0.4  998 125  6.6 7  2.4  69   28  111 253 -292  2
4251500 2703500  1  1 13   0.7  997 136  5.8 6  2.3  60   31  118 262 -297  2
4251500 2703500  1  1 14   0.6  996 137  6.0 7  2.3  57   33  105 264 -299  2
4251500 2703500  1  1 15   0.6  995 135  6.3 8  2.2  56    7   64 277 -299  2
4251500 2703500  1  1 16   0.3  994 120  6.3 7  2.2  56    0   16 278 -299  2
4251500 2703500  1  1 17   0.7  994 128  6.1 7  2.2  56    0    0 271 -299  2
4251500 2703500  1  1 18   0.8  993 131  6.8 8  2.3  56    0    0 282 -299  2
4251500 2703500  1  1 19   0.3  993 130  7.2 7  2.4  59    0    0 280 -301  2
4251500 2703500  1  1 20   0.3  992 148  6.0 6  2.5  62    0    0 245 -303  2
4251500 2703500  1  1 21   0.2  992 142  5.8 7  2.6  66    0    0 245 -304  2
4251500 2703500  1  1 22   0.2  992 133  6.3 8  2.8  72    0    0 288 -304  2
4251500 2703500  1  1 23  -0.5  992 124  6.1 8  3.0  79    0    0 303 -305  2
