Koordinatensystem : Lambert konform konisch
Rechtswert        : 3844500 Meter
Hochwert          : 2372500 Meter
Hoehenlage        : 270 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3844500 2372500  1  1  1   2.9  967 224  4.6 4  4.1  83    0    0 261 -324  1
3844500 2372500  1  1  2   3.8  967 226  5.1 5  4.3  83    0    0 254 -323  1
3844500 2372500  1  1  3   4.4  967 220  5.5 5  4.5  84    0    0 248 -321  1
3844500 2372500  1  1  4   4.5  967 219  6.0 6  4.5  83    0    0 260 -318  1
3844500 2372500  1  1  5   4.5  968 221  6.3 7  4.6  84    0    0 281 -316  1
3844500 2372500  1  1  6   4.6  967 232  7.3 8  4.7  86    0    0 291 -315  1
3844500 2372500  1  1  7   4.3  967 226  5.8 8  4.7  86    0    0 292 -314  1
3844500 2372500  1  1  8   4.3  968 213  4.8 8  4.7  86    0    0 292 -310  1
3844500 2372500  1  1  9   3.5  968 230  2.1 8  4.7  89    0    9 289 -307  1
3844500 2372500  1  1 10   2.7  970 221  2.7 8  4.6  92    0   27 284 -307  1
3844500 2372500  1  1 11   3.1  971 225  2.1 8  4.4  91    0   69 284 -309  1
3844500 2372500  1  1 12   3.4  972 235  2.7 8  4.3  87    0   66 283 -312  1
3844500 2372500  1  1 13   4.2  973 310  2.8 6  4.2  81    5  101 275 -314  1
3844500 2372500  1  1 14   4.3  973 290  4.1 8  4.1  76    0   71 276 -315  1
3844500 2372500  1  1 15   3.5  973 318  4.5 8  4.0  77    0   25 284 -316  1
3844500 2372500  1  1 16   3.6  974 272  5.0 6  3.7  73    0   20 274 -315  1
3844500 2372500  1  1 17   3.0  974 230  6.8 4  3.1  63    0    9 253 -312  1
3844500 2372500  1  1 18   2.3  975 241  6.5 5  2.9  60    0    0 245 -309  1
3844500 2372500  1  1 19   1.7  976 246  4.2 7  2.9  63    0    0 253 -309  1
3844500 2372500  1  1 20   1.5  977 243  5.8 8  2.9  65    0    0 265 -309  1
3844500 2372500  1  1 21   1.5  978 244  5.4 8  2.9  66    0    0 271 -309  1
3844500 2372500  1  1 22   1.1  978 242  5.0 8  2.7  64    0    0 272 -310  1
3844500 2372500  1  1 23   0.9  979 223  5.7 8  2.6  61    0    0 272 -309  1
3844500 2372500  1  1 24   0.6  978 224  6.1 8  2.6  64    0    0 271 -309  1
3844500 2372500  1  2  1  -0.1  979 217  4.7 8  3.0  74    0    0 269 -308  1
3844500 2372500  1  2  2   0.5  978 220  6.2 8  3.1  77    0    0 268 -307  1
3844500 2372500  1  2  3  -0.7  977 221  3.3 8  3.2  83    0    0 270 -307  1
3844500 2372500  1  2  4  -0.8  977 210  2.5 8  3.5  93    0    0 271 -306  1
3844500 2372500  1  2  5  -0.6  977 212  4.0 8  3.5  94    0    0 272 -305  1
3844500 2372500  1  2  6  -0.6  977 224  3.3 8  3.5  94    0    0 274 -303  1
3844500 2372500  1  2  7  -0.9  978 228  2.0 7  3.5  94    0    0 270 -302  1
3844500 2372500  1  2  8  -0.8  978 231  1.8 8  3.5  94    0    0 270 -302  1
3844500 2372500  1  2  9  -0.7  978 236  2.8 8  3.5  94    4    7 278 -303  1
3844500 2372500  1  2 10  -0.9  980 234  3.2 7  3.4  93    0   30 273 -304  1
3844500 2372500  1  2 11  -0.5  981 269  4.4 8  3.3  90    9   68 274 -306  1
3844500 2372500  1  2 12  -0.5  982 249  4.6 7  3.3  88    0   81 276 -308  1
3844500 2372500  1  2 13   0.0  983 271  4.3 5  3.2  84    4   94 258 -310  1
