Koordinatensystem : Lambert konform konisch
Rechtswert        : 3995500 Meter
Hochwert          : 2749500 Meter
Hoehenlage        : 151 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3995500 2749500  1  1  1   3.5  973 227  1.4 7  4.2  84    0    0 267 -314  1
3995500 2749500  1  1  2   3.3  973 243  1.3 7  4.2  85    0    0 272 -315  1
3995500 2749500  1  1  3   3.2  974 258  1.1 7  4.2  84    0    0 272 -316  1
3995500 2749500  1  1  4   3.3  974 263  0.6 7  4.1  83    0    0 272 -316  1
3995500 2749500  1  1  5   3.3  975 270  0.6 6  4.1  81    0    0 278 -317  1
3995500 2749500  1  1  6   3.2  975 270  0.5 6  4.0  80    0    0 274 -317  1
3995500 2749500  1  1  7   3.3  975 281  1.1 6  3.9  79    0    0 270 -316  1
3995500 2749500  1  1  8   3.0  976 269  0.9 7  3.8  78    0    0 275 -316  1
3995500 2749500  1  1  9   3.1  977 290  2.3 8  3.7  76    0    3 283 -316  1
3995500 2749500  1  1 10   2.7  978 286  2.1 7  3.7  76    5   36 281 -315  1
3995500 2749500  1  1 11   2.9  978 279  3.5 6  3.7  77    4   66 272 -315  1
3995500 2749500  1  1 12   2.8  979 279  3.8 7  3.6  74    8   91 271 -316  1
3995500 2749500  1  1 13   3.1  979 290  4.4 5  3.4  70   75  107 265 -318  1
3995500 2749500  1  1 14   2.3  979 271  5.7 4  3.3  69   45  100 252 -318  1
3995500 2749500  1  1 15   2.2  979 270  5.1 4  3.2  68   83   64 246 -316  1
3995500 2749500  1  1 16   1.4  980 268  3.6 6  3.0  66   19   35 253 -315  1
3995500 2749500  1  1 17   1.5  979 256  3.4 6  3.0  69    0    3 259 -313  1
3995500 2749500  1  1 18   0.3  979 268  3.9 8  3.3  79    0    0 266 -311  1
3995500 2749500  1  1 19   0.6  979 268  4.7 8  3.4  83    0    0 273 -310  1
3995500 2749500  1  1 20   0.4  979 260  5.1 6  3.1  76    0    0 266 -309  1
3995500 2749500  1  1 21   0.5  978 261  5.8 7  3.0  73    0    0 264 -307  1
3995500 2749500  1  1 22   0.8  978 245  6.2 7  3.0  73    0    0 269 -307  1
3995500 2749500  1  1 23   0.2  978 246  7.4 7  3.2  78    0    0 272 -307  1
3995500 2749500  1  1 24   0.0  977 262  7.3 8  3.4  87    0    0 277 -308  1
