Koordinatensystem : Lambert konform konisch
Rechtswert        : 3995500 Meter
Hochwert          : 2749500 Meter
Hoehenlage        : 151 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3995500 2749500  1  1  1   5.0 1005 182  0.9 7  4.5  81    0    0 297 -324  2
3995500 2749500  1  1  2   3.9 1005 181  0.9 7  4.2  82    0    0 298 -325  2
3995500 2749500  1  1  3   3.1 1005 173  1.0 7  3.9  82    0    0 304 -325  2
3995500 2749500  1  1  4   3.2 1005 172  1.0 8  4.0  82    0    0 315 -325  2
3995500 2749500  1  1  5   3.2 1005 168  1.1 8  4.0  83    0    0 322 -325  2
3995500 2749500  1  1  6   3.4 1005 182  1.2 8  4.0  83    0    0 324 -326  2
3995500 2749500  1  1  7   3.5 1004 171  2.1 8  4.1  83    0    0 324 -326  2
3995500 2749500  1  1  8   3.3 1004 160  1.3 8  4.1  84    0    0 325 -327  2
3995500 2749500  1  1  9   3.1 1004 178  1.3 8  4.1  84    0    0 325 -328  2
3995500 2749500  1  1 10   3.1 1004 164  1.3 8  4.1  85    0   12 326 -328  2
3995500 2749500  1  1 11   3.5 1005 174  1.6 8  4.1  86    0   26 326 -329  2
3995500 2749500  1  1 12   3.6 1005 176  0.8 7  4.2  85    0   65 322 -330  2
3995500 2749500  1  1 13   3.6 1004 203  1.2 7  4.3  86    0   45 316 -331  2
3995500 2749500  1  1 14   3.6 1003 202  1.9 8  4.3  87    0   36 324 -333  2
3995500 2749500  1  1 15   3.7 1003 180  0.2 8  4.4  89    0   17 331 -338  2
3995500 2749500  1  1 16   3.6 1003 211  0.1 8  4.5  90    0    6 331 -342  2
3995500 2749500  1  1 17   4.1 1003 241  0.5 8  4.6  91    0    0 331 -343  2
3995500 2749500  1  1 18   4.6 1004 250  0.6 8  4.7  90    0    0 333 -343  2
3995500 2749500  1  1 19   4.9 1004   2  0.0 8  4.8  90    0    0 332 -343  2
3995500 2749500  1  1 20   4.5 1005 241  0.3 7  4.8  89    0    0 325 -340  2
3995500 2749500  1  1 21   4.9 1005 187  0.4 8  4.7  88    0    0 322 -337  2
3995500 2749500  1  1 22   4.9 1006  22  0.3 7  4.7  87    0    0 322 -335  2
3995500 2749500  1  1 23   5.1 1006 307  0.7 7  4.7  86    0    0 314 -335  2
3995500 2749500  1  1 24   5.3 1007 292  1.6 7  4.7  84    0    0 313 -334  2
3995500 2749500  1  2  1   4.6 1008 294  1.7 5  4.5  84    0    0 297 -333  2
3995500 2749500  1  2  2   4.1 1008 212  0.4 4  4.5  86    0    0 273 -333  2
3995500 2749500  1  2  3   2.6 1009 179  0.3 6  4.2  87    0    0 273 -332  2
3995500 2749500  1  2  4   2.2 1009 287  0.9 6  3.9  87    0    0 280 -331  2
3995500 2749500  1  2  5   2.5 1009 192  0.0 6  4.0  89    0    0 279 -331  2
3995500 2749500  1  2  6   2.5 1009 191  0.0 6  4.1  90    0    0 279 -331  2
3995500 2749500  1  2  7   2.3 1010 201  0.2 5  4.0  89    0    0 272 -331  2
3995500 2749500  1  2  8   2.6 1010 144  0.2 7  4.0  89    0    0 278 -331  2
3995500 2749500  1  2  9   2.1 1010 192  0.6 7  4.0  89    0    1 291 -331  2
3995500 2749500  1  2 10   2.5 1011 179  1.3 7  4.0  90    0   29 292 -332  2
3995500 2749500  1  2 11   3.9 1011 191  1.8 6  4.1  87   26   82 291 -334  2
3995500 2749500  1  2 12   4.9 1011 193  1.4 4  4.2  81   68  118 276 -336  2
