Koordinatensystem : Lambert konform konisch
Rechtswert        : 3995500 Meter
Hochwert          : 2749500 Meter
Hoehenlage        : 151 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3995500 2749500  1  1  1  -0.8  996 169  2.2 3  3.1  82    0    0 202 -285  1
3995500 2749500  1  1  2  -1.5  996 138  2.1 2  2.8  81    0    0 203 -285  1
3995500 2749500  1  1  3  -1.7  996 117  2.1 2  2.6  78    0    0 206 -285  1
3995500 2749500  1  1  4  -1.2  995 122  2.4 3  2.6  76    0    0 212 -285  1
3995500 2749500  1  1  5  -0.4  994 130  2.6 4  2.7  74    0    0 240 -286  1
3995500 2749500  1  1  6   0.0  993 123  3.0 6  2.7  71    0    0 264 -287  1
3995500 2749500  1  1  7   1.0  991 155  2.3 6  2.7  68    0    0 265 -288  1
3995500 2749500  1  1  8   1.3  991 149  3.1 7  2.7  63    0    0 272 -290  1
3995500 2749500  1  1  9   1.2  990 142  2.7 8  2.6  62    0    2 284 -292  1
3995500 2749500  1  1 10   1.1  989 153  4.9 8  2.6  62   11   39 290 -295  1
3995500 2749500  1  1 11   0.6  989 125  4.1 4  2.6  63   32   79 271 -299  1
3995500 2749500  1  1 12   1.2  988 135  3.8 7  2.6  63    4   80 268 -303  1
3995500 2749500  1  1 13   1.0  987 132  4.0 7  2.7  64    1   76 285 -306  1
3995500 2749500  1  1 14   1.3  986 133  4.7 7  2.7  64    0   67 286 -308  1
3995500 2749500  1  1 15   2.0  985 132  4.2 7  2.7  61    0   41 290 -310  1
3995500 2749500  1  1 16   2.6  985 144  3.8 8  2.8  60    0   19 299 -311  1
3995500 2749500  1  1 17   2.4  984 137  3.7 8  3.0  64    0    0 311 -312  1
3995500 2749500  1  1 18   2.5  984 137  2.7 8  3.2  69    0    0 314 -314  1
3995500 2749500  1  1 19   2.7  984 145  2.3 8  3.5  74    0    0 316 -316  1
3995500 2749500  1  1 20   2.9  985 155  3.1 8  3.8  79    0    0 319 -318  1
3995500 2749500  1  1 21   3.5  984 166  3.9 7  3.8  77    0    0 303 -319  1
3995500 2749500  1  1 22   3.5  984 181  4.3 8  3.7  73    0    0 309 -320  1
3995500 2749500  1  1 23   3.0  984 168  4.1 8  3.7  74    0    0 321 -321  1
3995500 2749500  1  1 24   3.3  983 177  2.8 8  3.8  78    0    0 321 -321  1
3995500 2749500  1  2  1   3.0  983 170  2.2 7  3.9  80    0    0 315 -324  1
3995500 2749500  1  2  2   3.3  984 151  2.8 8  4.0  82    0    0 315 -327  1
3995500 2749500  1  2  3   3.1  983 129  0.9 8  4.2  85    0    0 324 -328  1
3995500 2749500  1  2  4   2.8  983 122  1.1 8  4.2  86    0    0 323 -328  1
3995500 2749500  1  2  5   2.3  983 138  1.3 8  4.1  87    0    0 321 -327  1
3995500 2749500  1  2  6   2.8  983 151  1.7 8  4.2  90    0    0 321 -328  1
3995500 2749500  1  2  7   3.6  983 137  1.7 7  4.3  88    0    0 315 -330  1
3995500 2749500  1  2  8   3.7  982 145  2.5 8  4.4  86    0    0 317 -333  1
3995500 2749500  1  2  9   3.7  982 153  3.2 8  4.4  86    0    2 323 -335  1
3995500 2749500  1  2 10   3.3  982 118  2.5 7  4.4  87    0   24 315 -337  1
3995500 2749500  1  2 11   4.5  982 128  1.6 8  4.5  87    0   41 316 -339  1
3995500 2749500  1  2 12   4.1  982 128  0.8 7  4.6  87    8   89 315 -342  1
3995500 2749500  1  2 13   4.6  982 157  2.6 5  4.5  85   26  110 288 -345  1
3995500 2749500  1  2 14   4.8  982 168  3.4 4  4.6  84   50   99 260 -347  1
3995500 2749500  1  2 15   5.2  981 157  3.6 3  4.7  84   49   71 242 -348  1
3995500 2749500  1  2 16   6.1  981 159  2.8 5  4.9  84    5   31 256 -347  1
