Koordinatensystem : Lambert konform konisch
Rechtswert        : 3983500 Meter
Hochwert          : 2840500 Meter
Hoehenlage        : 59 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3983500 2840500  1  1  1   4.9 1016 196  1.7 8  4.4  80    0    0 324 -326  1
3983500 2840500  1  1  2   4.3 1016 187  1.4 8  4.2  80    0    0 324 -327  1
3983500 2840500  1  1  3   3.7 1016 178  1.2 8  4.0  81    0    0 325 -327  1
3983500 2840500  1  1  4   3.7 1016 175  1.4 8  4.0  81    0    0 326 -328  1
3983500 2840500  1  1  5   3.8 1016 172  1.6 8  4.0  81    0    0 327 -328  1
3983500 2840500  1  1  6   3.8 1016 165  2.0 8  4.1  82    0    0 328 -329  1
3983500 2840500  1  1  7   4.0 1015 171  1.9 7  4.1  81    0    0 323 -330  1
3983500 2840500  1  1  8   4.2 1015 215  1.6 8  4.1  80    0    0 324 -331  1
3983500 2840500  1  1  9   4.0 1015 190  2.2 8  4.0  80    0    0 331 -334  1
3983500 2840500  1  1 10   4.2 1015 196  2.6 8  4.1  80    0   23 331 -337  1
3983500 2840500  1  1 11   4.2 1015 212  2.6 8  4.2  82    0   32 333 -339  1
3983500 2840500  1  1 12   4.1 1015 211  2.6 7  4.4  86    0   47 327 -340  1
3983500 2840500  1  1 13   4.6 1014 212  2.4 7  4.6  88    0   49 323 -341  1
3983500 2840500  1  1 14   5.0 1014 236  2.3 7  4.8  90    0   30 325 -342  1
3983500 2840500  1  1 15   5.3 1014 264  2.3 7  4.9  90    0   15 327 -344  1
3983500 2840500  1  1 16   6.0 1014 291  3.1 8  5.1  91    0    6 335 -345  1
3983500 2840500  1  1 17   6.5 1014 298  2.7 8  5.3  90    0    0 343 -344  1
3983500 2840500  1  1 18   6.4 1015 288  1.9 8  5.3  89    0    0 342 -340  1
3983500 2840500  1  1 19   6.4 1016 294  2.7 8  5.2  87    0    0 341 -334  1
3983500 2840500  1  1 20   6.2 1016 290  2.9 7  5.2  87    0    0 332 -330  1
3983500 2840500  1  1 21   6.0 1017 265  2.3 7  5.0  86    0    0 323 -327  1
3983500 2840500  1  1 22   5.7 1017 271  2.3 7  4.9  86    0    0 320 -324  1
3983500 2840500  1  1 23   5.6 1018 273  1.8 7  4.9  87    0    0 317 -321  1
3983500 2840500  1  1 24   5.6 1019 287  2.0 7  4.9  86    0    0 315 -319  1
3983500 2840500  1  2  1   4.9 1019 285  2.1 8  4.8  87    0    0 316 -319  1
3983500 2840500  1  2  2   4.6 1020 279  2.1 7  4.7  88    0    0 311 -321  1
3983500 2840500  1  2  3   4.4 1020 277  2.7 8  4.6  89    0    0 307 -323  1
3983500 2840500  1  2  4   4.7 1020 272  2.5 8  4.7  89    0    0 311 -324  1
3983500 2840500  1  2  5   4.7 1020 269  2.4 8  4.7  89    0    0 311 -324  1
3983500 2840500  1  2  6   4.7 1020 268  2.6 7  4.6  88    0    0 304 -325  1
3983500 2840500  1  2  7   4.1 1021 257  2.2 8  4.5  87    0    0 301 -325  1
3983500 2840500  1  2  8   4.2 1021 237  2.2 7  4.4  86    0    0 301 -326  1
3983500 2840500  1  2  9   4.3 1021 245  3.0 7  4.4  86    0    1 297 -327  1
3983500 2840500  1  2 10   4.4 1021 234  2.1 8  4.4  85   12   33 305 -328  1
3983500 2840500  1  2 11   4.6 1021 247  3.0 7  4.4  84    0   39 307 -329  1
3983500 2840500  1  2 12   5.0 1022 225  3.7 8  4.5  86    0   27 309 -332  1
3983500 2840500  1  2 13   6.5 1022 221  3.5 8  4.7  83    4   83 317 -334  1
3983500 2840500  1  2 14   7.0 1021 225  3.6 7  4.7  78    2   72 312 -336  1
3983500 2840500  1  2 15   7.4 1021 226  3.7 7  4.7  76    8   60 311 -335  1
3983500 2840500  1  2 16   7.1 1020 207  3.4 6  4.7  75   12   27 309 -332  1
3983500 2840500  1  2 17   6.6 1020 234  3.0 7  4.7  76    0    2 309 -330  1
3983500 2840500  1  2 18   7.1 1020 230  2.8 7  4.8  78    0    0 316 -329  1
3983500 2840500  1  2 19   7.4 1020 240  2.4 7  4.9  78    0    0 316 -328  1
3983500 2840500  1  2 20   7.9 1019 243  3.5 7  5.0  78    0    0 318 -328  1
3983500 2840500  1  2 21   8.1 1019 242  3.0 7  5.2  78    0    0 318 -328  1
3983500 2840500  1  2 22   7.9 1020 249  2.7 7  5.2  79    0    0 318 -328  1
3983500 2840500  1  2 23   7.6 1019 237  2.9 7  5.3  82    0    0 318 -329  1
3983500 2840500  1  2 24   7.7 1019 224  3.2 7  5.4  84    0    0 318 -329  1
3983500 2840500  1  3  1   7.7 1019 220  2.9 8  5.5  84    0    0 323 -330  1
3983500 2840500  1  3  2   7.6 1019 228  2.8 8  5.5  84    0    0 329 -330  1
3983500 2840500  1  3  3   7.6 1019 186  3.1 8  5.4  84    0    0 328 -329  1
3983500 2840500  1  3  4   6.9 1018 177  3.9 8  5.2  83    0    0 327 -327  1
3983500 2840500  1  3  5   7.2 1018 191  3.6 8  5.1  82    0    0 325 -324  1
3983500 2840500  1  3  6   7.4 1017 189  3.6 8  5.1  80    0    0 326 -322  1
3983500 2840500  1  3  7   7.8 1017 188  4.2 8  5.1  78    0    0 326 -320  1
3983500 2840500  1  3  8   7.6 1017 191  4.8 7  5.0  77    0    0 320 -317  1
3983500 2840500  1  3  9   7.5 1016 195  4.3 7  5.0  77    0    1 312 -315  1
3983500 2840500  1  3 10   7.7 1016 178  4.8 7  4.9  76    0   26 311 -315  1
3983500 2840500  1  3 11   8.4 1016 195  5.1 7  5.0  74    0   44 312 -315  1
3983500 2840500  1  3 12   9.1 1015 203  4.2 6  5.1  73    3   87 308 -317  1
3983500 2840500  1  3 13   9.3 1015 218  4.6 6  5.2  72   10  114 303 -321  1
3983500 2840500  1  3 14   9.4 1014 226  4.6 6  5.4  74    2   83 304 -327  1
3983500 2840500  1  3 15   9.3 1014 218  4.5 8  5.5  75    0   27 313 -330  1
3983500 2840500  1  3 16   8.9 1013 213  4.1 8  5.5  76    0    8 320 -330  1
3983500 2840500  1  3 17   8.8 1013 214  4.8 8  5.5  78    0    0 319 -328  1
3983500 2840500  1  3 18   8.6 1013 206  4.6 8  5.5  79    0    0 321 -324  1
3983500 2840500  1  3 19   8.5 1013 193  4.3 8  5.6  80    0    0 322 -322  1
3983500 2840500  1  3 20   8.3 1013 191  3.3 8  5.5  80    0    0 324 -321  1
3983500 2840500  1  3 21   8.1 1012 200  3.9 8  5.4  80    0    0 324 -322  1
3983500 2840500  1  3 22   7.8 1012 200  3.5 8  5.4  80    0    0 324 -324  1
3983500 2840500  1  3 23   7.1 1012 200  3.8 8  5.4  84    0    0 324 -327  1
3983500 2840500  1  3 24   7.3 1011 211  3.9 7  5.4  86    0    0 320 -329  1
3983500 2840500  1  4  1   7.2 1011 220  4.7 8  5.4  85    0    0 320 -331  1
3983500 2840500  1  4  2   6.9 1011 223  4.6 8  5.3  85    0    0 327 -332  1
3983500 2840500  1  4  3   7.0 1010 222  3.8 8  5.3  85    0    0 328 -332  1
3983500 2840500  1  4  4   7.0 1010 213  3.9 8  5.3  85    0    0 330 -331  1
3983500 2840500  1  4  5   6.8 1010 230  3.5 8  5.4  87    0    0 330 -330  1
3983500 2840500  1  4  6   6.5 1010 231  2.9 8  5.5  90    0    0 331 -329  1
3983500 2840500  1  4  7   5.1 1010 295  1.6 8  5.2  90    0    0 329 -328  1
3983500 2840500  1  4  8   5.1 1011 263  0.8 8  4.9  89    0    0 328 -329  1
3983500 2840500  1  4  9   5.0 1011 186  0.5 8  4.9  90    0    0 330 -330  1
3983500 2840500  1  4 10   5.4 1011 185  1.3 7  5.0  91    1   27 326 -332  1
3983500 2840500  1  4 11   5.8 1011 156  1.3 7  5.2  91   22   68 321 -333  1
3983500 2840500  1  4 12   7.1 1011 186  1.5 7  5.5  91    0   56 325 -334  1
3983500 2840500  1  4 13   7.1 1010 163  1.5 7  5.6  89    0   70 327 -336  1
3983500 2840500  1  4 14   6.7 1010 151  1.2 8  5.5  89    0   36 335 -336  1
3983500 2840500  1  4 15   6.3 1009 155  2.5 8  5.4  90    0   23 341 -336  1
3983500 2840500  1  4 16   6.4 1008 169  3.0 8  5.4  90    0   10 342 -335  1
3983500 2840500  1  4 17   6.5 1007 178  3.1 8  5.3  88    0    0 342 -334  1
3983500 2840500  1  4 18   6.5 1006 183  2.9 8  5.3  88    0    0 341 -333  1
3983500 2840500  1  4 19   7.0 1005 192  3.4 8  5.4  87    0    0 342 -333  1
3983500 2840500  1  4 20   7.4 1004 192  3.5 8  5.5  86    0    0 342 -333  1
3983500 2840500  1  4 21   8.1 1004 204  3.1 8  5.6  85    0    0 344 -333  1
3983500 2840500  1  4 22   8.7 1004 248  4.6 7  5.9  84    0    0 338 -334  1
3983500 2840500  1  4 23   8.2 1004 246  5.3 6  5.5  79    0    0 318 -336  1
3983500 2840500  1  4 24   7.8 1004 259  4.2 6  5.1  75    0    0 306 -338  1
3983500 2840500  1  5  1   7.2 1005 246  5.4 7  5.1  78    0    0 313 -338  1
3983500 2840500  1  5  2   6.7 1005 262  5.9 6  5.0  80    0    0 311 -336  1
3983500 2840500  1  5  3   5.7 1006 278  5.3 3  4.6  77    0    0 274 -333  1
3983500 2840500  1  5  4   5.1 1007 269  6.0 2  4.2  75    0    0 234 -335  1
3983500 2840500  1  5  5   5.0 1009 269  5.3 3  4.1  75    0    0 232 -336  1
3983500 2840500  1  5  6   4.4 1009 270  4.5 2  4.1  77    0    0 235 -335  1
3983500 2840500  1  5  7   3.7 1010 261  3.6 1  4.0  79    0    0 223 -335  1
3983500 2840500  1  5  8   3.5 1011 251  3.7 2  4.0  81    0    0 228 -334  1
3983500 2840500  1  5  9   3.3 1012 248  3.3 3  4.0  82    0    2 245 -333  1
3983500 2840500  1  5 10   3.5 1013 239  3.2 4  4.0  83   24   39 259 -332  1
3983500 2840500  1  5 11   4.3 1014 243  2.5 2  4.1  81   94   57 254 -331  1
3983500 2840500  1  5 12   5.1 1014 247  3.6 2  4.1  78  126   84 242 -331  1
3983500 2840500  1  5 13   5.3 1015 229  3.5 3  4.2  76  123   95 247 -332  1
3983500 2840500  1  5 14   5.7 1015 220  2.7 4  4.2  74  119   84 258 -332  1
3983500 2840500  1  5 15   5.8 1014 229  3.1 3  4.1  73   70   67 259 -331  1
3983500 2840500  1  5 16   5.2 1014 210  2.2 3  4.1  73   24   35 250 -328  1
3983500 2840500  1  5 17   3.8 1014 182  1.9 4  3.9  75    0    5 249 -324  1
3983500 2840500  1  5 18   3.7 1015 167  2.1 4  3.7  76    0    0 250 -320  1
3983500 2840500  1  5 19   3.7 1014 181  2.1 4  3.7  75    0    0 250 -317  1
3983500 2840500  1  5 20   3.7 1014 181  2.2 2  3.7  75    0    0 240 -316  1
3983500 2840500  1  5 21   4.0 1014 166  2.6 2  3.7  73    0    0 231 -316  1
3983500 2840500  1  5 22   3.7 1014 172  2.0 1  3.7  74    0    0 228 -316  1
3983500 2840500  1  5 23   3.5 1014 173  2.3 1  3.7  75    0    0 226 -316  1
3983500 2840500  1  5 24   3.6 1014 177  2.5 1  3.7  76    0    0 229 -316  1
3983500 2840500  1  6  1   3.6 1013 173  1.9 0  3.7  76    0    0 226 -316  1
3983500 2840500  1  6  2   3.2 1013 164  1.6 1  3.7  77    0    0 227 -316  1
3983500 2840500  1  6  3   2.8 1013 171  1.7 0  3.8  80    0    0 228 -318  1
3983500 2840500  1  6  4   3.6 1012 172  1.7 1  3.8  80    0    0 231 -321  1
3983500 2840500  1  6  5   3.7 1012 167  1.9 1  3.8  78    0    0 237 -323  1
3983500 2840500  1  6  6   4.3 1012 179  1.8 1  3.9  76    0    0 238 -324  1
3983500 2840500  1  6  7   4.6 1012 178  1.9 1  3.9  75    0    0 240 -324  1
3983500 2840500  1  6  8   4.9 1012 188  2.7 1  4.0  75    0    0 241 -324  1
3983500 2840500  1  6  9   4.9 1011 177  3.7 1  4.1  76    0    3 239 -325  1
3983500 2840500  1  6 10   5.4 1011 164  3.3 4  4.1  75    0   12 252 -328  1
3983500 2840500  1  6 11   6.9 1011 184  3.2 5  4.2  72   87   59 273 -331  1
3983500 2840500  1  6 12   7.7 1011 189  4.2 4  4.4  68  125   84 275 -335  1
3983500 2840500  1  6 13   7.8 1011 186  3.5 5  4.5  68   61  110 275 -340  1
3983500 2840500  1  6 14   8.1 1010 190  4.6 7  4.6  69   13   93 290 -343  1
3983500 2840500  1  6 15   8.5 1010 194  4.0 5  4.7  69    9   65 292 -342  1
3983500 2840500  1  6 16   8.3 1009 182  4.0 6  4.7  69   13   31 289 -340  1
3983500 2840500  1  6 17   8.2 1009 188  4.1 7  4.7  69    0    4 299 -336  1
3983500 2840500  1  6 18   8.1 1009 187  4.2 7  4.7  70    0    0 306 -333  1
3983500 2840500  1  6 19   8.0 1008 181  4.0 7  4.7  70    0    0 308 -332  1
3983500 2840500  1  6 20   8.5 1009 187  3.1 8  4.7  70    0    0 316 -334  1
3983500 2840500  1  6 21   8.8 1009 219  3.4 8  4.9  69    0    0 325 -337  1
3983500 2840500  1  6 22   8.1 1010 213  2.8 8  5.0  73    0    0 328 -340  1
3983500 2840500  1  6 23   7.9 1010 223  3.0 8  5.2  78    0    0 329 -342  1
3983500 2840500  1  6 24   8.1 1010 225  2.8 8  5.3  79    0    0 330 -343  1
3983500 2840500  1  7  1   7.9 1011 223  2.1 8  5.4  81    0    0 331 -342  1
3983500 2840500  1  7  2   8.0 1011 230  2.3 7  5.5  82    0    0 327 -340  1
3983500 2840500  1  7  3   8.1 1012 229  2.2 7  5.5  82    0    0 322 -339  1
3983500 2840500  1  7  4   7.9 1012 235  2.0 7  5.6  83    0    0 321 -337  1
3983500 2840500  1  7  5   7.6 1013 223  2.6 8  5.5  84    0    0 324 -336  1
3983500 2840500  1  7  6   7.4 1013 232  2.5 8  5.4  84    0    0 328 -336  1
3983500 2840500  1  7  7   7.3 1013 236  2.9 8  5.4  84    0    0 326 -335  1
