Koordinatensystem : Lambert konform konisch
Rechtswert        : 4008500 Meter
Hochwert          : 3050500 Meter
Hoehenlage        : 21 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4008500 3050500  1  1  1  -1.8 1023 113  2.5 5  2.5  77    0    0 197 -293  1
4008500 3050500  1  1  2  -1.9 1023 114  1.7 4  2.6  81    0    0 204 -292  1
4008500 3050500  1  1  3  -2.0 1023 113  1.2 4  2.6  84    0    0 216 -291  1
4008500 3050500  1  1  4  -1.7 1022  86  1.4 4  2.7  84    0    0 220 -290  1
4008500 3050500  1  1  5  -1.9 1022  88  1.7 3  2.7  83    0    0 220 -289  1
4008500 3050500  1  1  6  -2.3 1021  89  1.7 2  2.6  81    0    0 210 -289  1
4008500 3050500  1  1  7  -1.8 1020  93  2.0 2  2.6  80    0    0 203 -290  1
4008500 3050500  1  1  8  -1.8 1019 130  1.6 2  2.6  79    0    0 202 -290  1
4008500 3050500  1  1  9  -2.0 1019 130  1.8 3  2.6  79    0    0 206 -290  1
4008500 3050500  1  1 10  -2.2 1019 121  1.9 6  2.6  81    0   25 223 -290  1
4008500 3050500  1  1 11  -1.3 1019 112  2.9 6  2.7  80    7   73 238 -292  1
4008500 3050500  1  1 12  -0.9 1018 128  2.9 6  2.7  77   36  110 237 -295  1
4008500 3050500  1  1 13  -0.5 1017 122  2.6 5  2.6  74   52  119 233 -299  1
4008500 3050500  1  1 14  -0.7 1017  93  2.4 6  2.6  73   13   95 233 -301  1
4008500 3050500  1  1 15  -0.4 1016  91  2.3 6  2.7  75    0   48 240 -302  1
4008500 3050500  1  1 16  -0.1 1015  81  2.3 7  2.8  76    0   10 246 -302  1
4008500 3050500  1  1 17  -0.3 1015  87  1.7 7  2.9  77    0    0 254 -301  1
4008500 3050500  1  1 18   0.0 1015  87  2.1 7  2.9  78    0    0 255 -300  1
4008500 3050500  1  1 19   0.3 1015  98  1.6 7  3.0  79    0    0 259 -299  1
4008500 3050500  1  1 20  -0.2 1015  78  1.7 6  2.9  78    0    0 251 -299  1
4008500 3050500  1  1 21   0.3 1015  80  3.0 6  2.9  77    0    0 244 -300  1
4008500 3050500  1  1 22   0.6 1016  87  3.4 3  2.9  75    0    0 224 -301  1
