Koordinatensystem : Lambert konform konisch
Rechtswert        : 4008500 Meter
Hochwert          : 3050500 Meter
Hoehenlage        : 21 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4008500 3050500  1  1  1   0.5 1024 218  3.6 4  3.6  91    0    0 221 -259  0
4008500 3050500  1  1  2  -0.8 1024 239  3.6 3  3.3  91    0    0 217 -259  0
4008500 3050500  1  1  3  -1.9 1024 250  3.5 2  3.0  91    0    0 209 -259  0
4008500 3050500  1  1  4  -2.2 1025 249  3.0 1  3.0  92    0    0 204 -261  0
4008500 3050500  1  1  5  -2.2 1025 242  2.5 1  2.9  92    0    0 204 -263  0
4008500 3050500  1  1  6  -2.2 1025 244  1.9 0  2.9  92    0    0 202 -266  0
4008500 3050500  1  1  7  -1.7 1025 228  2.1 1  3.0  92    0    0 203 -270  0
4008500 3050500  1  1  8  -0.3 1025 222  3.3 4  3.1  89    0    0 218 -272  0
4008500 3050500  1  1  9   1.1 1025 230  3.6 5  3.3  87    0    0 233 -274  0
4008500 3050500  1  1 10   1.9 1025 229  4.5 6  3.7  88    0   13 242 -279  0
4008500 3050500  1  1 11   2.7 1025 234  4.7 7  3.9  88    5   47 249 -285  0
4008500 3050500  1  1 12   3.2 1025 238  6.0 8  4.0  85    0   67 259 -295  0
4008500 3050500  1  1 13   3.7 1024 250  6.4 8  4.0  83    0   45 268 -305  0
4008500 3050500  1  1 14   3.9 1023 251  6.9 8  4.0  82    0   43 272 -310  0
4008500 3050500  1  1 15   4.1 1023 258  7.2 7  4.1  82    0   35 269 -312  0
4008500 3050500  1  1 16   4.2 1022 251  7.3 8  4.1  82    0    8 267 -311  0
4008500 3050500  1  1 17   4.7 1021 247  8.3 7  4.2  81    0    0 266 -310  0
4008500 3050500  1  1 18   4.6 1021 263  8.6 7  4.2  80    0    0 262 -309  0
4008500 3050500  1  1 19   4.3 1020 259  8.1 8  4.3  82    0    0 265 -310  0
4008500 3050500  1  1 20   4.5 1020 259  7.9 8  4.4  85    0    0 268 -311  0
4008500 3050500  1  1 21   4.7 1020 259  7.4 8  4.4  84    0    0 271 -311  0
4008500 3050500  1  1 22   5.1 1020 262  7.5 8  4.4  83    0    0 273 -311  0
4008500 3050500  1  1 23   5.0 1019 272  8.9 8  4.5  83    0    0 276 -311  0
4008500 3050500  1  1 24   5.0 1019 269  8.5 8  4.5  84    0    0 279 -311  0
4008500 3050500  1  2  1   5.2 1019 270  8.4 8  4.6  84    0    0 281 -311  0
4008500 3050500  1  2  2   5.4 1018 278  7.2 8  4.6  83    0    0 284 -312  0
4008500 3050500  1  2  3   5.1 1019 279  6.4 8  4.7  85    0    0 286 -312  0
4008500 3050500  1  2  4   5.1 1019 298  4.8 8  4.8  88    0    0 288 -313  0
4008500 3050500  1  2  5   5.0 1020 300  5.0 7  4.8  88    0    0 289 -314  0
