Koordinatensystem : Lambert konform konisch
Rechtswert        : 4008500 Meter
Hochwert          : 3050500 Meter
Hoehenlage        : 21 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4008500 3050500  1  1  1   3.9 1019 203  3.0 8  4.6  94    0    0 326 -326  1
4008500 3050500  1  1  2   3.4 1019 196  2.8 8  4.6  96    0    0 326 -327  1
4008500 3050500  1  1  3   2.9 1019 190  2.5 8  4.6  98    0    0 328 -327  1
4008500 3050500  1  1  4   3.0 1018 188  2.7 8  4.6  98    0    0 324 -327  1
4008500 3050500  1  1  5   3.0 1018 190  2.8 8  4.6  97    0    0 324 -327  1
4008500 3050500  1  1  6   3.0 1017 187  3.2 8  4.5  96    0    0 331 -327  1
4008500 3050500  1  1  7   3.1 1017 195  2.8 7  4.5  96    0    0 325 -327  1
4008500 3050500  1  1  8   3.2 1016 187  3.0 8  4.5  94    0    0 326 -327  1
4008500 3050500  1  1  9   3.4 1016 198  3.7 8  4.5  94    0    0 333 -329  1
4008500 3050500  1  1 10   3.4 1016 200  2.6 7  4.5  94    0   25 329 -332  1
4008500 3050500  1  1 11   3.6 1016 199  3.3 8  4.6  94    0   22 331 -336  1
4008500 3050500  1  1 12   3.8 1016 209  3.7 7  4.7  94    0   26 333 -340  1
4008500 3050500  1  1 13   3.9 1015 210  3.6 8  4.8  96    0   22 335 -343  1
4008500 3050500  1  1 14   4.3 1014 231  4.0 8  4.9  97    0   19 343 -343  1
4008500 3050500  1  1 15   5.8 1014 292  3.3 8  5.2  95    0   18 347 -342  1
4008500 3050500  1  1 16   5.6 1015 293  3.9 7  5.4  95    0    9 342 -340  1
4008500 3050500  1  1 17   5.0 1016 283  3.9 5  5.2  95    0    0 320 -335  1
4008500 3050500  1  1 18   4.2 1017 272  2.6 3  5.0  95    0    0 289 -330  1
4008500 3050500  1  1 19   3.9 1017 262  3.5 2  4.9  97    0    0 267 -327  1
4008500 3050500  1  1 20   4.1 1018 271  3.5 1  4.9  97    0    0 251 -324  1
4008500 3050500  1  1 21   3.5 1018 279  3.7 1  4.8  97    0    0 243 -322  1
4008500 3050500  1  1 22   3.0 1019 277  2.7 3  4.6  97    0    0 250 -320  1
4008500 3050500  1  1 23   3.0 1020 257  2.0 3  4.5  96    0    0 258 -318  1
4008500 3050500  1  1 24   2.4 1020 237  2.4 0  4.4  96    0    0 234 -317  1
4008500 3050500  1  2  1   2.7 1020 228  2.3 7  4.4  97    0    0 254 -315  1
4008500 3050500  1  2  2   2.7 1021 246  3.1 7  4.5  97    0    0 294 -315  1
4008500 3050500  1  2  3   2.9 1021 247  3.4 7  4.5  98    0    0 289 -315  1
4008500 3050500  1  2  4   2.5 1021 234  3.5 7  4.5  98    0    0 286 -315  1
4008500 3050500  1  2  5   2.7 1021 235  3.8 5  4.4  97    0    0 271 -315  1
4008500 3050500  1  2  6   2.5 1021 216  3.7 6  4.4  96    0    0 264 -315  1
4008500 3050500  1  2  7   2.8 1021 227  4.9 6  4.4  96    0    0 270 -315  1
4008500 3050500  1  2  8   3.0 1021 225  5.1 6  4.5  97    0    0 272 -315  1
4008500 3050500  1  2  9   3.4 1021 217  5.3 8  4.6  97    0    0 289 -317  1
4008500 3050500  1  2 10   3.9 1021 217  5.0 5  4.8  98    0    5 287 -319  1
4008500 3050500  1  2 11   4.4 1021 225  6.6 7  4.9  97    0   21 286 -320  1
4008500 3050500  1  2 12   4.4 1021 225  6.8 8  4.9  96    0   30 306 -322  1
4008500 3050500  1  2 13   4.6 1021 218  6.0 7  5.1  98    0   46 305 -325  1
4008500 3050500  1  2 14   5.4 1021 227  5.9 7  5.3  99    0   42 300 -327  1
4008500 3050500  1  2 15   5.9 1020 227  5.4 8  5.5  98    0   20 311 -329  1
4008500 3050500  1  2 16   6.4 1020 238  6.3 8  5.7  98    0    7 324 -330  1
4008500 3050500  1  2 17   6.4 1020 235  6.3 8  5.7  96    0    0 328 -331  1
4008500 3050500  1  2 18   6.0 1020 237  5.0 8  5.6  96    0    0 328 -332  1
4008500 3050500  1  2 19   5.8 1020 231  4.3 8  5.6  98    0    0 326 -333  1
4008500 3050500  1  2 20   5.8 1020 227  4.2 8  5.6  99    0    0 325 -333  1
4008500 3050500  1  2 21   5.7 1020 242  4.1 8  5.6  99    0    0 324 -334  1
4008500 3050500  1  2 22   5.5 1020 238  3.6 8  5.5  99    0    0 324 -334  1
4008500 3050500  1  2 23   5.5 1020 230  3.8 8  5.5  98    0    0 324 -335  1
4008500 3050500  1  2 24   5.5 1020 229  3.9 7  5.5  98    0    0 319 -336  1
4008500 3050500  1  3  1   5.5 1020 228  3.9 7  5.4  97    0    0 314 -336  1
4008500 3050500  1  3  2   5.5 1020 229  3.2 7  5.4  97    0    0 314 -336  1
4008500 3050500  1  3  3   5.4 1019 217  3.0 8  5.4  97    0    0 319 -336  1
4008500 3050500  1  3  4   5.6 1019 208  3.2 7  5.4  97    0    0 320 -335  1
4008500 3050500  1  3  5   5.9 1018 197  2.9 7  5.6  98    0    0 316 -335  1
4008500 3050500  1  3  6   6.4 1017 210  4.3 7  5.7  98    0    0 316 -335  1
4008500 3050500  1  3  7   7.2 1017 216  4.4 8  5.9  97    0    0 322 -335  1
4008500 3050500  1  3  8   7.7 1016 216  5.8 7  6.1  96    0    0 323 -335  1
4008500 3050500  1  3  9   7.9 1015 216  6.1 7  6.2  95    0    0 318 -334  1
4008500 3050500  1  3 10   8.2 1015 206  6.6 8  6.3  94    0    5 324 -334  1
4008500 3050500  1  3 11   7.8 1014 215  6.6 8  6.3  94    0   15 329 -333  1
4008500 3050500  1  3 12   7.8 1014 215  6.8 8  6.4  97    0   21 327 -333  1
4008500 3050500  1  3 13   7.7 1013 217  7.1 8  6.5  99    0   19 326 -334  1
4008500 3050500  1  3 14   7.8 1013 226  7.1 7  6.6 100    0   24 321 -335  1
4008500 3050500  1  3 15   8.1 1012 227  6.3 8  6.6  98    0   30 323 -336  1
4008500 3050500  1  3 16   8.1 1012 237  6.7 8  6.5  97    0    8 328 -336  1
4008500 3050500  1  3 17   8.1 1012 236  6.2 8  6.5  97    0    0 330 -335  1
4008500 3050500  1  3 18   7.9 1012 236  5.4 8  6.6  98    0    0 333 -335  1
4008500 3050500  1  3 19   7.8 1012 236  5.0 8  6.6  99    0    0 335 -335  1
4008500 3050500  1  3 20   7.7 1012 237  4.7 8  6.5  99    0    0 335 -336  1
4008500 3050500  1  3 21   7.7 1011 236  4.6 8  6.5  99    0    0 336 -336  1
4008500 3050500  1  3 22   8.0 1011 237  5.1 8  6.6  99    0    0 337 -337  1
4008500 3050500  1  3 23   7.8 1011 236  4.8 8  6.6  99    0    0 338 -337  1
4008500 3050500  1  3 24   7.4 1010 248  5.7 8  6.3  97    0    0 337 -338  1
4008500 3050500  1  4  1   6.5 1010 260  5.7 8  5.9  95    0    0 336 -339  1
4008500 3050500  1  4  2   4.9 1010 266  5.3 8  5.5  96    0    0 332 -340  1
4008500 3050500  1  4  3   4.6 1010 249  4.3 7  5.1  96    0    0 324 -340  1
4008500 3050500  1  4  4   4.5 1011 231  3.9 6  5.1  96    0    0 311 -339  1
4008500 3050500  1  4  5   4.1 1011 231  4.2 3  5.0  97    0    0 283 -338  1
4008500 3050500  1  4  6   4.0 1011 238  4.9 3  5.0  98    0    0 264 -337  1
4008500 3050500  1  4  7   4.2 1011 238  5.0 6  5.0  98    0    0 285 -336  1
4008500 3050500  1  4  8   4.5 1012 234  3.0 7  5.0  96    0    0 315 -333  1
4008500 3050500  1  4  9   4.3 1012 220  3.5 7  5.0  96    0    0 325 -329  1
4008500 3050500  1  4 10   4.3 1012 220  3.9 6  5.0  96    6   41 319 -323  1
4008500 3050500  1  4 11   4.8 1012 237  4.4 8  5.2  98    0   52 327 -321  1
4008500 3050500  1  4 12   5.0 1013 229  4.2 7  5.3  99    0   67 337 -323  1
4008500 3050500  1  4 13   4.8 1013 226  4.0 7  5.2  97    0   67 331 -326  1
4008500 3050500  1  4 14   4.5 1012 236  4.3 7  5.1  96    0   43 329 -328  1
4008500 3050500  1  4 15   4.0 1012 262  3.9 8  4.9  96    0   19 336 -327  1
4008500 3050500  1  4 16   3.8 1011 181  3.0 7  4.9  97    0   11 334 -323  1
4008500 3050500  1  4 17   3.5 1010 167  3.4 8  4.8  97    0    0 332 -318  1
4008500 3050500  1  4 18   3.1 1009 149  3.7 8  4.7  97    0    0 338 -315  1
4008500 3050500  1  4 19   3.6 1008 137  3.3 8  4.7  97    0    0 336 -315  1
4008500 3050500  1  4 20   4.0 1007 125  3.5 8  4.9  97    0    0 337 -314  1
4008500 3050500  1  4 21   4.7 1005 136  3.9 8  5.1  97    0    0 339 -312  1
4008500 3050500  1  4 22   5.6 1004 157  5.3 8  5.3  96    0    0 339 -311  1
4008500 3050500  1  4 23   5.9 1003 190  4.9 8  5.6  97    0    0 338 -311  1
4008500 3050500  1  4 24   6.4 1002 238  8.7 8  5.7  96    0    0 336 -314  1
4008500 3050500  1  5  1   6.1 1003 238  7.6 8  5.6  94    0    0 335 -315  1
4008500 3050500  1  5  2   5.3 1003 247  7.9 7  5.4  93    0    0 325 -316  1
4008500 3050500  1  5  3   5.1 1004 259 10.7 8  5.0  90    0    0 324 -320  1
4008500 3050500  1  5  4   4.7 1004 251  9.3 7  4.8  88    0    0 323 -325  1
4008500 3050500  1  5  5   4.8 1006 256  8.4 3  4.7  86    0    0 279 -328  1
4008500 3050500  1  5  6   4.6 1007 268  8.3 1  4.5  84    0    0 230 -330  1
4008500 3050500  1  5  7   4.3 1008 257  6.3 1  4.4  83    0    0 219 -331  1
4008500 3050500  1  5  8   3.8 1010 239  5.9 2  4.4  86    0    0 230 -330  1
4008500 3050500  1  5  9   4.2 1011 252  6.3 3  4.4  87    0    0 247 -328  1
4008500 3050500  1  5 10   4.2 1012 235  5.3 5  4.5  88    0   30 266 -326  1
4008500 3050500  1  5 11   5.0 1013 239  4.2 5  4.6  87    6   64 276 -324  1
4008500 3050500  1  5 12   5.7 1014 236  3.8 4  4.6  84   32  102 269 -325  1
4008500 3050500  1  5 13   5.0 1014 230  4.9 4  4.7  85   45  112 260 -327  1
4008500 3050500  1  5 14   5.0 1015 226  4.9 6  4.8  89   22   97 270 -329  1
