Koordinatensystem : Lambert konform konisch
Rechtswert        : 4112500 Meter
Hochwert          : 2385500 Meter
Hoehenlage        : 526 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4112500 2385500  1  1  1  -0.8  952  45  1.4 7  3.5  90    0    0 242 -313  2
4112500 2385500  1  1  2  -1.7  952  42  1.1 7  3.3  90    0    0 248 -313  2
4112500 2385500  1  1  3  -2.2  952  48  0.9 7  3.1  90    0    0 255 -313  2
4112500 2385500  1  1  4  -2.2  952  52  0.9 7  3.1  90    0    0 255 -313  2
4112500 2385500  1  1  5  -2.2  952  63  1.1 6  3.1  90    0    0 248 -313  2
4112500 2385500  1  1  6  -2.1  951  80  0.9 6  3.1  90    0    0 243 -314  2
4112500 2385500  1  1  7  -2.0  952  90  2.0 6  3.1  90    0    0 243 -314  2
4112500 2385500  1  1  8  -2.4  951  90  1.7 6  3.1  89    0    0 242 -314  2
4112500 2385500  1  1  9  -1.8  952  83  1.2 6  3.1  89    3   15 243 -316  2
4112500 2385500  1  1 10   0.1  953 128  1.7 6  3.3  88   10   63 246 -319  2
4112500 2385500  1  1 11   1.8  953 356  0.9 6  3.6  83   23  112 252 -322  2
4112500 2385500  1  1 12   2.9  953 146  2.0 6  3.8  79   22  134 255 -328  2
4112500 2385500  1  1 13   3.8  953  70  1.9 6  4.0  78   26  144 258 -336  2
4112500 2385500  1  1 14   4.5  954  70  1.7 6  4.1  76   30  134 262 -339  2
4112500 2385500  1  1 15   4.6  953  30  1.9 7  4.2  75   19   98 270 -338  2
4112500 2385500  1  1 16   3.8  953  61  1.2 7  4.2  77    7   49 276 -334  2
4112500 2385500  1  1 17   2.4  953 308  1.8 7  4.0  80    0    8 274 -327  2
4112500 2385500  1  1 18   1.4  953 322  1.1 7  3.9  85    0    0 271 -321  2
4112500 2385500  1  1 19   0.2  954 355  0.2 5  3.7  88    0    0 258 -318  2
4112500 2385500  1  1 20   0.0  954 356  0.2 5  3.6  89    0    0 245 -316  2
4112500 2385500  1  1 21   0.4  954 155  1.5 4  3.7  90    0    0 241 -315  2
4112500 2385500  1  1 22   0.2  954 185  0.9 2  3.7  90    0    0 228 -315  2
4112500 2385500  1  1 23  -0.6  954 318  1.7 2  3.5  89    0    0 217 -314  2
4112500 2385500  1  1 24  -1.0  954 355  0.2 0  3.4  90    0    0 205 -313  2
4112500 2385500  1  2  1  -1.6  954 358  0.3 4  3.3  91    0    0 212 -313  2
4112500 2385500  1  2  2  -1.8  954  80  0.9 5  3.3  92    0    0 236 -312  2
4112500 2385500  1  2  3  -2.0  954 314  1.0 4  3.2  91    0    0 236 -311  2
4112500 2385500  1  2  4  -2.4  954 334  1.0 2  3.1  91    0    0 223 -310  2
4112500 2385500  1  2  5  -2.7  954 120  0.9 2  3.0  91    0    0 213 -310  2
4112500 2385500  1  2  6  -2.9  953 194  1.7 2  3.0  91    0    0 212 -309  2
4112500 2385500  1  2  7  -3.2  953   8  0.3 4  2.9  91    0    0 221 -309  2
4112500 2385500  1  2  8  -3.7  953 136  0.3 5  2.8  91    0    0 234 -309  2
