Koordinatensystem : Lambert konform konisch
Rechtswert        : 4112500 Meter
Hochwert          : 2385500 Meter
Hoehenlage        : 526 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4112500 2385500  1  1  1  -2.6  955  98  2.4 3  3.0  89    0    0 215 -285  1
4112500 2385500  1  1  2  -3.3  955 111  2.4 2  2.8  88    0    0 207 -284  1
4112500 2385500  1  1  3  -4.0  955 124  2.5 1  2.6  86    0    0 201 -283  1
4112500 2385500  1  1  4  -4.4  954 122  2.2 0  2.5  86    0    0 193 -282  1
4112500 2385500  1  1  5  -4.7  953 122  2.2 0  2.4  85    0    0 186 -281  1
4112500 2385500  1  1  6  -5.1  953 114  1.6 0  2.3  84    0    0 183 -279  1
4112500 2385500  1  1  7  -5.1  952 119  2.3 0  2.3  84    0    0 181 -279  1
4112500 2385500  1  1  8  -5.2  951 126  1.6 2  2.3  82    0    0 195 -279  1
4112500 2385500  1  1  9  -5.6  951 115  1.7 3  2.2  82    7   15 212 -280  1
4112500 2385500  1  1 10  -4.1  950 123  2.4 5  2.3  81   36   58 231 -284  1
4112500 2385500  1  1 11  -2.5  949 110  1.8 4  2.4  76   79  100 240 -290  1
4112500 2385500  1  1 12  -0.9  950 104  1.8 4  2.5  71  145  113 239 -299  1
4112500 2385500  1  1 13   1.5  949  80  1.2 3  2.7  65  246   84 238 -306  1
4112500 2385500  1  1 14   1.9  948  81  1.8 4  2.7  60  102  121 238 -310  1
4112500 2385500  1  1 15   2.9  948  70  1.2 5  2.7  57   52   94 248 -312  1
4112500 2385500  1  1 16   0.8  948 145  1.9 6  2.9  63   10   50 258 -313  1
4112500 2385500  1  1 17  -0.5  947 151  1.8 7  3.0  73    0    8 268 -314  1
4112500 2385500  1  1 18  -1.0  947 157  1.2 7  3.0  77    0    0 271 -314  1
4112500 2385500  1  1 19  -0.3  947 109  1.2 7  3.1  79    0    0 266 -315  1
4112500 2385500  1  1 20   0.2  946 131  1.9 7  3.2  79    0    0 265 -315  1
4112500 2385500  1  1 21   1.2  946 161  1.9 7  3.4  79    0    0 266 -315  1
4112500 2385500  1  1 22   1.0  946 146  1.2 7  3.5  80    0    0 278 -316  1
4112500 2385500  1  1 23   0.8  945  91  1.2 7  3.5  81    0    0 286 -318  1
4112500 2385500  1  1 24   0.5  945 147  1.2 6  3.5  83    0    0 282 -319  1
4112500 2385500  1  2  1   0.5  945 317  1.3 7  3.5  84    0    0 282 -318  1
4112500 2385500  1  2  2   0.1  945 166  1.3 6  3.6  86    0    0 281 -317  1
4112500 2385500  1  2  3   2.0  946 166  2.0 7  3.8  87    0    0 284 -316  1
4112500 2385500  1  2  4   2.7  946 234  1.0 7  4.0  82    0    0 297 -318  1
4112500 2385500  1  2  5   3.7  946 192  1.3 7  3.9  76    0    0 299 -319  1
4112500 2385500  1  2  6   3.7  945 157  1.9 7  3.8  72    0    0 300 -319  1
4112500 2385500  1  2  7   4.3  944 170  2.8 7  3.8  70    0    0 300 -319  1
4112500 2385500  1  2  8   4.6  943 171  2.9 5  3.7  66    0    0 286 -318  1
4112500 2385500  1  2  9   4.0  942 129  2.1 5  3.7  67    0    7 274 -320  1
4112500 2385500  1  2 10   1.7  943 321  3.5 6  3.8  76    7   58 275 -322  1
4112500 2385500  1  2 11   2.2  944 310  2.1 5  3.9  83   60  106 270 -328  1
4112500 2385500  1  2 12   4.0  945 167  1.3 5  4.1  81   48  135 262 -333  1
4112500 2385500  1  2 13   5.9  945 188  1.8 7  4.6  80    9  127 281 -335  1
4112500 2385500  1  2 14   7.0  945 210  2.0 8  5.3  83    9  112 313 -338  1
4112500 2385500  1  2 15   7.7  945 221  2.7 8  5.6  82    0   59 326 -339  1
4112500 2385500  1  2 16   7.6  945 219  2.8 7  5.7  82    3   44 318 -337  1
4112500 2385500  1  2 17   7.3  945 212  3.0 8  5.9  86    0    3 319 -332  1
4112500 2385500  1  2 18   6.8  945 178  3.5 7  6.0  89    0    0 319 -328  1
4112500 2385500  1  2 19   7.1  945 188  3.4 7  5.9  88    0    0 311 -326  1
4112500 2385500  1  2 20   6.5  944 159  1.9 6  5.7  87    0    0 302 -325  1
4112500 2385500  1  2 21   5.2  944 186  1.8 6  5.6  90    0    0 292 -326  1
4112500 2385500  1  2 22   5.1  945 100  1.0 7  5.5  94    0    0 300 -326  1
4112500 2385500  1  2 23   5.5  945 110  1.0 7  5.7  96    0    0 308 -328  1
4112500 2385500  1  2 24   5.3  945 150  1.8 8  5.8  96    0    0 314 -329  1
4112500 2385500  1  3  1   5.3  945 211  1.9 7  5.7  96    0    0 314 -330  1
4112500 2385500  1  3  2   5.4  946 150  1.9 8  5.7  96    0    0 315 -329  1
4112500 2385500  1  3  3   5.5  946 170  2.5 8  5.7  96    0    0 321 -328  1
4112500 2385500  1  3  4   5.7  946 230  2.5 8  5.9  97    0    0 321 -327  1
4112500 2385500  1  3  5   6.1  946 201  2.6 8  5.9  96    0    0 321 -324  1
4112500 2385500  1  3  6   5.8  947 228  2.6 8  5.8  94    0    0 319 -323  1
4112500 2385500  1  3  7   5.6  947 227  2.5 8  5.7  94    0    0 318 -322  1
4112500 2385500  1  3  8   5.4  948 219  2.6 7  5.6  93    0    0 311 -322  1
4112500 2385500  1  3  9   5.2  947 220  2.7 7  5.5  92    0    8 302 -322  1
4112500 2385500  1  3 10   5.3  948 230  3.4 7  5.3  89    0   38 300 -324  1
4112500 2385500  1  3 11   6.4  949 239  4.1 4  5.1  83   50  107 282 -327  1
4112500 2385500  1  3 12   8.2  950 250  5.6 4  4.9  72  172  111 270 -331  1
4112500 2385500  1  3 13   8.6  950 250  6.4 5  4.7  64  116  138 281 -335  1
4112500 2385500  1  3 14   8.2  950 259  6.4 4  4.6  63   92  129 283 -337  1
4112500 2385500  1  3 15   8.2  950 261  4.3 4  4.7  66   91   92 277 -336  1
4112500 2385500  1  3 16   7.3  950 249  4.8 4  4.7  67   35   53 275 -332  1
4112500 2385500  1  3 17   6.6  951 239  3.4 3  4.7  71    0   10 267 -325  1
4112500 2385500  1  3 18   6.4  951 248  3.4 4  4.8  74    0    0 264 -319  1
4112500 2385500  1  3 19   6.3  951 259  3.9 5  4.7  74    0    0 273 -316  1
4112500 2385500  1  3 20   5.5  952 260  3.2 3  4.6  75    0    0 266 -315  1
4112500 2385500  1  3 21   4.5  953 230  3.3 2  4.7  81    0    0 247 -314  1
4112500 2385500  1  3 22   4.1  953 181  1.7 1  4.7  86    0    0 236 -313  1
4112500 2385500  1  3 23   3.6  953 176  1.6 1  4.6  87    0    0 230 -312  1
4112500 2385500  1  3 24   3.0  953 159  1.6 0  4.5  87    0    0 226 -311  1
4112500 2385500  1  4  1   2.7  952 150  1.7 0  4.4  88    0    0 219 -311  1
4112500 2385500  1  4  2   2.5  952 149  1.6 0  4.3  89    0    0 215 -311  1
4112500 2385500  1  4  3   2.3  951 148  2.3 0  4.3  90    0    0 211 -311  1
4112500 2385500  1  4  4   2.2  951 146  2.3 0  4.3  91    0    0 209 -312  1
4112500 2385500  1  4  5   1.9  950 137  2.4 0  4.3  91    0    0 206 -312  1
4112500 2385500  1  4  6   2.2  949 128  1.7 0  4.3  91    0    0 200 -312  1
4112500 2385500  1  4  7   1.9  949 119  1.7 1  4.2  90    0    0 200 -313  1
4112500 2385500  1  4  8   1.8  948 119  2.5 4  4.2  90    0    0 218 -313  1
4112500 2385500  1  4  9   1.9  947 129  2.5 5  4.1  89    4   18 244 -313  1
4112500 2385500  1  4 10   2.3  946 119  2.3 7  4.1  87    6   64 267 -314  1
4112500 2385500  1  4 11   2.9  946 120  0.8 7  4.2  85    1   87 288 -317  1
4112500 2385500  1  4 12   3.6  945 109  1.4 7  4.2  82    0   84 290 -321  1
4112500 2385500  1  4 13   4.1  944 168  1.5 7  4.2  78    3  118 293 -324  1
4112500 2385500  1  4 14   3.8  944 197  0.8 6  4.3  79   12  133 288 -328  1
4112500 2385500  1  4 15   3.4  944 221  1.7 7  4.3  81    0   71 288 -331  1
4112500 2385500  1  4 16   4.0  945 235  1.8 8  4.3  80    1   44 304 -333  1
4112500 2385500  1  4 17   5.3  945 252  3.3 8  4.2  73    0    4 314 -333  1
4112500 2385500  1  4 18   5.4  946 212  2.6 8  4.4  74    0    0 317 -333  1
4112500 2385500  1  4 19   5.6  947 221  3.3 8  5.0  83    0    0 318 -333  1
