Koordinatensystem : Lambert konform konisch
Rechtswert        : 4075500 Meter
Hochwert          : 2526500 Meter
Hoehenlage        : 314 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4075500 2526500  1  1  1   3.2  990 204  1.7 7  4.0  81    0    0 286 -313  1
4075500 2526500  1  1  2   1.5  990 212  1.3 7  3.7  85    0    0 287 -313  1
4075500 2526500  1  1  3   0.1  990 228  0.9 7  3.4  88    0    0 273 -312  1
4075500 2526500  1  1  4   0.2  990 222  0.7 7  3.5  88    0    0 274 -313  1
4075500 2526500  1  1  5   0.3  990 250  0.6 8  3.5  88    0    0 289 -311  1
4075500 2526500  1  1  6   0.4  989 243  0.6 8  3.5  88    0    0 289 -310  1
4075500 2526500  1  1  7   0.5  989 250  0.5 8  3.5  88    0    0 288 -309  1
4075500 2526500  1  1  8   0.4  989  77  0.1 8  3.6  89    0    0 287 -308  1
4075500 2526500  1  1  9   0.4  989 157  0.0 8  3.6  90    0    8 285 -308  1
4075500 2526500  1  1 10   0.2  989  58  1.2 7  3.6  90    1   50 278 -308  1
4075500 2526500  1  1 11   0.5  989 208  1.1 6  3.5  88    1   79 267 -309  1
4075500 2526500  1  1 12   1.1  989 191  0.8 7  3.3  79    0   83 267 -311  1
4075500 2526500  1  1 13   1.1  988 244  0.8 8  3.1  73    0   39 276 -313  1
4075500 2526500  1  1 14   1.4  988 161  0.5 8  3.0  71    0   28 278 -314  1
4075500 2526500  1  1 15   1.2  987 205  1.1 7  3.0  71    0   35 271 -313  1
4075500 2526500  1  1 16   1.0  987  37  0.9 8  3.1  73    0   15 269 -311  1
4075500 2526500  1  1 17   0.9  987  86  0.9 8  3.1  74    0    0 268 -308  1
4075500 2526500  1  1 18   0.4  987 167  1.0 8  3.1  76    0    0 266 -305  1
4075500 2526500  1  1 19   0.6  988 240  0.3 7  3.1  76    0    0 262 -303  1
4075500 2526500  1  1 20   0.4  988 157  0.6 7  3.0  75    0    0 259 -302  1
4075500 2526500  1  1 21   0.7  988 101  0.8 6  3.1  76    0    0 257 -300  1
4075500 2526500  1  1 22   0.3  988  89  1.3 5  3.1  77    0    0 251 -299  1
4075500 2526500  1  1 23  -0.7  988 116  0.6 4  3.0  79    0    0 244 -296  1
