Koordinatensystem : Lambert konform konisch
Rechtswert        : 3884500 Meter
Hochwert          : 2924500 Meter
Hoehenlage        : 7 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3884500 2924500  1  1  1  -0.7 1025 224  1.3 6  3.3  90    0    0 297 -315  2
3884500 2924500  1  1  2  -0.9 1025 233  1.1 7  3.2  90    0    0 304 -315  2
3884500 2924500  1  1  3  -1.1 1026 236  1.0 7  3.1  90    0    0 304 -315  2
3884500 2924500  1  1  4  -1.1 1026 264  1.0 7  3.1  90    0    0 305 -315  2
3884500 2924500  1  1  5  -0.9 1026 248  1.1 7  3.2  90    0    0 306 -316  2
3884500 2924500  1  1  6  -0.7 1026 238  1.2 7  3.2  90    0    0 300 -316  2
3884500 2924500  1  1  7  -0.5 1026 238  1.3 8  3.2  90    0    0 305 -317  2
3884500 2924500  1  1  8  -0.3 1026 248  1.3 8  3.3  90    0    0 310 -317  2
3884500 2924500  1  1  9  -0.3 1026 247  1.4 8  3.4  92    0    1 310 -318  2
3884500 2924500  1  1 10   0.1 1027 257  1.6 8  3.5  95    0   18 309 -318  2
3884500 2924500  1  1 11   0.5 1027 247  1.5 7  3.6  95    0   43 302 -318  2
3884500 2924500  1  1 12   0.9 1027 265  1.9 7  3.7  94   10   77 295 -319  2
3884500 2924500  1  1 13   1.1 1027 251  1.8 7  3.7  92    0   64 295 -320  2
3884500 2924500  1  1 14   1.3 1027 262  2.0 7  3.8  92    0   55 295 -320  2
3884500 2924500  1  1 15   1.5 1027 257  1.5 7  3.8  92    0   45 295 -321  2
3884500 2924500  1  1 16   1.5 1026 253  1.7 6  3.8  92    0   20 289 -321  2
3884500 2924500  1  1 17   1.4 1027 256  1.4 6  3.8  92    0    0 282 -319  2
3884500 2924500  1  1 18   1.3 1027 248  1.4 7  3.8  92    0    0 285 -317  2
3884500 2924500  1  1 19   0.9 1027 248  1.7 7  3.8  94    0    0 289 -316  2
3884500 2924500  1  1 20   0.8 1026 181  0.9 7  3.8  96    0    0 286 -316  2
3884500 2924500  1  1 21   0.3 1026 222  1.4 8  3.7  96    0    0 290 -315  2
3884500 2924500  1  1 22   0.9 1026 216  1.1 8  3.7  95    0    0 295 -315  2
3884500 2924500  1  1 23   0.8 1026 207  0.9 8  3.8  95    0    0 294 -315  2
3884500 2924500  1  1 24   0.9 1026 230  0.9 7  3.8  96    0    0 285 -315  2
3884500 2924500  1  2  1   0.8 1026 263  1.1 6  3.8  96    0    0 269 -315  2
3884500 2924500  1  2  2   0.7 1026 242  1.1 8  3.8  96    0    0 273 -315  2
3884500 2924500  1  2  3   0.8 1025 332  1.0 5  3.8  97    0    0 266 -315  2
3884500 2924500  1  2  4   0.5 1025 336  1.5 8  3.8  97    0    0 266 -315  2
3884500 2924500  1  2  5   0.6 1025 350  1.1 7  3.8  97    0    0 277 -315  2
3884500 2924500  1  2  6   0.6 1025  22  1.8 8  3.8  96    0    0 277 -314  2
3884500 2924500  1  2  7   0.5 1025   7  2.3 8  3.8  97    0    0 282 -313  2
3884500 2924500  1  2  8   0.4 1026  36  2.4 8  3.7  97    0    0 281 -311  2
3884500 2924500  1  2  9   0.4 1026  27  2.6 6  3.7  96    0    0 271 -309  2
3884500 2924500  1  2 10   0.3 1027  48  3.0 6  3.7  96    0   22 261 -307  2
3884500 2924500  1  2 11   0.2 1028  47  2.8 7  3.6  95    1   60 266 -306  2
3884500 2924500  1  2 12   0.0 1028  27  1.9 6  3.5  92    4   89 266 -306  2
