Koordinatensystem : Lambert konform konisch
Rechtswert        : 3884500 Meter
Hochwert          : 2924500 Meter
Hoehenlage        : 7 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3884500 2924500  1  1  1   0.4 1021 168  1.8 5  3.5  84    0    0 333 -330  0
3884500 2924500  1  1  2   2.7 1021 190  1.6 7  4.1  86    0    0 333 -330  0
3884500 2924500  1  1  3   4.5 1021 207  1.6 8  4.6  88    0    0 335 -331  0
3884500 2924500  1  1  4   4.6 1021 209  1.8 8  4.6  88    0    0 335 -332  0
3884500 2924500  1  1  5   4.7 1020 210  1.7 8  4.7  89    0    0 337 -333  0
3884500 2924500  1  1  6   4.9 1020 211  1.9 8  4.7  88    0    0 337 -336  0
3884500 2924500  1  1  7   4.7 1020 211  1.4 8  4.7  89    0    0 338 -338  0
3884500 2924500  1  1  8   4.6 1019 200  2.8 8  4.8  91    0    0 338 -339  0
3884500 2924500  1  1  9   4.4 1019 200  2.3 8  4.8  93    0    0 339 -342  0
3884500 2924500  1  1 10   4.6 1019 210  2.3 8  4.9  93    2   25 340 -343  0
3884500 2924500  1  1 11   4.8 1019 229  2.8 7  4.9  93    0   45 335 -346  0
3884500 2924500  1  1 12   5.3 1019 230  2.7 8  5.1  94    0   33 337 -348  0
3884500 2924500  1  1 13   5.8 1019 267  3.7 8  5.3  95    0   31 346 -350  0
3884500 2924500  1  1 14   6.8 1019 298  3.7 7  5.5  94    0   41 343 -351  0
3884500 2924500  1  1 15   7.8 1020 318  4.3 5  5.6  88   24   50 326 -348  0
3884500 2924500  1  1 16   7.5 1020 307  3.1 5  5.6  86   12   21 313 -343  0
3884500 2924500  1  1 17   7.1 1021 286  1.6 5  5.5  87    0    0 312 -337  0
3884500 2924500  1  1 18   5.2 1022 266  0.8 3  5.2  89    0    0 293 -332  0
3884500 2924500  1  1 19   3.6 1022 256  0.9 1  4.8  93    0    0 260 -329  0
3884500 2924500  1  1 20   3.0 1023 256  1.4 1  4.5  95    0    0 243 -326  0
3884500 2924500  1  1 21   3.5 1023 277  2.1 5  4.4  92    0    0 265 -323  0
3884500 2924500  1  1 22   3.4 1024 259  2.0 6  4.3  89    0    0 294 -321  0
3884500 2924500  1  1 23   3.5 1025 252  1.3 6  4.4  92    0    0 298 -320  0
3884500 2924500  1  1 24   3.0 1025 255  1.4 7  4.5  94    0    0 300 -318  0
3884500 2924500  1  2  1   2.4 1025 244  2.1 8  4.3  94    0    0 306 -317  0
3884500 2924500  1  2  2   1.9 1025 224  1.3 8  4.2  95    0    0 307 -316  0
3884500 2924500  1  2  3   2.0 1025 244  1.2 8  4.1  95    0    0 302 -315  0
3884500 2924500  1  2  4   2.4 1026 263  1.8 8  4.2  96    0    0 299 -315  0
3884500 2924500  1  2  5   2.4 1025 263  2.6 8  4.2  95    0    0 298 -315  0
3884500 2924500  1  2  6   2.9 1026 234  2.4 8  4.3  94    0    0 299 -315  0
3884500 2924500  1  2  7   3.1 1026 213  1.4 8  4.4  95    0    0 299 -315  0
3884500 2924500  1  2  8   3.6 1026 184  2.8 6  4.5  95    0    0 290 -315  0
3884500 2924500  1  2  9   4.1 1025 224  2.8 8  4.7  95    0    0 294 -315  0
3884500 2924500  1  2 10   4.0 1026 224  2.1 8  4.8  96    0   11 310 -315  0
3884500 2924500  1  2 11   4.3 1026 193  2.5 7  4.8  96    0   48 307 -317  0
3884500 2924500  1  2 12   5.2 1026 195  3.5 8  5.1  96    0   44 310 -320  0
3884500 2924500  1  2 13   6.5 1025 225  3.5 6  5.5  97   40   91 307 -322  0
3884500 2924500  1  2 14   7.2 1025 236  2.7 7  5.9  97    4   75 304 -325  0
3884500 2924500  1  2 15   7.2 1025 232  2.5 8  6.0  97    0   17 320 -327  0
3884500 2924500  1  2 16   7.3 1025 235  2.6 8  6.1  97    0    5 330 -327  0
3884500 2924500  1  2 17   7.7 1024 246  3.4 8  6.1  96    0    0 334 -327  0
3884500 2924500  1  2 18   7.5 1025 240  3.2 8  6.2  96    0    0 334 -328  0
3884500 2924500  1  2 19   7.7 1024 241  2.8 8  6.1  96    0    0 333 -329  0
3884500 2924500  1  2 20   7.7 1024 242  2.1 8  6.2  96    0    0 333 -330  0
3884500 2924500  1  2 21   8.2 1024 241  2.7 8  6.3  96    0    0 333 -330  0
3884500 2924500  1  2 22   8.0 1024 232  1.7 8  6.3  95    0    0 333 -331  0
3884500 2924500  1  2 23   8.0 1024 224  1.6 8  6.3  96    0    0 333 -331  0
3884500 2924500  1  2 24   8.0 1024 223  1.5 8  6.3  96    0    0 332 -332  0
3884500 2924500  1  3  1   8.2 1023 223  1.9 7  6.4  96    0    0 327 -332  0
3884500 2924500  1  3  2   8.1 1023 215  1.8 7  6.4  95    0    0 323 -332  0
3884500 2924500  1  3  3   8.3 1023 217  2.1 7  6.4  95    0    0 323 -332  0
3884500 2924500  1  3  4   8.3 1022 218  2.1 7  6.4  95    0    0 324 -332  0
3884500 2924500  1  3  5   8.3 1022 204  2.3 7  6.4  94    0    0 323 -332  0
3884500 2924500  1  3  6   8.4 1021 213  3.7 7  6.4  95    0    0 323 -331  0
3884500 2924500  1  3  7   8.5 1020 213  3.0 8  6.3  92    0    0 327 -328  0
3884500 2924500  1  3  8   8.5 1020 226  3.5 7  6.0  87    0    0 325 -326  0
3884500 2924500  1  3  9   8.4 1019 218  3.8 7  5.8  85    0    0 318 -325  0
3884500 2924500  1  3 10   8.4 1019 213  4.3 8  5.9  86    0    7 323 -326  0
3884500 2924500  1  3 11   8.4 1019 223  4.1 7  6.1  89    0   18 323 -327  0
3884500 2924500  1  3 12   8.8 1019 232  4.7 8  6.2  89    0   17 323 -330  0
3884500 2924500  1  3 13   8.7 1018 233  5.0 7  6.3  90    0   46 323 -333  0
3884500 2924500  1  3 14   8.6 1018 234  5.1 7  6.5  93    0   38 318 -334  0
3884500 2924500  1  3 15   8.6 1017 234  5.1 7  6.7  96    0   20 318 -335  0
3884500 2924500  1  3 16   8.7 1017 232  5.0 8  6.7  97    0   13 323 -335  0
3884500 2924500  1  3 17   8.8 1017 233  4.3 8  6.8  97    0    1 329 -335  0
3884500 2924500  1  3 18   8.6 1017 232  3.4 8  6.8  97    0    0 331 -335  0
3884500 2924500  1  3 19   8.6 1016 222  4.0 8  6.7  97    0    0 333 -336  0
3884500 2924500  1  3 20   8.4 1016 222  3.9 8  6.7  97    0    0 335 -337  0
3884500 2924500  1  3 21   8.1 1016 221  3.9 8  6.6  97    0    0 335 -338  0
3884500 2924500  1  3 22   8.1 1015 221  4.5 8  6.5  96    0    0 335 -339  0
3884500 2924500  1  3 23   7.9 1015 221  4.6 8  6.4  96    0    0 336 -339  0
3884500 2924500  1  3 24   7.7 1015 222  4.7 8  6.3  96    0    0 336 -339  0
3884500 2924500  1  4  1   7.6 1014 233  4.2 8  6.3  97    0    0 337 -338  0
3884500 2924500  1  4  2   5.6 1014 267  3.9 8  5.9  97    0    0 334 -338  0
3884500 2924500  1  4  3   5.2 1015 301  3.0 8  5.4  97    0    0 331 -337  0
3884500 2924500  1  4  4   4.9 1016 253  1.5 7  5.3  97    0    0 325 -337  0
3884500 2924500  1  4  5   4.6 1016 247  1.5 7  5.2  97    0    0 318 -336  0
3884500 2924500  1  4  6   4.6 1016 214  1.6 6  5.1  97    0    0 311 -336  0
3884500 2924500  1  4  7   4.4 1016 231  1.7 8  5.1  97    0    0 319 -336  0
3884500 2924500  1  4  8   4.1 1016 220  1.3 7  5.0  96    0    0 327 -336  0
3884500 2924500  1  4  9   3.8 1016 202  1.3 7  4.9  96    0    0 322 -336  0
3884500 2924500  1  4 10   3.6 1016 194  1.8 7  4.8  97    0   33 322 -336  0
3884500 2924500  1  4 11   3.6 1016 204  1.9 4  4.8  97   17   88 302 -336  0
3884500 2924500  1  4 12   4.2 1016 176  1.2 5  4.9  97   20  121 290 -338  0
3884500 2924500  1  4 13   5.1 1016 229  1.1 7  5.1  97    4   98 314 -341  0
3884500 2924500  1  4 14   4.9 1014 151  3.0 8  5.3  97    0   54 336 -343  0
3884500 2924500  1  4 15   4.6 1013 104  2.6 8  5.2  98    0   33 343 -343  0
3884500 2924500  1  4 16   5.0 1012 124  2.5 8  5.2  98    0   18 343 -341  0
3884500 2924500  1  4 17   6.1 1011 136  2.5 8  5.5  98    0    1 345 -338  0
3884500 2924500  1  4 18   7.2 1009 163  3.9 8  5.9  97    0    0 349 -336  0
3884500 2924500  1  4 19   7.5 1008 190  3.7 8  6.2  96    0    0 350 -336  0
3884500 2924500  1  4 20   8.4 1007 204  4.6 7  6.4  95    0    0 344 -336  0
3884500 2924500  1  4 21   9.1 1007 239  7.7 7  6.6  93    0    0 337 -336  0
3884500 2924500  1  4 22   7.7 1007 257  6.7 7  6.1  88    0    0 334 -336  0
3884500 2924500  1  4 23   7.6 1008 256  5.8 7  5.6  86    0    0 328 -336  0
3884500 2924500  1  4 24   7.7 1008 262  7.8 6  5.5  84    0    0 318 -336  0
3884500 2924500  1  5  1   6.2 1009 272  7.6 4  4.9  78    0    0 290 -335  0
3884500 2924500  1  5  2   5.3 1010 263  5.0 2  4.3  74    0    0 253 -334  0
3884500 2924500  1  5  3   5.0 1011 262  4.6 3  4.2  77    0    0 240 -335  0
3884500 2924500  1  5  4   4.8 1013 261  4.3 3  4.3  79    0    0 244 -336  0
3884500 2924500  1  5  5   3.9 1013 251  3.7 2  4.2  81    0    0 232 -337  0
3884500 2924500  1  5  6   3.8 1014 240  3.9 2  4.1  83    0    0 227 -336  0
3884500 2924500  1  5  7   3.8 1015 256  3.8 2  4.1  83    0    0 233 -336  0
3884500 2924500  1  5  8   3.5 1016 242  3.2 4  4.1  84    0    0 250 -334  0
3884500 2924500  1  5  9   3.4 1017 234  3.0 4  4.1  86    0    0 265 -331  0
3884500 2924500  1  5 10   2.4 1017 245  3.2 4  4.1  88    8   38 262 -329  0
3884500 2924500  1  5 11   3.0 1018 246  2.9 4  4.1  89   37   77 260 -328  0
3884500 2924500  1  5 12   4.3 1018 239  2.1 5  4.2  86   77  108 267 -328  0
3884500 2924500  1  5 13   5.1 1019 223  3.2 5  4.3  82  100  114 273 -330  0
3884500 2924500  1  5 14   5.7 1019 213  3.4 5  4.3  78   89  104 274 -331  0
3884500 2924500  1  5 15   5.9 1019 211  3.2 3  4.4  76   63   77 262 -332  0
3884500 2924500  1  5 16   5.4 1019 193  2.3 4  4.3  77   17   37 253 -329  0
3884500 2924500  1  5 17   4.9 1019 181  1.9 5  4.3  78    0    3 260 -326  0
3884500 2924500  1  5 18   4.4 1018 182  1.8 5  4.1  79    0    0 261 -323  0
3884500 2924500  1  5 19   4.2 1018 172  2.4 5  4.1  80    0    0 261 -320  0
3884500 2924500  1  5 20   4.7 1018 183  2.3 4  4.2  80    0    0 259 -319  0
3884500 2924500  1  5 21   4.8 1018 182  2.2 3  4.2  80    0    0 250 -319  0
