Koordinatensystem : Lambert konform konisch
Rechtswert        : 4132500 Meter
Hochwert          : 3026500 Meter
Hoehenlage        : 22 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4132500 3026500  1  1  1   3.0 1020 190  1.3 4  4.3  87    0    0 242 -323  2
4132500 3026500  1  1  2   1.3 1020 186  1.1 3  3.8  88    0    0 238 -323  2
4132500 3026500  1  1  3   0.2 1020 182  1.1 4  3.3  88    0    0 241 -325  2
4132500 3026500  1  1  4   0.4 1020 181  1.4 6  3.4  88    0    0 281 -326  2
4132500 3026500  1  1  5   0.7 1019 183  1.6 7  3.4  88    0    0 316 -326  2
4132500 3026500  1  1  6   1.0 1019 179  1.5 8  3.5  86    0    0 319 -327  2
4132500 3026500  1  1  7   1.4 1018 191  1.9 8  3.5  86    0    0 320 -327  2
4132500 3026500  1  1  8   1.2 1018 176  1.1 8  3.6  86    0    0 321 -327  2
4132500 3026500  1  1  9   1.3 1018 188  1.9 8  3.6  88    0    1 322 -328  2
4132500 3026500  1  1 10   1.4 1018 190  1.8 8  3.7  88    0   18 324 -328  2
4132500 3026500  1  1 11   1.4 1018 193  1.9 7  3.7  88    0   39 319 -329  2
4132500 3026500  1  1 12   1.5 1017 195  1.2 7  3.7  89    0   36 314 -332  2
4132500 3026500  1  1 13   1.6 1017 203  1.4 8  3.8  91    0   28 323 -335  2
4132500 3026500  1  1 14   2.0 1016 200  1.3 6  3.9  91    0   41 318 -339  2
4132500 3026500  1  1 15   2.3 1016 190  1.7 5  4.0  91    0   33 299 -341  2
4132500 3026500  1  1 16   2.5 1015 200  1.5 8  4.1  90    0    3 314 -341  2
4132500 3026500  1  1 17   2.7 1015 192  0.6 8  4.1  90    0    0 334 -337  2
4132500 3026500  1  1 18   3.0 1015 237  0.2 7  4.2  91    0    0 325 -333  2
4132500 3026500  1  1 19   3.3 1016 289  1.9 8  4.3  91    0    0 324 -331  2
4132500 3026500  1  1 20   3.5 1016 312  2.4 7  4.4  92    0    0 322 -329  2
4132500 3026500  1  1 21   3.9 1017 288  1.9 6  4.5  92    0    0 310 -328  2
4132500 3026500  1  1 22   4.4 1018 300  3.3 7  4.6  90    0    0 308 -327  2
4132500 3026500  1  1 23   4.5 1018 301  3.0 7  4.7  90    0    0 313 -325  2
4132500 3026500  1  1 24   4.5 1019 307  3.6 8  4.7  90    0    0 315 -324  2
4132500 3026500  1  2  1   4.2 1020 314  3.0 7  4.6  90    0    0 312 -322  2
4132500 3026500  1  2  2   4.1 1020 281  1.0 7  4.6  91    0    0 300 -321  2
4132500 3026500  1  2  3   4.2 1020 285  4.1 7  4.6  91    0    0 296 -320  2
4132500 3026500  1  2  4   4.0 1020 285  3.5 8  4.6  91    0    0 299 -320  2
4132500 3026500  1  2  5   3.7 1021 272  3.4 8  4.5  91    0    0 303 -319  2
4132500 3026500  1  2  6   3.4 1021 280  2.3 8  4.4  91    0    0 302 -318  2
4132500 3026500  1  2  7   2.9 1021 273  1.7 8  4.3  92    0    0 300 -317  2
4132500 3026500  1  2  8   2.5 1021 255  2.4 8  4.2  92    0    0 299 -318  2
4132500 3026500  1  2  9   2.3 1021 226  2.9 8  4.2  93    0    0 299 -319  2
4132500 3026500  1  2 10   2.6 1021 248  2.8 8  4.2  93    0   12 302 -320  2
4132500 3026500  1  2 11   3.0 1022 246  2.9 8  4.3  92    0   18 306 -321  2
4132500 3026500  1  2 12   3.3 1022 248  3.4 7  4.3  92    0   60 302 -323  2
4132500 3026500  1  2 13   3.8 1022 225  2.9 7  4.5  92    0   63 295 -325  2
4132500 3026500  1  2 14   4.3 1022 231  3.7 7  4.6  92    0   42 296 -325  2
4132500 3026500  1  2 15   4.7 1021 224  3.5 8  4.7  90    0   18 306 -324  2
4132500 3026500  1  2 16   5.2 1021 225  3.2 8  4.7  88    0    6 319 -322  2
4132500 3026500  1  2 17   5.5 1020 231  2.9 8  4.8  87    0    0 322 -322  2
4132500 3026500  1  2 18   5.6 1020 242  3.4 8  4.9  87    0    0 324 -322  2
4132500 3026500  1  2 19   6.1 1020 250  3.3 7  5.0  88    0    0 319 -324  2
4132500 3026500  1  2 20   6.1 1020 260  3.9 7  5.2  89    0    0 313 -325  2
4132500 3026500  1  2 21   6.4 1020 267  4.8 7  5.3  90    0    0 313 -326  2
4132500 3026500  1  2 22   6.3 1020 259  3.6 7  5.2  88    0    0 316 -328  2
4132500 3026500  1  2 23   6.3 1020 262  3.9 7  5.2  88    0    0 315 -330  2
4132500 3026500  1  2 24   6.3 1020 264  3.8 7  5.2  88    0    0 315 -331  2
4132500 3026500  1  3  1   6.3 1020 265  2.1 7  5.2  88    0    0 314 -331  2
4132500 3026500  1  3  2   6.2 1020 255  2.1 8  5.2  88    0    0 320 -332  2
4132500 3026500  1  3  3   6.3 1019 246  2.5 8  5.1  87    0    0 326 -332  2
4132500 3026500  1  3  4   6.4 1019 239  2.1 8  5.1  86    0    0 326 -333  2
4132500 3026500  1  3  5   6.3 1019 232  1.5 8  5.1  86    0    0 326 -333  2
4132500 3026500  1  3  6   6.2 1018 214  2.4 8  5.1  86    0    0 325 -333  2
4132500 3026500  1  3  7   6.3 1018 196  2.0 8  5.1  87    0    0 324 -333  2
4132500 3026500  1  3  8   6.7 1017 193  2.3 8  5.2  87    0    0 324 -333  2
4132500 3026500  1  3  9   6.8 1017 209  3.1 8  5.3  87    0    1 323 -334  2
4132500 3026500  1  3 10   6.9 1016 200  4.0 8  5.4  87    0   19 322 -334  2
4132500 3026500  1  3 11   7.0 1016 221  5.0 7  5.4  87    0   44 317 -334  2
4132500 3026500  1  3 12   7.5 1015 212  4.1 8  5.4  85    0   40 316 -335  2
4132500 3026500  1  3 13   7.6 1015 226  4.5 8  5.4  83    0   39 320 -335  2
4132500 3026500  1  3 14   7.8 1014 225  4.2 8  5.4  83    0   24 321 -334  2
4132500 3026500  1  3 15   7.8 1014 228  3.5 8  5.5  83    0   13 321 -334  2
4132500 3026500  1  3 16   8.0 1013 231  4.0 8  5.6  84    0    4 323 -334  2
4132500 3026500  1  3 17   7.8 1013 230  3.5 8  5.8  87    0    0 324 -333  2
4132500 3026500  1  3 18   8.3 1013 240  4.1 8  5.9  88    0    0 327 -332  2
4132500 3026500  1  3 19   8.4 1012 233  3.6 8  5.9  87    0    0 330 -332  2
4132500 3026500  1  3 20   8.5 1012 230  3.6 8  6.0  87    0    0 331 -332  2
4132500 3026500  1  3 21   8.5 1012 240  4.2 8  6.0  87    0    0 332 -333  2
4132500 3026500  1  3 22   8.4 1011 241  4.4 8  6.1  88    0    0 332 -334  2
4132500 3026500  1  3 23   8.3 1011 232  4.4 8  6.1  89    0    0 333 -335  2
4132500 3026500  1  3 24   8.3 1011 232  4.2 8  6.0  88    0    0 334 -336  2
4132500 3026500  1  4  1   8.0 1010 233  4.1 8  6.0  88    0    0 334 -337  2
4132500 3026500  1  4  2   7.9 1010 242  4.7 8  5.9  88    0    0 334 -337  2
4132500 3026500  1  4  3   6.0 1010 275  5.2 8  5.6  90    0    0 333 -337  2
4132500 3026500  1  4  4   5.5 1010 300  5.9 8  5.2  90    0    0 329 -337  2
4132500 3026500  1  4  5   4.9 1010 279  4.2 8  4.9  89    0    0 328 -337  2
4132500 3026500  1  4  6   4.8 1011 249  2.7 8  4.8  89    0    0 326 -337  2
4132500 3026500  1  4  7   4.5 1011 246  2.6 4  4.7  88    0    0 300 -336  2
4132500 3026500  1  4  8   4.0 1011 243  2.4 3  4.5  87    0    0 269 -335  2
4132500 3026500  1  4  9   3.7 1012 247  2.7 5  4.4  89    0    1 278 -334  2
4132500 3026500  1  4 10   4.0 1012 253  3.6 5  4.5  89   12   37 293 -334  2
4132500 3026500  1  4 11   4.4 1013 249  3.7 4  4.5  88   83   57 287 -335  2
4132500 3026500  1  4 12   5.0 1013 269  3.5 4  4.6  86   37   98 282 -335  2
4132500 3026500  1  4 13   4.9 1013 263  3.4 6  4.6  85    7   90 297 -335  2
4132500 3026500  1  4 14   4.8 1013 241  2.7 6  4.5  84    3   73 312 -334  2
