datetime,Elektrisch-Kombiniert_einHaushalt_5sek,Wasserkocher_einHaushalt_5sek,Mikrowelle_einHaushalt_5sek,Waschmaschine_einHaushalt_5sek,Kühl-_und_Gefrierschrank_einHaushalt_5sek,Herd_einHaushalt_5sek,Durchlauferhitzer_einHaushalt_5sek,Hauptanschluss_einHaushalt_5sek
2017-05-01 00:00:00,73.0,,,,,,,
2017-05-01 00:00:05,73.4,,,,,,,
2017-05-01 00:00:10,73.0,,,,,,,
2017-05-01 00:00:15,73.0,,,,,,,
2017-05-01 00:00:20,73.0,,,,,,,
2017-05-01 00:00:25,73.0,,,,,,,
2017-05-01 00:00:30,73.0,,,,,,,
2017-05-01 00:00:35,75.2,,,,,,,
2017-05-01 00:00:40,75.0,,,,,,,
2017-05-01 00:00:45,73.8,,,,,,,
2017-05-01 00:00:50,73.0,,,,,,,
2017-05-01 00:00:55,73.8,,,,,,,
2017-05-01 00:01:00,73.4,,,,,,,
2017-05-01 00:01:05,73.8,,,,,,,
2017-05-01 00:01:10,73.4,,,,,,,
2017-05-01 00:01:15,73.5,,,,,,,
2017-05-01 00:01:20,73.0,,,,,,,
2017-05-01 00:01:25,73.4,,,,,,,
2017-05-01 00:01:30,73.8,,,,,,,
2017-05-01 00:01:35,73.8,,,,,,,
2017-05-01 00:01:40,74.2,,,,,,,
2017-05-01 00:01:45,74.2,,,,,,,
2017-05-01 00:01:50,74.6,,,,,,,
2017-05-01 00:01:55,73.8,,,,,,,
2017-05-01 00:02:00,73.8,,,,,,,
2017-05-01 00:02:05,73.4,,,,,,,
2017-05-01 00:02:10,73.0,,,,,,,
2017-05-01 00:02:15,73.0,,,,,,,
2017-05-01 00:02:20,73.4,,,,,,,
2017-05-01 00:02:25,73.0,,,,,,,
2017-05-01 00:02:30,73.8,,,,,,,
2017-05-01 00:02:35,73.0,,,,,,,
2017-05-01 00:02:40,73.0,,,,,,,
2017-05-01 00:02:45,73.4,,,,,,,
2017-05-01 00:02:50,73.0,,,,,,,
2017-05-01 00:02:55,74.4,,,,,,,
2017-05-01 00:03:00,73.0,,,,,,,
2017-05-01 00:03:05,73.8,,,,,,,
2017-05-01 00:03:10,74.6,,,,,,,
2017-05-01 00:03:15,73.4,,,,,,,
2017-05-01 00:03:20,73.0,,,,,,,
2017-05-01 00:03:25,73.0,,,,,,,
2017-05-01 00:03:30,73.8,,,,,,,
2017-05-01 00:03:35,73.0,,,,,,,
2017-05-01 00:03:40,73.0,,,,,,,
2017-05-01 00:03:45,73.8,,,,,,,
2017-05-01 00:03:50,73.0,,,,,,,
2017-05-01 00:03:55,73.0,,,,,,,
2017-05-01 00:04:00,73.0,,,,,,,
2017-05-01 00:04:05,73.0,,,,,,,
2017-05-01 00:04:10,73.4,,,,,,,
2017-05-01 00:04:15,73.0,,,,,,,
2017-05-01 00:04:20,73.8,,,,,,,
2017-05-01 00:04:25,73.8,,,,,,,
2017-05-01 00:04:30,73.8,,,,,,,
2017-05-01 00:04:35,72.0,,,,,,,
2017-05-01 00:04:40,73.0,,,,,,,
2017-05-01 00:04:45,73.0,,,,,,,
2017-05-01 00:04:50,73.5,,,,,,,
2017-05-01 00:04:55,74.2,,,,,,,
2017-05-01 00:05:00,73.4,,,,,,,
2017-05-01 00:05:05,73.0,,,,,,,
2017-05-01 00:05:10,73.0,,,,,,,
2017-05-01 00:05:15,73.0,,,,,,,
2017-05-01 00:05:20,73.0,,,,,,,
2017-05-01 00:05:25,73.0,,,,,,,
2017-05-01 00:05:30,73.0,,,,,,,
2017-05-01 00:05:35,73.0,,,,,,,
2017-05-01 00:05:40,73.4,,,,,,,
2017-05-01 00:05:45,73.8,,,,,,,
2017-05-01 00:05:50,73.4,,,,,,,
2017-05-01 00:05:55,73.4,,,,,,,
2017-05-01 00:06:00,73.0,,,,,,,
2017-05-01 00:06:05,73.0,,,,,,,
2017-05-01 00:06:10,73.4,,,,,,,
2017-05-01 00:06:15,73.4,,,,,,,
2017-05-01 00:06:20,73.0,,,,,,,
2017-05-01 00:06:25,73.4,,,,,,,
2017-05-01 00:06:30,73.0,,,,,,,
2017-05-01 00:06:35,73.0,,,,,,,
2017-05-01 00:06:40,73.0,,,,,,,
2017-05-01 00:06:45,73.0,,,,,,,
2017-05-01 00:06:50,74.6,,,,,,,
2017-05-01 00:06:55,73.4,,,,,,,
2017-05-01 00:07:00,73.0,,,,,,,
2017-05-01 00:07:05,73.0,,,,,,,
2017-05-01 00:07:10,73.0,,,,,,,
2017-05-01 00:07:15,73.0,,,,,,,
2017-05-01 00:07:20,73.5,,,,,,,
2017-05-01 00:07:25,73.8,,,,,,,
2017-05-01 00:07:30,73.8,,,,,,,
2017-05-01 00:07:35,74.0,,,,,,,
2017-05-01 00:07:40,73.4,,,,,,,
2017-05-01 00:07:45,73.0,,,,,,,
2017-05-01 00:07:50,73.8,,,,,,,
2017-05-01 00:07:55,74.0,,,,,,,
2017-05-01 00:08:00,73.4,,,,,,,
2017-05-01 00:08:05,73.4,,,,,,,
2017-05-01 00:08:10,73.8,,,,,,,
2017-05-01 00:08:15,73.4,,,,,,,
2017-05-01 00:08:20,73.0,,,,,,,
2017-05-01 00:08:25,73.0,,,,,,,
2017-05-01 00:08:30,63.75,,,,,,,
2017-05-01 00:08:35,74.2,,,,,,,
2017-05-01 00:08:40,73.4,,,,,,,
2017-05-01 00:08:45,73.5,,,,,,,
2017-05-01 00:08:50,73.4,,,,,,,
2017-05-01 00:08:55,73.4,,,,,,,
2017-05-01 00:09:00,73.8,,,,,,,
2017-05-01 00:09:05,65.0,,,,,,,
2017-05-01 00:09:10,74.2,,,,,,,
2017-05-01 00:09:15,74.6,,,,,,,
2017-05-01 00:09:20,73.5,,,,,,,
2017-05-01 00:09:25,73.0,,,,,,,
2017-05-01 00:09:30,73.0,,,,,,,
2017-05-01 00:09:35,73.0,,,,,,,
2017-05-01 00:09:40,74.6,,,,,,,
2017-05-01 00:09:45,73.0,,,,,,,
